"Ativo","Nome","Código","Ativo Tot| < Mar 2011| personalizado| consolid:sim*","Imobil| < Mar 2011| personalizado| consolid:sim*","Lucro Liquido| < Mar 2011| personalizado| no exercício| consolid:sim*","PasCir| < Mar 2011| personalizado| consolid:sim*","PasNoCir| < Mar 2011| personalizado| consolid:sim*","Receita| < Mar 2011| personalizado| no exercício| consolid:sim*","DeprecAmorExaus| < Mar 2011| personalizado| no exercício| consolid:sim*","DeprAmor| < Mar 2011| personalizado| no exercício| consolid:sim*","Depr e Amor| < Mar 2011| personalizado| de 12 meses| consolid:sim*","CaixaEEqCx| < Mar 2011| personalizado| consolid:sim*","DpInCP| < Mar 2011| personalizado| consolid:sim*","DivPag| < Mar 2011| personalizado| no exercício| consolid:sim*","Qtd Ações|Outstanding|da empresa|31Mar11","Dividendos| < Mar 2011| personalizado| no exercício| consolid:sim*","Div Yld (fim)|31Mar11|1 tri","Divid por Ação|31Mar11|1 tri","Patrim Liq| < Mar 2011| personalizado| consolid:sim*","Valor Mercado|da empresa|31Mar11|personalizado","DesFin| < Mar 2011| personalizado| no exercício| consolid:sim*","LucOpe| < Mar 2011| personalizado| no exercício| consolid:sim*","LucOp(Ant)| < Mar 2011| personalizado| no exercício| consolid:sim*","EBIT| < Mar 2011| personalizado| no exercício| consolid:sim*","EBIT/FinL| < Mar 2011| de 12 meses| consolid:sim*","EBIT/FinB| < Mar 2011| de 12 meses| consolid:sim*","Fechamento|31Mar11|ajus p/prov ed"
"CAML3<XBSP>","Camil","CAML3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"QVQP3B<XBSP>","524 Particip","QVQP3B",1566480.2763,0,-27653.338211,1426586.9183,0,0,"-",0,0,1530693.6033,"-",0,176261901,"-","-","-",139893.35801,"-",0,-27653.338211,-66693.345096,-66693.345096,25.128205128,"-","-"
"EALT4<XBSP>","Aco Altona","EALT4",397853456.84,257270392.04,3404613.9338,71176439.221,248754790.54,72105266.051,"-","-","-",492880.08693,"-","-",2250000,"-",0,0,77922227.077,104127018.36,4211440.7428,"-","-",7661601.3513,-2.357710041,1.7765875314,4.6278674829
"AESL3<XBSP>","AES Sul","AESL3",3989345397,14226829.176,89009589.033,1021260553.4,1570836490.4,838068574.48,"-",45577581.372,191658780.47,17393949.735,"-",0,278483,"-","-",0,1397248353.1,"-",59031743.745,"-","-",171667043.61,-2.8489199717,1.3245772897,"-"
"TIET11<XBSP>","AES Tiete E","TIET11",30084522106,5551908659.2,263077593.07,4618179054.5,12612155637,4069876797.8,"-",353474729.01,"-",658037209.4,"-",-66693.345096,650000000,"-","-","-",7057320604.8,"-",254143938.16,1110234355.8,1215766001.1,1155763137.2,-147.68717277,5.6730218106,"-"
"AFLT3<XBSP>","Afluente T","AFLT3",150110453.14,0,8766108.2128,10239868.472,6916587.8866,11271175.321,"-",0,"-",70790919.153,"-",0,63085000,"-",0,0,132953996.78,367172841.67,172426.69708,9755121.7206,8216294.7825,8216294.7825,9.3008669046,43.220379147,"-"
"ALEF3B<XBSP>","Alef S/A","ALEF3B",185553.89939,0,-17328.883056,658.8001162,0,0,"-",0,0,182581.97887,"-",0,21394000,"-","-","-",184895.09928,"-",0,"-","-",-22215.390585,-9.8365616267,"-","-"
"BRGE3<XBSP>","Alfa Consorc","BRGE3",7404124372.6,5097974.2325,16408189.561,3705360253.5,2151785952.9,5249254.2592,"-",385520.068,1244400.2195,4022747.3762,"-",0,73646388,"-",0.5036963617,0.043025173211,1151953483.2,595385825.07,122727141.64,"-","-",-24063284.244,-0.69037960982,-0.32490806594,"-"
"RPAD3<XBSP>","Alfa Holding","RPAD3",1001439616.6,0,13371202.358,3323280.5862,4880.0008607,48800.008607,"-",0,1626.6669536,19520.003443,"-",0,84682269,"-",0.043991978502,0.0028994500925,998111456.04,604266055.17,0,"-","-",13112562.312,42.126418152,3249,"-"
"ALSO3<XBSP>","Alianscsonae","ALSO3",4588552569.3,8037361.4176,101762657.94,112150553.11,900339012.13,80866494.263,"-",655546.78229,2176480.3839,672823612,"-",0,76423831,"-","-","-",2910918886.8,2884133992.2,11019041.943,"-","-",178175338.09,-82.285850632,64.291573453,37.738673323
