"Ativo","Nome","Código","Ativo Tot| < Jun 2012| personalizado| consolid:sim*","Imobil| < Jun 2012| personalizado| consolid:sim*","Lucro Liquido| < Jun 2012| personalizado| no exercício| consolid:sim*","PasCir| < Jun 2012| personalizado| consolid:sim*","PasNoCir| < Jun 2012| personalizado| consolid:sim*","Receita| < Jun 2012| personalizado| no exercício| consolid:sim*","DeprecAmorExaus| < Jun 2012| personalizado| no exercício| consolid:sim*","DeprAmor| < Jun 2012| personalizado| no exercício| consolid:sim*","Depr e Amor| < Jun 2012| personalizado| de 12 meses| consolid:sim*","CaixaEEqCx| < Jun 2012| personalizado| consolid:sim*","DpInCP| < Jun 2012| personalizado| consolid:sim*","DivPag| < Jun 2012| personalizado| no exercício| consolid:sim*","Qtd Ações|Outstanding|da empresa|30Jun12","Dividendos| < Jun 2012| personalizado| no exercício| consolid:sim*","Div Yld (fim)|30Jun12|1 tri","Divid por Ação|30Jun12|1 tri","Patrim Liq| < Jun 2012| personalizado| consolid:sim*","Valor Mercado|da empresa|30Jun12|personalizado","DesFin| < Jun 2012| personalizado| no exercício| consolid:sim*","LucOpe| < Jun 2012| personalizado| no exercício| consolid:sim*","LucOp(Ant)| < Jun 2012| personalizado| no exercício| consolid:sim*","EBIT| < Jun 2012| personalizado| no exercício| consolid:sim*","EBIT/FinL| < Jun 2012| de 12 meses| consolid:sim*","EBIT/FinB| < Jun 2012| de 12 meses| consolid:sim*","Fechamento|30Jun12|ajus p/prov ed"
"CAML3<XBSP>","Camil","CAML3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"QVQP3B<XBSP>","524 Particip","QVQP3B",785963.49399,0,733973.69089,0,0,0,"-",0,0,752323.03316,"-",0,176261901,"-","-","-",785963.49399,"-",0,"-","-",636110.5321,5.4347826087,-187.5,"-"
"EALT4<XBSP>","Aco Altona","EALT4",381594451,258523883.27,10235874.764,91252808.232,195331806.71,145287033.89,"-","-","-",287473.02893,"-","-",2250000,"-",0,0,95009836.062,87285527.521,7472769.6404,"-","-",18650577.308,-3.750965929,2.282081419,3.8793567787
"AESL3<XBSP>","AES Sul","AESL3",4205618788.1,1414428.4668,113140515.33,1162241223.1,1659002262.6,1706407788.4,"-",84845829.555,173615360.13,21066574.04,"-",0,278483,"-","-",0,1384375302.4,"-",91398073.858,170783444.97,221280834.91,221280834.91,-6.0671068172,2.7280958351,"-"
"TIET11<XBSP>","AES Tiete E","TIET11",25399284960,4780144340.2,340857382.05,4589722511.7,9260085795.3,7676049770.5,"-",515708264.56,956104711.99,127266450.66,"-",-2100094455.9,650000000,"-","-","-",6684986503.3,"-",389195666.04,"-","-",1497847635,-14.492191873,4.1863251451,"-"
"AFLT3<XBSP>","Afluente T","AFLT3",125809207.06,0,14648891.58,4145422.2417,5819799.724,20624660.714,"-",0,0,39269121.574,"-",-30716798.964,63085000,"-",5.7477853318,0.49257812245,115843985.1,540630678.79,278298.35779,16402782.88,14046421.509,14046421.509,6.4625040232,38.31870229,"-"
"ALEF3B<XBSP>","Alef S/A","ALEF3B",85689.899299,0,-103245.63251,33.640460832,0,0,"-",0,0,81535.302387,"-",0,21474000,"-","-","-",85656.258839,"-",0,-103245.63251,-108762.66809,-108762.66809,-13.997458704,"-","-"
"BRGE3<XBSP>","Alfa Consorc","BRGE3",8538444391.5,4491001.5211,37984667.615,4295581025.9,2643916971.1,16652028.112,"-",1263046.3931,2192746.4015,6906998.2536,"-",-4625563.3644,73646388,"-",0,0,1195202758.2,395317000.28,318325918.85,"-","-",-103014736.62,-0.48201109104,-0.22961334423,"-"
"RPAD3<XBSP>","Alfa Holding","RPAD3",1037042131.6,0,31079198.474,7599685.9244,3058.223712,67280.921665,"-",0,0,16820.230416,"-",-4631679.8119,84682269,"-",0,0,1029439387.4,530100640.7,0,"-","-",30938520.183,183.81609195,"-",6.1164474241
"ALSO3<XBSP>","Alianscsonae","ALSO3",5972755253.8,7261752.2042,195888403.43,237565876.17,1724692908,186391089.69,"-",1270691.9524,2348715.8108,971554858.18,"-",-37395959.551,76423831,"-",1.1039793093,0.49461560022,3151537763,3424015171.7,43257045.295,"-","-",405021973.75,30.730325158,-79.610670978,44.802977381
