"Ativo","Nome","Código","Ativo Tot| < Jun 2002| personalizado| consolid:sim*","Imobil| < Jun 2002| personalizado| consolid:sim*","Lucro Liquido| < Jun 2002| personalizado| no exercício| consolid:sim*","PasCir| < Jun 2002| personalizado| consolid:sim*","PasNoCir| < Jun 2002| personalizado| consolid:sim*","Receita| < Jun 2002| personalizado| no exercício| consolid:sim*","DeprecAmorExaus| < Jun 2002| personalizado| no exercício| consolid:sim*","DeprAmor| < Jun 2002| personalizado| no exercício| consolid:sim*","Depr e Amor| < Jun 2002| personalizado| de 12 meses| consolid:sim*","CaixaEEqCx| < Jun 2002| personalizado| consolid:sim*","DpInCP| < Jun 2002| personalizado| consolid:sim*","DivPag| < Jun 2002| personalizado| no exercício| consolid:sim*","Qtd Ações|Outstanding|da empresa|30Jun02","Dividendos| < Jun 2002| personalizado| no exercício| consolid:sim*","Div Yld (fim)|30Jun02|1 tri","Divid por Ação|30Jun02|1 tri","Patrim Liq| < Jun 2002| personalizado| consolid:sim*","Valor Mercado|da empresa|30Jun02|personalizado","DesFin| < Jun 2002| personalizado| no exercício| consolid:sim*","LucOpe| < Jun 2002| personalizado| no exercício| consolid:sim*","LucOp(Ant)| < Jun 2002| personalizado| no exercício| consolid:sim*","EBIT| < Jun 2002| personalizado| no exercício| consolid:sim*","EBIT/FinL| < Jun 2002| de 12 meses| consolid:sim*","EBIT/FinB| < Jun 2002| de 12 meses| consolid:sim*","Fechamento|30Jun02|ajus p/prov ed"
"CAML3<XBSP>","Camil","CAML3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"QVQP3B<XBSP>","524 Particip","QVQP3B",2511570.8049,0,-396714.02487,2854.0577329,0,0,"-","-","-","-",1715288.6974,"-",53532000,"-","-","-",2508716.7472,"-",0,-396714.02487,-550833.14244,-550833.14244,"-","-","-"
"EALT4<XBSP>","Aco Altona","EALT4",115083564.9,76691967.567,-6522212.6016,287174878.1,4755739.2327,69424700.341,"-","-","-","-",3498917.8073,"-",2250000,"-","-",0,-176847052.43,"-",13135295.547,-6115400.9204,6762287.3759,6355475.6947,-0.30008162435,0.26740851971,"-"
"AESL3<XBSP>","AES Sul","AESL3",8635023022.2,4259869534.1,-1061992028.3,2764702893.4,5618626485.5,1547835422.1,"-","-","-","-",35284715.751,"-",537215000,"-",0,0,251693643.35,1154761679,1804686347.8,-1050530132.4,396519948.94,397010846.87,-1.068890883,0.54718643907,"-"
"TIET11<XBSP>","AES Tiete E","TIET11","-","-","-","-","-","-","-","-","-","-","-","-",41224100,"-","-","-","-","-","-","-","-","-","-","-","-"
"AFLT3<XBSP>","Afluente T","AFLT3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"ALEF3B<XBSP>","Alef S/A","ALEF3B",236886.79183,0,0,348195.04341,122724.48251,0,"-","-","-",0,0,"-",1000,"-","-","-",-234032.73409,"-",0,0,0,0,"-",0,"-"
"BRGE3<XBSP>","Alfa Consorc","BRGE3",957542077.49,136994.77118,63094654.3,14387305.031,0,2411678.7843,"-","-","-","-",5551142.2904,"-",73856000,"-",0,0,943154772.46,573619417.87,74205.501054,66836323.988,-6852592.6166,66519523.58,1121.2413793,1250.6153846,7.8486587654
"RPAD3<XBSP>","Alfa Holding","RPAD3",858785971.82,88475.789719,50125815.962,14692689.208,22832.461863,1084541.9385,"-","-","-","-",6958192.7527,"-",84682000,"-",0,0,844070450.15,637754756.46,48518.981459,54070123.749,-6641392.3444,53496458.145,134.58585859,1567.5294118,7.5632529921
"ALSO3<XBSP>","Alianscsonae","ALSO3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
