"Ativo","Nome","Código","Ativo Tot| < Set 2011| personalizado| consolid:sim*","Imobil| < Set 2011| personalizado| consolid:sim*","Lucro Liquido| < Set 2011| personalizado| no exercício| consolid:sim*","PasCir| < Set 2011| personalizado| consolid:sim*","PasNoCir| < Set 2011| personalizado| consolid:sim*","Receita| < Set 2011| personalizado| no exercício| consolid:sim*","DeprecAmorExaus| < Set 2011| personalizado| no exercício| consolid:sim*","DeprAmor| < Set 2011| personalizado| no exercício| consolid:sim*","Depr e Amor| < Set 2011| personalizado| de 12 meses| consolid:sim*","CaixaEEqCx| < Set 2011| personalizado| consolid:sim*","DpInCP| < Set 2011| personalizado| consolid:sim*","DivPag| < Set 2011| personalizado| no exercício| consolid:sim*","Qtd Ações|Outstanding|da empresa|30Set11","Dividendos| < Set 2011| personalizado| no exercício| consolid:sim*","Div Yld (fim)|30Set11|1 tri","Divid por Ação|30Set11|1 tri","Patrim Liq| < Set 2011| personalizado| consolid:sim*","Valor Mercado|da empresa|30Set11|personalizado","DesFin| < Set 2011| personalizado| no exercício| consolid:sim*","LucOpe| < Set 2011| personalizado| no exercício| consolid:sim*","LucOp(Ant)| < Set 2011| personalizado| no exercício| consolid:sim*","EBIT| < Set 2011| personalizado| no exercício| consolid:sim*","EBIT/FinL| < Set 2011| de 12 meses| consolid:sim*","EBIT/FinB| < Set 2011| de 12 meses| consolid:sim*","Fechamento|30Set11|ajus p/prov ed"
"CAML3<XBSP>","Camil","CAML3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"QVQP3B<XBSP>","524 Particip","QVQP3B",112705.33062,0,-65083.359937,14286.591205,0,0,"-",0,0,0,"-",0,176261901,"-","-","-",98418.739417,"-",4762.1970686,"-","-",-134928.91694,-1.2835820896,-28.666666667,"-"
"EALT4<XBSP>","Aco Altona","EALT4",389247701.79,252207544.15,12991273.603,75925295.263,227613971.09,211220901.38,"-","-","-",293668.81923,"-","-",2250000,"-",0,0,85708435.441,91291317.804,11705480.394,"-","-",24063381.787,-2.7370792473,1.9166666667,4.0573919024
"AESL3<XBSP>","AES Sul","AESL3",4065378106.9,16310524.96,242048190.4,1017025917.7,1796292797.3,2375768048.4,"-",141324547.61,190516455.92,54003314.757,"-",0,278483,"-","-",0,1252059391.9,"-",181955612.99,"-","-",480199316.21,-3.4353425027,2.1239118806,"-"
"TIET11<XBSP>","AES Tiete E","TIET11",28568499584,5003680144.9,738650100.71,5460539933.3,11783134367,11794041386,"-",1040517835.8,"-",380832899.57,"-",-2751649850.4,650000000,"-","-","-",6366252669.4,"-",714067639.45,3192748353.9,3568161873.2,3392497122.5,-19.738855313,4.7278552608,"-"
"AFLT3<XBSP>","Afluente T","AFLT3",137235407.72,0,23917341.077,3262104.992,6682949.8862,34029072.853,"-",0,"-",54465247.873,"-",-24961849.634,63085000,"-",0,0,127290352.84,352351352.57,525429.07656,26795295.506,22598212.489,22598212.489,5.1868131868,45.52284264,"-"
"ALEF3B<XBSP>","Alef S/A","ALEF3B",95128.061242,0,-102258.65765,44.44717264,0,0,"-",0,0,91002.411182,"-",0,21394000,"-","-","-",95083.61407,"-",0,"-","-",-114076.84337,-8.8425346234,"-","-"
"BRGE3<XBSP>","Alfa Consorc","BRGE3",8326336472.6,4792357.65,67248572.204,4448207954.4,2286241918.3,18212228.989,"-",1120703.7101,658770.59448,11935653.252,"-",-3133525.6711,73646388,"-","-",0.0074960343263,1180148628.7,442364198.92,436647436.62,"-","-",-95456652.84,-0.66322810138,-0.32357908087,"-"
"RPAD3<XBSP>","Alfa Holding","RPAD3",1025585173.2,0,56700305.697,4154223.2428,0,119054.92671,"-",0,1587.3990229,87306.946257,"-",-3139875.2672,84682269,"-",0,0,1021430950,612308855.6,0,"-","-",56149478.236,81.108433735,"-","-"
"ALSO3<XBSP>","Alianscsonae","ALSO3",4991225412.2,9219613.5247,286030255.13,119629565.16,1123637223.5,250270917.34,"-",1754075.9203,2269980.6027,698558750.99,"-",-4665365.7282,76423831,"-",0,0,3026396873.3,2696834998.7,27185795.665,"-","-",527591114.03,29.40034027,77.092656143,35.287880278
"APTI4<XBSP>","Aliperti","APTI4",638783653.39,456697873.67,8979916.2723,118980318.96,4498688.8308,84921085.526,"-",4605044.5653,6182919.194,336528.59284,"-",0,182155,"-","-",0,515125269.51,"-",3398621.3079,"-","-",9302158.2739,5.8992395437,3.0793913331,"-"
"FRRN3B<XBSP>","All Norte","FRRN3B",5847581150.4,4019534023.1,463366536.97,970759585.83,3168508770.8,1504220901.5,"-",122824999.39,158841495.82,616306083.22,"-",0,707543040,"-","-","-",1708312793.8,"-",263500300.8,"-","-",668631517.21,-3.4620537647,2.3695035914,"-"
"AALR3<XBSP>","Alliar","AALR3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"ALPA4<XBSP>","Alpargatas","ALPA4",3914472018.8,503819813.67,394621047.48,1160944275.4,446028964.84,2994399671.2,"-",62521297.914,78749278.125,429116815.65,"-",-133128806.45,348363000,"-",0.59994411437,0.059759827604,2287654703.4,6021036813.1,77917481.037,"-","-",415587413.78,12.395827112,5.4152915471,9.9608990525
"ALTR3<XBSP>","Altere Sec","ALTR3",3185909.8389,0,220648.46418,2108065.9023,126991.92182,314305.00652,"-","-","-",55558.9658,"-","-",17774000,"-","-","-",950852.01469,"-",20636.187297,"-","-",-130166.71987,-0.32343234323,-6.5333333333,"-"
"ALUP11<XBSP>","Alupar","ALUP11",9879844526.3,1161217308,239816307.38,1351605184.6,3910446374.9,1439704243,"-",31397165.273,36440331.969,49937985.86,"-",-408945736.27,163910000,"-","-","-",2533863466.6,"-",289027264.48,"-","-",870566134.31,-3.9554394807,3.0089526507,"-"
"ABEV3<XBSP>","Ambev S/A","ABEV3",71697251616,14107856425,8902919482.7,22585081525,9114899160.8,29760998177,"-",1679453879.6,2467719724.2,9459171086.1,"-",-4969790763.2,3116840000,"-",0.85702821102,0.1251337996,39697647778,2.5087890634E11,1578841354.7,"-","-",12086072009,-23.681323343,7.5668609618,14.590730408
"AMBP3<XBSP>","Ambipar","AMBP3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"CBEE3<XBSP>","Ampla Energ","CBEE3",7294820776.6,56609823.953,289793978.21,1583024151.1,2944866472,3840253177.5,"-",227347288.05,308547510.27,183425544.49,"-",0,3.922515918E12,"-",0,0,2766930153.4,7409651543.1,351267592.77,439949226.58,665804359.55,665804359.55,-2.9476274236,1.5757296257,57.422222337
"ANIM3<XBSP>","Anima","ANIM3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"ARZZ3<XBSP>","Arezzo Co","ARZZ3",787383250.71,39527823.068,102723765.56,154985703.6,40791392.69,761532457.63,"-",4587583.176,5894012.5719,9887908.5134,"-",-13400822.55,88542000,"-",0.50712131917,0.15295073844,591606154.43,2670478201.3,13359550.176,"-","-",129641290.79,13.625137145,7.2411402656,30.160581434
"ARTR3<XBSP>","Arteris","ARTR3",8489984612.7,82887627.377,475691102.98,1614294324.5,4674844087.7,3070623397.4,"-",237043121.28,315254271.14,1985409167.3,"-",-108974942.91,68888000,"-",0,0,2200846200.4,6604905730.7,436050574.58,704832151.93,944788150.42,944788150.42,-3.5580421294,2.0601403256,19.175780196
"ATMP3<XBSP>","Atmasa","ATMP3",3598349440.4,908593865.3,12275356.643,1777064632.9,1046156277.2,3499978322.9,"-",175074238.23,225202711.97,419586071.92,"-",-150961647.07,64334285,"-",8.3169613188,1505.0663348,770726672.77,1858393539.7,87856186.319,"-","-",85471912.986,-4.4479060266,1.6302119893,18096.348861
"ATOM3<XBSP>","Atompar","ATOM3",758776.73292,0,-901642.64498,9721231.616,25306315.222,0,"-","-","-",0,"-","-",88485000,"-",0,0,-34268770.105,28092200.507,514317.2834,"-","-",-431772.53422,2.0489130435,-0.69944341373,3.1671260783
"AURA32<XBSP>","Aura 360","AURA32","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AZUL4<XBSP>","Azul S.A.","AZUL4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BTOW3<XBSP>","B2W Digital","BTOW3",5874590744.8,326186688.21,-95824929.414,1471139505.8,2551543917,4850323112.7,"-",89967427.019,116303964.2,27200082.257,"-",-9819650.3554,156536355,"-",0,0,1851907322,3652739157.4,690985270.25,"-","-",272143688.48,-0.7174544008,0.49537313332,20.247015254
"BAHI3<XBSP>","Bahema","BAHI3",111494145.16,34922.778503,-2770011.2949,447646.52444,21609262.898,0,"-","-","-",9524.3941371,"-","-",5996334,"-",0,0,89437235.745,76552185.432,2047744.7395,"-","-",-3022407.7395,-1.6653846154,-1.7557019767,"-"
"EBEN4<XBSP>","Bandeirante Energ","EBEN4",4005933188.3,230172.85831,301224838.58,1395747576.6,1234850399.1,2904748136.5,"-",86959305.871,120505809.42,390595403.56,"-",-301605814.34,39091735000,"-","-",0,1375335212.6,"-",216389472.6,"-","-",591283912.43,-6.2046509223,2.9153335034,"-"
"BTTL3<XBSP>","Battistella","BTTL3",926055254.55,403558103.98,-46639370.69,374696014.95,567953908.99,1217498540.3,"-",26990545.586,41318409.166,17350271.32,"-",-107943.13355,149678000,"-",0,0,-19024977.289,300163916.31,92554887.426,"-","-",38418231.151,-0.77627265417,0.65998790461,47.566228432
"BALM4<XBSP>","Baumer","BALM4",145518455.82,25728563.362,8859273.9465,46317128.689,15229506.225,112568814.3,"-",2423958.3079,"-",4200257.8145,"-",-2585873.0082,980000,"-",0,0,74177568.939,63337787.717,1777886.9056,"-","-",15496189.261,"-","-","-"
"BBML3<XBSP>","Bbmlogistica","BBML3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BMKS3<XBSP>","Bic Monark","BMKS3",391916119.55,2670005.1564,33214737.154,25474579.519,35194223.736,40881874.435,"-",420660.74106,719091.75735,280242598.29,"-",-263687613.88,454750,"-",0,0,327429621.65,234600435.64,92069.143325,"-","-",14251668.427,0.036651526621,15.702702702,515.88880844
"BIOM3<XBSP>","Biomm","BIOM3",11764214.158,1234996.4398,-5965445.5279,13513527.881,10673671.029,0,"-",274620.03095,"-",3957385.764,"-",0,17338833,"-",0,0,-12422984.752,58105995.969,993711.78831,"-","-",-5787656.8373,413.75,-7.6267281106,"-"
"GBIO33<XBSP>","Biotoscana","GBIO33","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BKBR3<XBSP>","Bk Brasil","BKBR3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BOBR4<XBSP>","Bombril","BOBR4",1141301799.9,501622853.42,-29744682.89,445722596.83,761440388.48,982465066.23,"-",25852380.486,35651394.654,77955578.613,"-",0,54065000,"-",0,0,-72987019.672,614490733.7,110935380.71,"-","-",54239837.212,-0.63209720403,0.50026811568,11.365777003
"BBRK3<XBSP>","BR Brokers","BBRK3",1335339106.8,75374467.802,132843074.62,107700261.5,113622847.25,469347856.49,"-",13451619.319,17194706.216,14362786.358,"-",-62191118.917,191015000,"-",0,0,1107607668.2,1795044784.2,4020881.7249,"-","-",167445198.53,6.1861927427,52.606758262,87.759197302
"BRML3<XBSP>","BR Malls Par","BRML3",19992074745,17696324.307,288820902.61,1088779528.4,8244874329.5,948999520.03,"-",12435683.945,21321943.675,13340501.388,"-",-106714486.71,449494000,"-",0,0,10127051763,13706840921,889113304.49,"-","-",737589718.17,-4.3883461894,2.7729394253,20.39728109
"BRPR3<XBSP>","BR Propert","BRPR3",10119911642,3836743.4382,420516287.75,325072334.1,3993964199.7,401859587.03,"-",446059.12542,654008.39742,1702537836.2,"-",0,180004000,"-",0,0,5800875109,4880408006.9,504149992.66,"-","-",896069287.01,-7.8672680047,4.2618737576,27.11277531
"BRAP4<XBSP>","Bradespar","BRAP4",16282069245,61908.561891,2475370987.4,596720754.08,1850026254.2,0,"-",6349.5960914,168013487.38,349129366.29,"-",-495865357.16,349548000,"-",0,0,13835322236,18843061932,130481024.88,"-","-",2706534382.8,-21.111689149,9.4636445312,52.527033666
"AGRO3<XBSP>","Brasilagro","AGRO3",1211650562.3,25771423.136,28238241.218,155257148.83,111678283.45,82711426.086,"-",8537031.9449,22560114.913,193237257.85,"-",0,58422400,"-",0,0,932217537.56,876389793.36,3531962.8258,34552914.53,16794681.662,16794681.662,1.7050858837,2.2695114686,15.000920765
