"Ativo","Nome","Código","Ativo Tot| < Jun 2018| personalizado| consolid:sim*","Imobil| < Jun 2018| personalizado| consolid:sim*","Lucro Liquido| < Jun 2018| personalizado| no exercício| consolid:sim*","PasCir| < Jun 2018| personalizado| consolid:sim*","PasNoCir| < Jun 2018| personalizado| consolid:sim*","Receita| < Jun 2018| personalizado| no exercício| consolid:sim*","DeprecAmorExaus| < Jun 2018| personalizado| no exercício| consolid:sim*","DeprAmor| < Jun 2018| personalizado| no exercício| consolid:sim*","Depr e Amor| < Jun 2018| personalizado| de 12 meses| consolid:sim*","CaixaEEqCx| < Jun 2018| personalizado| consolid:sim*","DpInCP| < Jun 2018| personalizado| consolid:sim*","DivPag| < Jun 2018| personalizado| no exercício| consolid:sim*","Qtd Ações|Outstanding|da empresa|30Jun18","Dividendos| < Jun 2018| personalizado| no exercício| consolid:sim*","Div Yld (fim)|30Jun18|1 tri","Divid por Ação|30Jun18|1 tri","Patrim Liq| < Jun 2018| personalizado| consolid:sim*","Valor Mercado|da empresa|30Jun18|personalizado","DesFin| < Jun 2018| personalizado| no exercício| consolid:sim*","LucOpe| < Jun 2018| personalizado| no exercício| consolid:sim*","LucOp(Ant)| < Jun 2018| personalizado| no exercício| consolid:sim*","EBIT| < Jun 2018| personalizado| no exercício| consolid:sim*","EBIT/FinL| < Jun 2018| de 12 meses| consolid:sim*","EBIT/FinB| < Jun 2018| de 12 meses| consolid:sim*","Fechamento|30Jun18|ajus p/prov ed"
"CAML3<XBSP>","Camil","CAML3",4732679038.4,925445401.42,34805744.698,1280845846,1398962383.5,1073670474.1,"-",26365947.579,100041795.25,611763959,"-",0,404317405,"-",0,0,2052870808.8,2817139299.5,45554593.339,"-","-",61246522.65,-5.513894128,2.0756009679,6.9676429078
"QVQP3B<XBSP>","524 Particip","QVQP3B",135130.04427,0,-76010.649904,0,0,0,"-",0,0,126684.4165,"-",0,196262000,"-","-","-",135130.04427,"-",0,-76010.649904,-98180.422792,-98180.422792,-8.5454545454,"-","-"
"EALT4<XBSP>","Aco Altona","EALT4",300815314.1,163870515.56,6534804.4848,119396895.44,81147702.993,121950642.14,"-",4591254.3949,"-",4952304.9819,"-",-3236786.8417,22500000,"-",5.480889629,0.30493243459,100270715.66,137531769.67,5619509.5755,"-","-",11633852.249,"-","-",5.5635572915
"AESL3<XBSP>","AES Sul","AESL3",4713668490.8,16567154.569,82590849.638,755537414.41,2182560300,1864402945,"-",0,0,180610805.5,"-",0,526451,"-","-",0,1775570776.4,"-",101731809.26,"-","-",191244906.56,-1.3940483787,0.81847750197,"-"
"TIET11<XBSP>","AES Tiete E","TIET11",8134556293.7,5043424859.9,155945349.61,1540300923.7,4918838126.2,941695941.66,"-",141235177.45,272488678.57,24079540.467,"-",-11264356.034,1967385000,"-",3.1214878416,0.06360055509,1675417243.8,4074652235.6,234545640.13,"-","-",419626294.12,-2.0742615206,1.5265993412,10.163252334
"AFLT3<XBSP>","Afluente T","AFLT3",59918561.897,0,6953918.7627,2781778.6458,7866046.5616,13856108.055,"-",0,0,25975583.901,"-",-5065265.2533,63085000,"-",0,0,49270736.69,471393028.83,112960.27138,8128916.7258,7500773.1606,7500773.1606,10.378059071,49.192,"-"
"ALEF3B<XBSP>","Alef S/A","ALEF3B",60782.127336,0,-99535.946049,222.75343236,0,0,"-",0,0,56797.902437,"-",0,78674000,"-","-","-",60559.373904,"-",78.122056845,-99535.946049,-101358.09023,-101358.09023,-43.681321839,-2054.2027027,"-"
"BRGE3<XBSP>","Alfa Consorc","BRGE3",3336379795.8,2074457.3203,27579197.473,1382917706,212875214.98,13357816.017,"-",730546.80185,1211947.5846,2921131.5039,"-",-2874680.5512,73646388,"-",0,0,1182700375.6,292211438.23,42439279.529,"-","-",5610008.2443,0.086093065484,0.10127750471,4.4445116124
"RPAD3<XBSP>","Alfa Holding","RPAD3",999275064.66,6334.2208253,22090595.128,4292490.3126,439172.64389,167856.85187,"-",0,0,13724.145121,"-",-4604978.54,84682269,"-",0,0,994543401.7,273453530.98,0,"-","-",21530016.585,122.42817679,"-","-"
"ALSO3<XBSP>","Alianscsonae","ALSO3",5545439308.6,3192447.296,70306684.05,297164691.5,1324201590.3,187638623.51,"-",1067316.2091,2238091.3583,282583315.16,"-",-36709976.793,76423831,"-",2.505911346,0.48941737155,2794383745.2,1492596717.4,40931734.973,"-","-",241310587.97,-6.2978235432,4.4772399565,19.530514211
"APTI4<XBSP>","Aliperti","APTI4",453982052.18,334205103.48,-7916720.3281,50515411.082,154330123.3,12751842.224,"-",1461093.6037,2929577.1317,57007.987428,"-",0,18215,"-","-",0,249256867.99,"-",5912995.1404,"-","-",-2265539.6485,2.0443951165,-1.5850463715,"-"
"FRRN3B<XBSP>","All Norte","FRRN3B",12886012634,4983061846.8,198965266.05,1487321500.7,8087998715,1867944830.1,"-",244360515.29,482244289.8,44445116.124,"-",-313600938.84,1189412363,"-","-","-",3310692418.9,"-",929360046.6,"-","-",745254862.61,-1.8128297778,0.88195599842,"-"
"AALR3<XBSP>","Alliar","AALR3",2389389501.2,562158931.13,13061163.341,427026775.45,614666454.67,568713793.99,"-",44918071.279,84089948.566,66989663.745,"-",0,118191589,"-",0,0,1305514583.2,1632060541.2,"-","-","-",64277561.528,-0.90852154804,"-",13.808601399
"ALPA4<XBSP>","Alpargatas","ALPA4",3883755711.2,741240022.31,144217539.75,1080113446.5,479277763.04,1892524774,"-",53391147.336,115363052.48,611654532.66,"-",-146281440.04,463053374,"-",0.67241095465,0.068715084817,2249165687.7,5759458510.4,113846006.59,"-","-",192404068.98,-3.2759015131,1.6989063528,10.219209598
"ALTR3<XBSP>","Altere Sec","ALTR3",61230.801311,0,39061.028423,10557.034708,0,103458.94014,"-","-","-",61230.801311,"-","-",36218984,"-","-","-",50673.766602,"-",-43283.842306,50673.766602,8445.6277671,8445.6277671,0.13698630137,-1,"-"
"ALUP11<XBSP>","Alupar","ALUP11",12871774361,4463094104.9,196747233.05,1557885776.4,4736346057.1,927990799.2,"-",51835040.42,106831912.73,1231426369.3,"-",-294286843.84,879111269,"-",2.2120573695,0.11832068323,4566616387.3,5275782154.2,181832254.42,"-","-",639436425.2,-4.9603788246,3.3145606169,16.046692757
"ABEV3<XBSP>","Ambev S/A","ABEV3",95985991107,19807172919,5102335225,28878602701,10691079489,24439286205,"-",1892146832.2,3910776441.5,11211523354,"-",-1210176114.2,15719487000,"-",0.90109010031,0.17104085358,55171858333,2.9838020342E11,2182082066.3,"-","-",7827589395.5,-4.9186586989,3.8282282076,18.981548406
"AMBP3<XBSP>","Ambipar","AMBP3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"CBEE3<XBSP>","Ampla Energ","CBEE3",10404184681,62384685.205,58855468.502,2495955376.7,4311206879.4,2781383812.7,"-",175631052.23,353275330.98,485590869.8,"-",0,166634000,"-",0,0,3597022425.7,3799787590.8,569612197.64,"-","-",271049754.74,-1.6399056884,0.49251362035,22.803194971
"ANIM3<XBSP>","Anima","ANIM3",1572566388.9,284478302.89,39023023.098,233451931.33,577646101.05,579818738.8,"-",28247457.77,56533976.569,142962308.32,"-",-21339989.96,79089282,"-",1.7180169615,0.27278295698,761468356.51,1255762235.9,36588570.894,"-","-",58969484.477,-2.3677688733,0.99263128176,15.877780202
"ARZZ3<XBSP>","Arezzo Co","ARZZ3",1115143799.1,82166456.842,63592409.976,380748958.11,25430840.91,743261694.45,"-",18171823.844,38462444.555,18436805.415,"-",-73599423.176,90218000,"-",1.2467916417,0.58398002337,708964000.09,4225686793.6,43075868.722,"-","-",84561848.018,-14.634693216,3.2496989305,47.084374801
"ARTR3<XBSP>","Arteris","ARTR3",15610774847,63440388.676,-76395981.67,1624380315.2,7045295176.6,1931486566.3,"-",516369904.49,953612722.44,1055120722.5,"-",0,731481274,"-","-",0,6941099355.5,"-",320110406.44,"-","-",165511078.76,-1.1701513107,0.97685121198,"-"
"ATMP3<XBSP>","Atmasa","ATMP3",1603901779.3,107887616.2,-184039730.38,439965477.19,1076730972.6,759592371.45,"-",35882305.272,69824227.564,139491155.31,"-",0,6783303,"-",0,0,87205329.509,4225082.3475,90568800.767,"-","-",-94051566.517,-1.7732481329,-1.0827478629,18.685951435
"ATOM3<XBSP>","Atompar","ATOM3",7166115.1604,2111.4069418,2708935.1063,223809.13583,8524805.5274,29559.697185,"-","-","-",7162948.0499,"-","-",20898000,"-",0,0,-1582499.5029,49419084.141,3594670.3184,3040425.9961,-280817.12325,-280817.12325,-0.077883387714,-0.068402691253,2.3647757748
