"Ativo","Nome","Código","Ativo Tot| < Dez 2017| personalizado| consolid:sim*","Imobil| < Dez 2017| personalizado| consolid:sim*","Lucro Liquido| < Dez 2017| personalizado| no exercício| consolid:sim*","PasCir| < Dez 2017| personalizado| consolid:sim*","PasNoCir| < Dez 2017| personalizado| consolid:sim*","Receita| < Dez 2017| personalizado| no exercício| consolid:sim*","DeprecAmorExaus| < Dez 2017| personalizado| no exercício| consolid:sim*","DeprAmor| < Dez 2017| personalizado| no exercício| consolid:sim*","Depr e Amor| < Dez 2017| personalizado| de 12 meses| consolid:sim*","CaixaEEqCx| < Dez 2017| personalizado| consolid:sim*","DpInCP| < Dez 2017| personalizado| consolid:sim*","DivPag| < Dez 2017| personalizado| no exercício| consolid:sim*","Qtd Ações|Outstanding|da empresa|30Dez17","Dividendos| < Dez 2017| personalizado| no exercício| consolid:sim*","Div Yld (fim)|30Dez17|1 tri","Divid por Ação|30Dez17|1 tri","Patrim Liq| < Dez 2017| personalizado| consolid:sim*","Valor Mercado|da empresa|30Dez17|personalizado","DesFin| < Dez 2017| personalizado| no exercício| consolid:sim*","LucOpe| < Dez 2017| personalizado| no exercício| consolid:sim*","LucOp(Ant)| < Dez 2017| personalizado| no exercício| consolid:sim*","EBIT| < Dez 2017| personalizado| no exercício| consolid:sim*","EBIT/FinL| < Dez 2017| de 12 meses| consolid:sim*","EBIT/FinB| < Dez 2017| de 12 meses| consolid:sim*","Fechamento|30Dez17|ajus p/prov ed"
"CAML3<XBSP>","Camil","CAML3",3992196056.4,873017804.96,188678421.85,728277493.22,1282744543.9,3858545259.7,"-",72899445.49,"-",203918481.43,"-",-108795399.65,410051876,"-",2.0333844392,0.17245869102,1981174019.2,3477798316.1,160452543.36,"-","-",330160311.37,"-","-","-"
"QVQP3B<XBSP>","524 Particip","QVQP3B",108318.7969,0,-162478.19535,0,0,0,"-",0,0,99653.29315,"-",0,186262000,"-","-","-",108318.7969,"-",0,"-","-",-168977.32317,-26,"-","-"
"EALT4<XBSP>","Aco Altona","EALT4",274481997.73,167411033.36,33197544.875,104081365.56,64252543.947,182416436.3,"-",10365025.675,10365025.675,1509964.0288,"-",-2011480.0585,2250000,"-",2.7160914728,0.097087241002,106148088.21,80426706.7,9033787.6617,"-","-",52112173.19,-8.999251777,5.7685851319,"-"
"AESL3<XBSP>","AES Sul","AESL3",4498303075.7,26038755.587,-27320166.955,849845450.36,1909418838.5,3650611003,"-",0,0,194153861.13,"-",0,525641,"-","-",0,1739038786.9,"-",201600778.42,"-","-",29930649.96,-0.25857406212,0.14846495234,"-"
"TIET11<XBSP>","AES Tiete E","TIET11",7385081335.5,5114967402.4,323090057.84,2162341062.9,3535469205.1,1871884209,"-",229148414.85,229148414.85,145789518.32,"-",-387372931.05,1967081000,"-",1.0852498189,0.029976003454,1687271067.5,5497253661.1,319833994.8,"-","-",683066998.77,-3.0937027807,2.1356922962,"-"
"AFLT3<XBSP>","Afluente T","AFLT3",59348952.011,0,13558263.808,2663559.2158,8012341.4069,25613062.716,"-",0,0,20520996.073,"-",-14919831.085,63085000,"-",0,0,48673051.388,341108882.01,380198.97713,16187161.009,13719658.815,13719658.815,5.5601404741,36.085470085,"-"
"ALEF3B<XBSP>","Alef S/A","ALEF3B",23459.685033,0,-114966.32146,10.83187969,0,0,"-",0,0,19780.095502,"-",0,65674000,"-","-","-",23448.853153,"-",0,-114966.32146,-120500.3288,-120500.3288,-21.774515561,"-","-"
"BRGE3<XBSP>","Alfa Consorc","BRGE3",3402482968.6,2080804.0885,55445142.571,1400810094,271562806.15,27398156.489,"-",1008447.9991,1008447.9991,4256928.7183,"-",-4329502.3122,73646388,"-",0,0,1181491610,270894734.48,139453951.88,"-","-",-6881493.1672,-0.055167203605,-0.049345988939,"-"
"RPAD3<XBSP>","Alfa Holding","RPAD3",1002326903.9,6499.1278142,47157671.42,7182619.4226,382365.35307,333621.89446,"-",0,0,7582.3157832,"-",-6573867.784,84682269,"-",0,0,994761919.17,271553974.65,0,"-","-",43835533.919,266.24342105,"-","-"
"ALSO3<XBSP>","Alianscsonae","ALSO3",5768691922.3,3590768.1173,149935961.86,342899399.42,1509958612.9,384375749.94,"-",2484833.2009,2484833.2009,485732897.76,"-",-37665695.247,76423831,"-",0,0,2800166549.7,2098507838.2,98159576.941,"-","-",414194831.54,-6.044179246,4.2196069344,"-"
"APTI4<XBSP>","Aliperti","APTI4",457102073.37,344354120.86,-29351144.397,32347242.319,159461516.86,36778564.3,"-",2979850.1028,2979850.1028,60658.526266,"-",0,18215,"-","-",0,265343140.83,"-",9039203.6015,"-","-",-19844003.593,2.9125596184,-2.1953265428,"-"
