"Ativo","Nome","Classe","Pais Sede","Ativo /|Cancelado","Data do Bal| Mais recente| consolid:sim*","Setor|Economatica","Tipo de Ativo","Bolsa / Fonte","Setor Econômico|Bovespa","ID da|empresa","Código","Setor NAICS|ult disponiv","Subsetor Bovespa","Segmento Bovespa","Segmento listagem|Bovespa"
"SEBB11<XBSP>","Seb","UNT N2","BR","cancelado","2010-09-30","Outros","Ação","Bovespa","-","01790","SEBB11","Educacão","-","-","-"
"TVIT3<XBSP>","Tivit","ON","BR","cancelado","2010-09-30","Outros","Ação","Bovespa","-","02176","TVIT3","Outros serviços de apoio","-","-","Tradicional"
"WISA3<XBSP>","Wiest","ON","BR","cancelado","2010-09-30","Veiculos e peças","Ação","Bovespa","-","01439","WISA3","Indústria de autopeças","-","-","-"
"KSSA3<XBSP>","Klabinsegall","ON","BR","cancelado","2010-06-30","Construção","Ação","Bovespa","-","02024","KSSA3","Construção","-","-","-"
"ABYA3<XBSP>","Abyara","ON","BR","cancelado","2010-03-31","Construção","Ação","Bovespa","-","02020","ABYA3","Construção","-","-","-"
"AGIN3<XBSP>","Agra Incorp","ON","BR","cancelado","2010-03-31","Construção","Ação","Bovespa","-","02066","AGIN3","Construção de edifícios residenciais","-","-","-"
"AGEI3<XBSP>","Agre Emp Imo","ON","BR","cancelado","2010-03-31","Construção","Ação","Bovespa","-","02191","AGEI3","Construção de edifícios residenciais","-","-","-"
"ACGU3<XBSP>","Guarani","ON","BR","cancelado","2010-03-31","Alimentos e Beb","Ação","Bovespa","-","02094","ACGU3","Indústria de açúcar e produtos de confeitaria","-","-","-"
"GVTT3<XBSP>","GVT Holding","ON","BR","cancelado","2010-03-31","Telecomunicações","Ação","Bovespa","-","02011","GVTT3","Telecomunicações","-","-","-"
"MEDI3<XBSP>","Medial Saude","ON","BR","cancelado","2010-03-31","Outros","Ação","Bovespa","-","02027","MEDI3","Serviços ambulatoriais de saúde","-","-","-"
"STRP4<XBSP>","Botucatu Tex","PN","BR","cancelado","2009-12-31","Textil","Ação","Bovespa","-","01098","STRP4","Indústria de roupas de tecido","-","-","-"
"GAFP3<XBSP>","Cimob Partic","ON","BR","cancelado","2009-12-31","Construção","Ação","Bovespa","-","00651","GAFP3","Construção de edifícios residenciais","-","-","-"
"ELUM4<XBSP>","Eluma","PN","BR","cancelado","2009-12-31","Siderur & Metalur","Ação","Bovespa","-","00547","ELUM4","Indústria de ferramentas de metal não motorizadas e cutelaria","-","-","-"
"ARCZ3<XBSP>","Aracruz","ON","BR","cancelado","2009-09-30","Papel e Celulose","Ação","Bovespa","-","00043","ARCZ3","Indústria de papel, celulose e papelão","-","-","-"
"ATBS3<XBSP>","Arteb","ON","BR","cancelado","2009-09-30","Veiculos e peças","Ação","Bovespa","-","01588","ATBS3","Indústria de autopeças","-","-","-"
"CRBM7<XBSP>","Caraiba Met","PNC","BR","cancelado","2009-09-30","Siderur & Metalur","Ação","Bovespa","-","01372","CRBM7","Outras indústrias de produtos de metal","-","-","-"
"MLPA4<XBSP>","Melpaper","PN","BR","cancelado","2009-09-30","Papel e Celulose","Ação","Bovespa","-","01453","MLPA4","Indústria de produtos de papel e papelão","-","-","-"
