"Ativo","Nome","Classe","Pais Sede","Ativo /|Cancelado","Data do Bal| Mais recente| consolid:sim*","Setor|Economatica","Tipo de Ativo","Bolsa / Fonte","Setor Econômico|Bovespa","ID da|empresa","Código","Setor NAICS|ult disponiv","Subsetor Bovespa","Segmento Bovespa","Segmento listagem|Bovespa"
"SOLO4<XBSP>","Cargill Fertilizant","PN","BR","cancelado","2003-09-30","Química","Ação","Bovespa","-","01086","SOLO4","Indústria de fertilizantes e pesticidas","-","-","-"
"SIFC4<XBSP>","Sifco","PN","BR","cancelado","2003-09-30","Veiculos e peças","Ação","Bovespa","-","01074","SIFC4","Indústria de autopeças","-","-","-"
"PVLT3<XBSP>","Souto Vidig","ON","BR","cancelado","2003-09-30","Outros","Ação","Bovespa","-","00954","PVLT3","Administração de empresas e empreendimentos","-","-","-"
"TRPA4<XBSP>","Transparana","PN","BR","cancelado","2003-09-30","Comércio","Ação","Bovespa","-","01149","TRPA4","Concessionárias de outros veículos motorizados","-","-","-"
"CPCA4<XBSP>","Trikem","PN","BR","cancelado","2003-09-30","Química","Ação","Bovespa","-","00491","CPCA4","Indústria de fibras e borracha sintéticas, resinas e filamentos","-","-","-"
"ZIVI4<XBSP>","Zivi","PN","BR","cancelado","2003-09-30","Siderur & Metalur","Ação","Bovespa","-","01184","ZIVI4","Indústria de ferramentas de metal não motorizadas e cutelaria","-","-","-"
"BHEQ4<XBSP>","Bahema Equipament","PN","BR","cancelado","2003-06-30","Comércio","Ação","Bovespa","-","01815","BHEQ4","Loja de materiais para construção","-","-","-"
"IVIL4<XBSP>","Coinvest","PN","BR","cancelado","2003-06-30","Siderur & Metalur","Ação","Bovespa","-","00755","IVIL4","Transformação de aço em produtos de aço","-","-","-"
"EDNE5<XBSP>","Edn","PNA","BR","cancelado","2003-06-30","Química","Ação","Bovespa","-","00536","EDNE5","Indústria química básica","-","-","-"
"ELAT3<XBSP>","Elevad Atlas","ON","BR","cancelado","2003-06-30","Máquinas Indust","Ação","Bovespa","-","01559","ELAT3","Indústria de máquinas industriais","-","-","-"
"AMLC4<XBSP>","Amelco","PN","BR","cancelado","2003-03-31","Eletroeletrônicos","Ação","Bovespa","-","01275","AMLC4","Indústria de computadores e produtos eletrônicos","-","-","-"
"FLBR4<XBSP>","Fer Demellot","PN","BR","cancelado","2003-03-31","Siderur & Metalur","Ação","Bovespa","-","00592","FLBR4","Indústria de produtos de metal","-","-","-"
"LIAS4<XBSP>","Liasa","PN","BR","cancelado","2003-03-31","Minerais não Met","Ação","Bovespa","-","00802","LIAS4","Indústria de outros produtos de minerais não metálicos","-","-","-"
"EMXS4<XBSP>","Geral de Concreto","PN","BR","cancelado","2002-12-31","Construção","Ação","Bovespa","-","00563","EMXS4","Fundação, estruturas e trabalhos em exteriores","-","-","-"
"CARB5<XBSP>","Nitrocarbono","PNA","BR","cancelado","2002-12-31","Química","Ação","Bovespa","-","00907","CARB5","Indústria química","-","-","-"
"BRDT4-old<XBSP>","Petrobras Distrib","PN","BR","cancelado","2002-12-31","Petróleo e Gas","Ação","Bovespa","-","01424","BRDT4-old","Comércio atacadista de petróleo e produtos de petróleo","-","-","-"
"PVPR4<XBSP>","Peve Predios","PN","BR","cancelado","2002-12-31","Outros","Ação","Bovespa","-","00955","PVPR4","Administração de empresas e empreendimentos","-","-","-"
"PVFS4<XBSP>","Peve-Finasa","PN","BR","cancelado","2002-12-31","Outros","Ação","Bovespa","-","01903","PVFS4","Administração de empresas e empreendimentos","-","-","-"
"BFCV4<XBSP>","Spscs Industrial","PN","BR","cancelado","2002-12-31","Veiculos e peças","Ação","Bovespa","-","00195","BFCV4","Indústria de carrocerias e trailers","-","-","-"
"BIOB4<XBSP>","Biobras","PN","BR","cancelado","2002-09-30","Química","Ação","Bovespa","-","00170","BIOB4","Indústria de remédios","-","-","-"
"CPFL4<XBSP>","Ferro Ligas","PN","BR","cancelado","2002-09-30","Siderur & Metalur","Ação","Bovespa","-","00380","CPFL4","Fundição","-","-","-"
"JFAB4<XBSP>","Jaragua Fabril","PN","BR","cancelado","2002-09-30","Textil","Ação","Bovespa","-","00778","JFAB4","Tecelagens","-","-","-"
"MLCF4<XBSP>","Mahle-Cofap","PN","BR","cancelado","2002-09-30","Veiculos e peças","Ação","Bovespa","-","01852","MLCF4","Indústria de autopeças","-","-","-"
"OXIT4<XBSP>","Oxiteno","PN","BR","cancelado","2002-09-30","Química","Ação","Bovespa","-","01307","OXIT4","Indústria química básica","-","-","-"
"PRBN4<XBSP>","Paraibuna","PN","BR","cancelado","2002-09-30","Siderur & Metalur","Ação","Bovespa","-","01213","PRBN4","Fundição","-","-","-"
"ROSI4<XBSP>","Amadeo Rossi","PN","BR","cancelado","2002-06-30","Siderur & Metalur","Ação","Bovespa","-","00036","ROSI4","Outras indústrias de produtos de metal","-","-","-"
"CEVA3<XBSP>","Bunge Alimentos","ON","BR","cancelado","2002-06-30","Alimentos e Beb","Ação","Bovespa","-","00259","CEVA3","Moinho de grãos","-","-","-"
"MAHS4<XBSP>","Bunge Fertilizantes","PN","BR","cancelado","2002-06-30","Química","Ação","Bovespa","-","00837","MAHS4","Indústria de fertilizantes e pesticidas","-","-","-"
"FAPC4<XBSP>","Cofap","PN","BR","cancelado","2002-03-31","Veiculos e peças","Ação","Bovespa","-","00448","FAPC4","Indústria de autopeças","-","-","-"
"RHER4<XBSP>","Ren Hermann","PN","BR","cancelado","2002-03-31","Química","Ação","Bovespa","-","01003","RHER4","Indústria de tintas e adesivos","-","-","-"
"ARNO4<XBSP>","Arno","PN","BR","cancelado","2001-12-31","Eletroeletrônicos","Ação","Bovespa","-","00052","ARNO4","Indústria de eletrodomésticos","-","-","-"
"LITS3<XBSP>","Brasilit","ON","BR","cancelado","2001-12-31","Minerais não Met","Ação","Bovespa","-","00191","LITS3","Indústria de outros produtos de minerais não metálicos","-","-","-"
"CDOU4<XBSP>","Cach Dourada","PN","BR","cancelado","2001-12-31","Energia Elétrica","Ação","Bovespa","-","01632","CDOU4","Geração, transmissão e distribuição de energia elétrica","-","-","-"
"IBRC4<XBSP>","Inbrac","PN","BR","cancelado","2001-12-31","Eletroeletrônicos","Ação","Bovespa","-","00687","IBRC4","Indústria de computadores e produtos eletrônicos","-","-","-"
"RCLL5<XBSP>","Klab Riocell","PNA","BR","cancelado","2001-12-31","Papel e Celulose","Ação","Bovespa","-","01265-old","RCLL5","Indústria de papel, celulose e papelão","-","-","-"
"MAKR3<XBSP>","Makro","ON","BR","cancelado","2001-12-31","Comércio","Ação","Bovespa","-","01483","MAKR3","Outras lojas de mercadorias variadas","-","-","-"
"ORIO4<XBSP>","Orion","PN","BR","cancelado","2001-12-31","Outros","Ação","Bovespa","-","00926","ORIO4","Indústria de produtos de borracha","-","-","-"
"RCPR12<XBSP>","Real Cons Part","PNF","BR","cancelado","2001-12-31","Outros","Ação","Bovespa","-","01802","RCPR12","Administração de empresas e empreendimentos","-","-","-"
"RHPR3<XBSP>","Real Holdings","ON","BR","cancelado","2001-12-31","Outros","Ação","Bovespa","-","01800","RHPR3","Administração de empresas e empreendimentos","-","-","-"
"RPPR3<XBSP>","Realpar Part","ON","BR","cancelado","2001-12-31","Outros","Ação","Bovespa","-","01801","RPPR3","Administração de empresas e empreendimentos","-","-","-"
"IBAN3<XBSP>","Antarct Nordeste","ON","BR","cancelado","2001-09-30","Alimentos e Beb","Ação","Bovespa","-","00698","IBAN3","Indústria de bebidas","-","-","-"
"BPCO4<XBSP>","Bompreco","PN","BR","cancelado","2001-09-30","Comércio","Ação","Bovespa","-","01520","BPCO4","Outras lojas de mercadorias variadas","-","-","-"
"EPTE4<XBSP>","Epte","PN","BR","cancelado","2001-09-30","Energia Elétrica","Ação","Bovespa","-","01700","EPTE4","Geração, transmissão e distribuição de energia elétrica","-","-","-"
"FTZA4<XBSP>","Fertiza","PN","BR","cancelado","2001-09-30","Química","Ação","Bovespa","-","01259","FTZA4","Indústria de fertilizantes e pesticidas","-","-","-"
"SIBR7<XBSP>","Sibra","PNC","BR","cancelado","2001-09-30","Siderur & Metalur","Ação","Bovespa","-","01066","SIBR7","Fundição","-","-","-"
"CLDX4<XBSP>","Coldex","PN","BR","cancelado","2001-06-30","Máquinas Indust","Ação","Bovespa","-","01245","CLDX4","Industria de máquinas agrícolas, de construção e mineração","-","-","-"
"ERIC4<XBSP>","Ericsson","PN","BR","cancelado","2001-03-31","Eletroeletrônicos","Ação","Bovespa","-","00569","ERIC4","Indústria de equipamentos de comunicação","-","-","-"
"POLA3<XBSP>","Polar","ON","BR","cancelado","2001-03-31","Alimentos e Beb","Ação","Bovespa","-","00700","POLA3","Indústria de bebidas","-","-","-"
"BARB3<XBSP>","S Gobain Canal","ON","BR","cancelado","2001-03-31","Siderur & Metalur","Ação","Bovespa","-","00368","BARB3","Fundição","-","-","-"
"VSMA3<XBSP>","S Gobain Vidro","ON","BR","cancelado","2001-03-31","Minerais não Met","Ação","Bovespa","-","00418","VSMA3","Indústria de vidro e produtos de vidro","-","-","-"
"TEBA5<XBSP>","Telebahia","PNA","BR","cancelado","2001-03-31","Telecomunicações","Ação","Bovespa","-","01126","TEBA5","Telecomunicações","-","-","-"
"TMGR6<XBSP>","Telemig","PNB","BR","cancelado","2001-03-31","Telecomunicações","Ação","Bovespa","-","01128","TMGR6","Telecomunicações","-","-","-"
"TRBR4<XBSP>","Transbrasil","PN","BR","cancelado","2001-03-31","Transporte Serviç","Ação","Bovespa","-","01147","TRBR4","Transporte aéreo regular","-","-","Tradicional"
"COPA4<XBSP>","Copas","PN","BR","cancelado","2000-12-31","Química","Ação","Bovespa","-","00381","COPA4","Indústria de fertilizantes e pesticidas","-","-","-"
"PXEC4<XBSP>","Peixe","PN","BR","cancelado","2000-12-31","Alimentos e Beb","Ação","Bovespa","-","01209","PXEC4","Indústria de laticínios","-","-","-"
"TRJC6<XBSP>","Telerj Cel","PNB","BR","cancelado","2000-12-31","Telecomunicações","Ação","Bovespa","-","01724","TRJC6","Telecomunicações","-","-","-"
"BPLA5<XBSP>","Brasperola","PNA","BR","cancelado","2000-09-30","Textil","Ação","Bovespa","-","00350","BPLA5","Tecelagens","-","-","-"
"CRGT5<XBSP>","Crt Ciargtelec","PNA","BR","cancelado","2000-09-30","Telecomunicações","Ação","Bovespa","-","00391","CRGT5","Telecomunicações","-","-","-"
"PIRE4<XBSP>","Pirelli","PN","BR","cancelado","2000-09-30","Eletroeletrônicos","Ação","Bovespa","-","00960","PIRE4","Indústria de equipamentos de iluminação elétrica","-","-","-"
"PIPN4<XBSP>","Pirelli Pneus","PN","BR","cancelado","2000-09-30","Outros","Ação","Bovespa","-","01335","PIPN4","Indústria de produtos de borracha","-","-","-"
"SLAL4<XBSP>","Sola","PN","BR","cancelado","2000-09-30","Alimentos e Beb","Ação","Bovespa","-","01471","SLAL4","Abatedouros","-","-","-"
"TAMR4<XBSP>","Tam Transp","PN","BR","cancelado","2000-09-30","Transporte Serviç","Ação","Bovespa","-","01229","TAMR4","Transporte aéreo regular","-","-","-"
"TBAC3<XBSP>","Telebahia Celular","ON","BR","cancelado","2000-09-30","Telecomunicações","Ação","Bovespa","-","01714","TBAC3","Telecomunicações","-","-","-"
"AGRA4<XBSP>","Agrale","PN","BR","cancelado","2000-06-30","Máquinas Indust","Ação","Bovespa","-","00018","AGRA4","Industria de máquinas agrícolas, de construção e mineração","-","-","Tradicional"
"ITPS4<XBSP>","Brampac","PN","BR","cancelado","2000-06-30","Outros","Ação","Bovespa","-","00771","ITPS4","Indústria de produtos de plástico","-","-","-"
"CETE4<XBSP>","Ceterp","PN","BR","cancelado","2000-06-30","Telecomunicações","Ação","Bovespa","-","01528","CETE4","Telecomunicações","-","-","-"
"FTSE4<XBSP>","Ferti Serrana","PN","BR","cancelado","2000-06-30","Química","Ação","Bovespa","-","00674","FTSE4","Indústria de fertilizantes e pesticidas","-","-","-"
"MANM3<XBSP>","Mannesmann","ON","BR","cancelado","2000-06-30","Siderur & Metalur","Ação","Bovespa","-","00840","MANM3","Transformação de aço em produtos de aço","-","-","-"
"ODBE4<XBSP>","Odebrecht","PN","BR","cancelado","2000-06-30","Outros","Ação","Bovespa","-","00919","ODBE4","Administração de empresas e empreendimentos","-","-","-"
"SAMI4<XBSP>","Samitri","PN","BR","cancelado","2000-06-30","Mineração","Ação","Bovespa","-","01026","SAMI4","Mineração de metais","-","-","-"
"MFLU3<XBSP>","Santista Alimentos","ON","BR","cancelado","2000-06-30","Alimentos e Beb","Ação","Bovespa","-","00887","MFLU3","Outras indústrias de alimentos","-","-","-"
"WHMT3<XBSP>","White Martins","ON","BR","cancelado","2000-03-31","Química","Ação","Bovespa","-","01029","WHMT3","Indústria química básica","-","-","-"
"VEMG4<XBSP>","Montreal","PN","BR","cancelado","1999-12-31","Outros","Ação","Bovespa","-","00890","VEMG4","Administração de empresas e empreendimentos","-","-","-"
"TSPC3<XBSP>","Telesp Cel","ON","BR","cancelado","1999-12-31","Telecomunicações","Ação","Bovespa","-","01727","TSPC3","Telecomunicações","-","-","-"
"TLPP3F<XBSP>","Telesp Part","ON","BR","cancelado","1999-12-31","Telecomunicações","Ação","Bovespa","-","01767-old","TLPP3F","Telecomunicações","-","-","-"
"ANTA3<XBSP>","Antarctica Paulista","ON","BR","cancelado","1999-09-30","Alimentos e Beb","Ação","Bovespa","-","00275","ANTA3","Indústria de bebidas","-","-","-"
"FGOS4<XBSP>","Frangosul","PN","BR","cancelado","1999-09-30","Alimentos e Beb","Ação","Bovespa","-","01196","FGOS4","Abatedouros","-","-","-"
"TBCP4<XBSP>","Tel B Campo","PN","BR","cancelado","1999-09-30","Telecomunicações","Ação","Bovespa","-","00410","TBCP4","Telecomunicações","-","-","-"
"TBRS4<XBSP>","Telebrasilia","PN","BR","cancelado","1999-09-30","Telecomunicações","Ação","Bovespa","-","01127","TBRS4","Telecomunicações","-","-","-"
"TRMB4<XBSP>","Trombini","PN","BR","cancelado","1999-09-30","Outros","Ação","Bovespa","-","01151","TRMB4","Administração de empresas e empreendimentos","-","-","-"
"MAFE3<XBSP>","Cimaf","ON","BR","cancelado","1999-06-30","Siderur & Metalur","Ação","Bovespa","-","00346","MAFE3","Transformação de aço em produtos de aço","-","-","-"
"HGTX4-old<XBSP>","Hering Text","PN","BR","cancelado","1999-06-30","Textil","Ação","Bovespa","-","01476-old","HGTX4-old","Outras indústrias de tecidos","-","-","-"
"SHAP4<XBSP>","Sharp","PN","BR","cancelado","1999-06-30","Eletroeletrônicos","Ação","Bovespa","-","01064","SHAP4","Indústria de eletrodomésticos","-","-","-"
"CBVI4<XBSP>","Cbv Ind Mec","PN","BR","cancelado","1999-03-31","Máquinas Indust","Ação","Bovespa","-","00230","CBVI4","Industria de máquinas agrícolas, de construção e mineração","-","-","-"
"PNXS4<XBSP>","Panex","PN","BR","cancelado","1999-03-31","Siderur & Metalur","Ação","Bovespa","-","01549","PNXS4","Outras indústrias de produtos de metal","-","-","-"
"CVPT3<XBSP>","Ceval Part","ON","BR","cancelado","1998-12-31","Outros","Ação","Bovespa","-","01682","CVPT3","Administração de empresas e empreendimentos","-","-","-"
"CTLU4<XBSP>","Continental","PN","BR","cancelado","1998-12-31","Eletroeletrônicos","Ação","Bovespa","-","00632","CTLU4","Indústria de eletrodomésticos","-","-","-"
"OLVB4<XBSP>","Olvebra","PN","BR","cancelado","1998-12-31","Alimentos e Beb","Ação","Bovespa","-","00924","OLVB4","Moinho de grãos","-","-","-"
"ITLM5<XBSP>","Antarctica MG","PNA","BR","cancelado","1998-09-30","Alimentos e Beb","Ação","Bovespa","-","00358","ITLM5","Indústria de bebidas","-","-","-"
"ANPB5<XBSP>","Antarctica Pb","PNA","BR","cancelado","1998-09-30","Alimentos e Beb","Ação","Bovespa","-","01318","ANPB5","Indústria de bebidas","-","-","-"
"IBPI6<XBSP>","Antarctica Pi","PNB","BR","cancelado","1998-09-30","Alimentos e Beb","Ação","Bovespa","-","00699","IBPI6","Indústria de bebidas","-","-","-"
"CABR4<XBSP>","Casa Anglo","PN","BR","cancelado","1998-09-30","Comércio","Ação","Bovespa","-","00217","CABR4","Loja de departamentos","-","-","-"
"IMPE4<XBSP>","Imperio","PN","BR","cancelado","1998-09-30","Alimentos e Beb","Ação","Bovespa","-","01456","IMPE4","Abatedouros","-","-","-"
"LORZ4<XBSP>","Lorenz","PN","BR","cancelado","1998-09-30","Alimentos e Beb","Ação","Bovespa","-","00361","LORZ4","Moinho de grãos","-","-","-"
"QGNE4<XBSP>","Quimica Geral","PN","BR","cancelado","1998-09-30","Química","Ação","Bovespa","-","00985-old","QGNE4","Indústria química","-","-","-"
"FTSU4<XBSP>","Fertisul","PN","BR","cancelado","1998-06-30","Química","Ação","Bovespa","-","00596","FTSU4","Indústria de fertilizantes e pesticidas","-","-","-"
"MESB4<XBSP>","Mesbla","PN","BR","cancelado","1998-06-30","Comércio","Ação","Bovespa","-","00855","MESB4","Loja de departamentos","-","-","-"
"NAKT4<XBSP>","Nakata","PN","BR","cancelado","1998-06-30","Veiculos e peças","Ação","Bovespa","-","00905","NAKT4","Indústria de autopeças","-","-","-"
"SAGR4<XBSP>","Agroceres","PN","BR","cancelado","1998-03-31","Química","Ação","Bovespa","-","01057","SAGR4","Indústria de fertilizantes e pesticidas","-","-","-"
"TELB3-old<XBSP>","Telebras (Old)","ON","BR","cancelado","1998-03-31","Telecomunicações","Ação","Bovespa","-","01125-old","TELB3-old","Telecomunicações","-","-","-"
"BTAS5<XBSP>","Beta","PNA","BR","cancelado","1997-12-31","Eletroeletrônicos","Ação","Bovespa","-","00166","BTAS5","Indústria de equipamentos de navegação, medição, controle e eletromédicos","-","-","-"
"ELPL11-old<XBSP>","Eletropaulo (Old)","PNB","BR","cancelado","1997-12-31","Energia Elétrica","Ação","Bovespa","-","01417-old","ELPL11-old","Geração, transmissão e distribuição de energia elétrica","-","-","-"
"TRIC4<XBSP>","Enxuta","PN","BR","cancelado","1997-12-31","Eletroeletrônicos","Ação","Bovespa","-","01221","TRIC4","Indústria de eletrodomésticos","-","-","-"
"CBTA4<XBSP>","Corbetta","PN","BR","cancelado","1997-09-30","Outros","Ação","Bovespa","-","00483","CBTA4","Curtumes","-","-","-"
"FRI4<XBSP>","Frigobras","PN","BR","cancelado","1997-09-30","Alimentos e Beb","Ação","Bovespa","-","00622","FRI4","Abatedouros","-","-","-"
"MEC4<XBSP>","Mec Pesada","PN","BR","cancelado","1997-09-30","Máquinas Indust","Ação","Bovespa","-","00851","MEC4","Indústria de motores, turbinas e transmissores de energia","-","-","-"
"CZAR4<XBSP>","Czarina","PN","BR","cancelado","1997-06-30","Textil","Ação","Bovespa","-","01274","CZAR4","Indústria de calçados","-","-","-"
"WET4<XBSP>","Wentex","PN","BR","cancelado","1997-06-30","Textil","Ação","Bovespa","-","01467","WET4","Outras indústrias de tecidos","-","-","-"
"PRSC4<XBSP>","Persico","PN","BR","cancelado","1997-03-31","Siderur & Metalur","Ação","Bovespa","-","00949","PRSC4","Transformação de aço em produtos de aço","-","-","-"
"RIO4<XBSP>","Sid Riogran","PN","BR","cancelado","1997-03-31","Siderur & Metalur","Ação","Bovespa","-","01072","RIO4","Transformação de aço em produtos de aço","-","-","-"
"SAD4<XBSP>","Sv Engenhar","PN","BR","cancelado","1997-03-31","Construção","Ação","Bovespa","-","01299","SAD4","Outros trabalhos especializados em construção","-","-","-"
"ANO5<XBSP>","Sid Aconorte","PNA","BR","cancelado","1996-09-30","Siderur & Metalur","Ação","Bovespa","-","01067","ANO5","Transformação de aço em produtos de aço","-","-","-"
"AQT4<XBSP>","Aquatec","PN","BR","cancelado","1996-06-30","Química","Ação","Bovespa","-","01256","AQT4","Indústria de artigos de limpeza","-","-","-"
"VTEC4<XBSP>","Votec","PN","BR","cancelado","1996-03-31","Transporte Serviç","Ação","Bovespa","-","01175","VTEC4","Taxi aéreo","-","-","-"
"MADE4<XBSP>","Madeirit","PN","BR","cancelado","1995-12-31","Outros","Ação","Bovespa","-","00743","MADE4","Indústria de produtos de madeira compensada e afins","-","-","-"
"OLMA4<XBSP>","Olma","PN","BR","cancelado","1995-12-31","Alimentos e Beb","Ação","Bovespa","-","OLM","OLMA4","Moinho de grãos","-","-","-"
"BRUM4<XBSP>","Brumadinho","PN","BR","cancelado","1994-12-31","Mineração","Ação","Bovespa","-","01297","BRUM4","Extração de minerais não metálicos","-","-","-"
"PMT4<XBSP>","Prometal","PN","BR","cancelado","1994-09-30","Siderur & Metalur","Ação","Bovespa","-","00976","PMT4","Outras indústrias de produtos de metal","-","-","-"
"MULL4<XBSP>","Muller","PN","BR","cancelado","1993-12-31","Eletroeletrônicos","Ação","Bovespa","-","00898","MULL4","Indústria de eletrodomésticos","-","-","-"
"CIC4<XBSP>","Cica","PN","BR","cancelado","1993-09-30","Alimentos e Beb","Ação","Bovespa","-","00341","CIC4","Indústria de laticínios","-","-","-"
"GLAS4<XBSP>","Glasslite","PN","BR","cancelado","1993-06-30","Outros","Ação","Bovespa","-","00648","GLAS4","Outras outras indústrias","-","-","-"
"ENG5<XBSP>","Engesa","PNA","BR","cancelado","1990-12-31","Siderur & Metalur","Ação","Bovespa","-","00564","ENG5","Outras indústrias de produtos de metal","-","-","-"
