"Ativo","Nome","Código","Ativo Tot| < Dez 2000| personalizado| consolid:sim*","Imobil| < Dez 2000| personalizado| consolid:sim*","Lucro Liquido| < Dez 2000| personalizado| no exercício| consolid:sim*","PasCir| < Dez 2000| personalizado| consolid:sim*","PasNoCir| < Dez 2000| personalizado| consolid:sim*","Receita| < Dez 2000| personalizado| no exercício| consolid:sim*","DeprecAmorExaus| < Dez 2000| personalizado| no exercício| consolid:sim*","DeprAmor| < Dez 2000| personalizado| no exercício| consolid:sim*","Depr e Amor| < Dez 2000| personalizado| de 12 meses| consolid:sim*","CaixaEEqCx| < Dez 2000| personalizado| consolid:sim*","DpInCP| < Dez 2000| personalizado| consolid:sim*","DivPag| < Dez 2000| personalizado| no exercício| consolid:sim*","Qtd Ações|Outstanding|da empresa|31Dez00","Dividendos| < Dez 2000| personalizado| no exercício| consolid:sim*","Div Yld (fim)|31Dez00|1 tri","Divid por Ação|31Dez00|1 tri","Patrim Liq| < Dez 2000| personalizado| consolid:sim*","Valor Mercado|da empresa|31Dez00|personalizado","DesFin| < Dez 2000| personalizado| no exercício| consolid:sim*","LucOpe| < Dez 2000| personalizado| no exercício| consolid:sim*","LucOp(Ant)| < Dez 2000| personalizado| no exercício| consolid:sim*","EBIT| < Dez 2000| personalizado| no exercício| consolid:sim*","EBIT/FinL| < Dez 2000| de 12 meses| consolid:sim*","EBIT/FinB| < Dez 2000| de 12 meses| consolid:sim*","Fechamento|31Dez00|ajus p/prov ed"
"CAML3<XBSP>","Camil","CAML3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"QVQP3B<XBSP>","524 Particip","QVQP3B",148439706.31,0,559946.89094,651689.60188,0,0,0,"-",0,"-",12144836.804,"-",49123000,531475.01513,"-","-",147788016.71,"-",0,670670.85242,-1335014.6213,-1335014.6213,-0.66561514196,"-","-"
"EALT4<XBSP>","Aco Altona","EALT4",106590645.49,79709303.572,-41498907.359,270851644.88,5236560.0532,114525871.16,"-","-","-","-",964083.02327,"-",2250000,0,"-",0,-169497559.44,"-",35102969.359,-39894694.316,-6458408.4588,-8062621.5024,0.24113388481,-0.22968488562,"-"
"AESL3<XBSP>","AES Sul","AESL3",6699932217.8,4917849038.9,-468052329.99,1280215751,5092482871,2479950999.8,280495429.86,"-",280495429.86,"-",26130854.91,"-",537163000,2606758.4075,0,0,327233595.77,1101356896.5,1493052513.3,-692875752.01,441703190.7,436546617.63,-0.38550053358,0.2923853071,"-"
"TIET11<XBSP>","AES Tiete E","TIET11","-","-","-","-","-","-","-","-","-","-","-","-",100,"-","-","-","-","-","-","-","-","-","-","-","-"
"AFLT3<XBSP>","Afluente T","AFLT3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"ALEF3B<XBSP>","Alef S/A","ALEF3B",123378.12851,0,0,246756.25702,136032.29554,0,0,"-",0,0,0,"-",1000,"-","-","-",-259410.42405,"-",3163.5417567,0,0,0,"-",0,"-"
"BRGE3<XBSP>","Alfa Consorc","BRGE3",3341759881.6,8854753.377,49275326.402,1566889577.9,570740895.41,30695845.665,3169868.8402,"-",3169868.8402,"-",1428971811.5,"-",75606000,11784193.043,0,0,931536505.68,491671886.49,2360002.1505,92248877.626,20322592.245,45668888.8,0.96079866889,19.351206434,"-"
"RPAD3<XBSP>","Alfa Holding","RPAD3",852802278.44,117051.04499,44242131.468,16130899.417,47453.126351,1442575.0411,25308.334054,"-",25308.334054,"-",21670261.033,"-",84682000,13653846.221,0,0,836623925.9,485056113.33,0,46140256.522,-10496631.548,40714782.409,7.5043731778,"-","-"
"ALSO3<XBSP>","Alianscsonae","ALSO3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
