"Ativo","Nome","Código","Ativo Tot| < Mar 2012| personalizado| consolid:sim*","Imobil| < Mar 2012| personalizado| consolid:sim*","Lucro Liquido| < Mar 2012| personalizado| no exercício| consolid:sim*","PasCir| < Mar 2012| personalizado| consolid:sim*","PasNoCir| < Mar 2012| personalizado| consolid:sim*","Receita| < Mar 2012| personalizado| no exercício| consolid:sim*","DeprecAmorExaus| < Mar 2012| personalizado| no exercício| consolid:sim*","DeprAmor| < Mar 2012| personalizado| no exercício| consolid:sim*","Depr e Amor| < Mar 2012| personalizado| de 12 meses| consolid:sim*","CaixaEEqCx| < Mar 2012| personalizado| consolid:sim*","DpInCP| < Mar 2012| personalizado| consolid:sim*","DivPag| < Mar 2012| personalizado| no exercício| consolid:sim*","Qtd Ações|Outstanding|da empresa|31Mar12","Dividendos| < Mar 2012| personalizado| no exercício| consolid:sim*","Div Yld (fim)|31Mar12|1 tri","Divid por Ação|31Mar12|1 tri","Patrim Liq| < Mar 2012| personalizado| consolid:sim*","Valor Mercado|da empresa|31Mar12|personalizado","DesFin| < Mar 2012| personalizado| no exercício| consolid:sim*","LucOpe| < Mar 2012| personalizado| no exercício| consolid:sim*","LucOp(Ant)| < Mar 2012| personalizado| no exercício| consolid:sim*","EBIT| < Mar 2012| personalizado| no exercício| consolid:sim*","EBIT/FinL| < Mar 2012| de 12 meses| consolid:sim*","EBIT/FinB| < Mar 2012| de 12 meses| consolid:sim*","Fechamento|31Mar12|ajus p/prov ed"
"CAML3<XBSP>","Camil","CAML3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"QVQP3B<XBSP>","524 Particip","QVQP3B",831572.47787,0,771291.2016,7728.3687535,0,0,"-",0,0,802204.67661,"-",0,176261901,"-","-","-",823844.10912,"-",0,"-","-",692461.84031,4.8311688312,"-","-"
"EALT4<XBSP>","Aco Altona","EALT4",369049701.74,252988151.14,4205778.2756,79410534.616,199741236.11,69451758.64,"-","-","-",683187.79781,"-","-",2250000,"-",0,0,89897931.014,90908801.647,3244369.2027,"-","-",7496517.6909,-3.7748658688,2.0646726862,4.0403911843
"AESL3<XBSP>","AES Sul","AESL3",4225372781.8,1633777.1545,92316910.434,1083141700.5,1773227840.3,905931750.67,"-",45288240.895,179239419.48,65105324.053,"-",0,278483,"-","-",0,1369003241,"-",44858543.593,139044173.59,165776601.11,165776601.11,-5.7953569945,2.9626274066,"-"
"TIET11<XBSP>","AES Tiete E","TIET11",27442737253,4862530415.3,216460789.07,4881155784,9750508803.2,3888423632.5,"-",320320791.07,1104374620.8,92395739.795,"-",-38641.843767,650000000,"-","-","-",7300159934.6,"-",182585803.15,"-","-",829518277.46,-16.043811291,4.4941238028,"-"
"AFLT3<XBSP>","Afluente T","AFLT3",151428111.68,0,7731460.101,12019159.085,6080680.5352,10847538.382,"-",0,0,42159797.224,"-",-1545.6737507,63085000,"-",0,0,133328272.06,478796625.76,137564.96381,8706780.2377,7264666.6283,7264666.6283,5.9592988711,37.077634011,"-"
"ALEF3B<XBSP>","Alef S/A","ALEF3B",130853.64838,0,-60718.701948,624.45219528,0,0,"-",0,0,125641.63649,"-",0,21474000,"-","-","-",130229.19619,"-",0,"-","-",-64245.929448,-14.403283106,"-","-"
"BRGE3<XBSP>","Alfa Consorc","BRGE3",8214993220.4,4664843.3796,24505111.643,4066199298.9,2523381953.3,8040594.8511,"-",358596.31016,1490029.4957,6909161.6656,"-",0,73646388,"-",0.092342782617,0.007165880753,1199887984.6,488446826.7,149106509.71,"-","-",-33680231.028,-0.39359705894,-0.18803168621,"-"
"RPAD3<XBSP>","Alfa Holding","RPAD3",1030740269,0,21206643.859,3046522.9626,3091.3475014,35550.496266,"-",0,0,24730.780011,"-",0,84682269,"-",0,0,1027690654.7,581980801.94,0,"-","-",21115449.108,164.63664596,"-","-"
"ALSO3<XBSP>","Alianscsonae","ALSO3",5753002337.1,7035906.9132,34075923.508,223645080.66,1708787155.9,87525321.807,"-",678550.77655,2323147.6473,1130329574.4,"-",0,76423831,"-",0,0,3037935199.3,3413850344.7,17110608.42,"-","-",63592109.451,14.810862149,-20.253445717,44.669971395
"APTI4<XBSP>","Aliperti","APTI4",632225388.57,442463022.2,3194907.6427,125904401.03,4148588.3469,27217769.076,"-",1440567.9356,5777728.4801,369416.02642,"-",0,182155,"-","-",0,502002375.08,"-",890308.0804,"-","-",2936780.1263,-14.296416938,2.5428736964,"-"
"FRRN3B<XBSP>","All Norte","FRRN3B",5944633423,4158806796,118764933.98,843780209.16,3224788607.6,529486000.04,"-",37014249.308,154514822.16,541117195.01,"-",0,707543040,"-","-","-",1876064606.3,"-",89211651.869,"-","-",222116409.32,-3.4338007333,2.445165575,"-"
"AALR3<XBSP>","Alliar","AALR3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"ALPA4<XBSP>","Alpargatas","ALPA4",3890360361.7,563376442.7,120817588.72,1013097948.8,493365150.16,1003047978.1,"-",22223697.187,86192951.034,784138841.81,"-",-4538098.132,348363000,"-",0.4130733626,0.060595319979,2365802060.1,8589191886,23565342.003,"-","-",127873589.39,11.534132007,4.7604254128,14.669384537
"ALTR3<XBSP>","Altere Sec","ALTR3",2214950.4847,0,29367.801263,1179349.0718,139110.63756,18548.085008,"-","-","-",58735.602526,"-","-",17774000,"-","-","-",896490.7754,"-",1545.6737507,"-","-",0,"-","-","-"
"ALUP11<XBSP>","Alupar","ALUP11",10346628798,2619694430.4,98233749.552,1362883918.6,4417039418.2,457907394.32,"-",12523048.728,43244860.197,68300231.696,"-",-56376904.383,163910000,"-","-","-",2467961821,"-",100187481.17,"-","-",339233655.09,-3.5089095381,2.8143783018,"-"
