"Ativo","Nome","Código","Ativo Tot| < Set 2001| personalizado| consolid:sim*","Imobil| < Set 2001| personalizado| consolid:sim*","Lucro Liquido| < Set 2001| personalizado| no exercício| consolid:sim*","PasCir| < Set 2001| personalizado| consolid:sim*","PasNoCir| < Set 2001| personalizado| consolid:sim*","Receita| < Set 2001| personalizado| no exercício| consolid:sim*","DeprecAmorExaus| < Set 2001| personalizado| no exercício| consolid:sim*","DeprAmor| < Set 2001| personalizado| no exercício| consolid:sim*","Depr e Amor| < Set 2001| personalizado| de 12 meses| consolid:sim*","CaixaEEqCx| < Set 2001| personalizado| consolid:sim*","DpInCP| < Set 2001| personalizado| consolid:sim*","DivPag| < Set 2001| personalizado| no exercício| consolid:sim*","Qtd Ações|Outstanding|da empresa|30Set01","Dividendos| < Set 2001| personalizado| no exercício| consolid:sim*","Div Yld (fim)|30Set01|1 tri","Divid por Ação|30Set01|1 tri","Patrim Liq| < Set 2001| personalizado| consolid:sim*","Valor Mercado|da empresa|30Set01|personalizado","DesFin| < Set 2001| personalizado| no exercício| consolid:sim*","LucOpe| < Set 2001| personalizado| no exercício| consolid:sim*","LucOp(Ant)| < Set 2001| personalizado| no exercício| consolid:sim*","EBIT| < Set 2001| personalizado| no exercício| consolid:sim*","EBIT/FinL| < Set 2001| de 12 meses| consolid:sim*","EBIT/FinB| < Set 2001| de 12 meses| consolid:sim*","Fechamento|30Set01|ajus p/prov ed"
"CAML3<XBSP>","Camil","CAML3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"QVQP3B<XBSP>","524 Particip","QVQP3B",3213110.1433,0,-149715918.14,33031.973435,0,0,"-","-","-","-",2417339.8741,"-",53532000,"-","-","-",3180078.1698,"-",0,-149685889.08,-150706877.35,-150706877.35,-100.35928143,"-","-"
"EALT4<XBSP>","Aco Altona","EALT4",107636186.89,75333919.78,-11329966.888,274777972.48,5077915.189,95210159.068,"-","-","-","-",3071973.5295,"-",2250000,"-",0,0,-172219700.77,13645773.879,19630000.941,-10209882.698,8828545.6273,7708461.4372,-0.2104400039,0.20323795808,"-"
"AESL3<XBSP>","AES Sul","AESL3",8445161529.1,4706089278.6,-442202031.29,1645857114.2,6003570180.6,2281989861.5,"-","-","-","-",32806755.435,"-",537215000,"-","-",0,795734234.25,2831015991.6,1973155924.4,-628688541.68,554084328.22,552519813.84,-0.48169360892,0.31637461526,"-"
"TIET11<XBSP>","AES Tiete E","TIET11","-","-","-","-","-","-","-","-","-","-","-","-",100,"-","-","-","-","-","-","-","-","-","-","-","-"
"AFLT3<XBSP>","Afluente T","AFLT3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"ALEF3B<XBSP>","Alef S/A","ALEF3B",188846.79504,0,0,304461.70497,129124.98706,0,"-","-","-","-",2065.9997931,"-",1000,"-","-","-",-244739.897,"-",0,0,0,0,"-",0,"-"
"BRGE3<XBSP>","Alfa Consorc","BRGE3",963722839.51,180174.40056,69114900.054,15603103.088,2120052.1132,3705586.8381,"-","-","-","-",4318179.8,"-",75160000,"-",1.7088486526,0.08490703747,945999684.31,375333671.52,0,76715256.85,-9933615.284,75252841.299,53.996497373,-3425.7777778,"-"
"RPAD3<XBSP>","Alfa Holding","RPAD3",863554881.52,108104.64033,61682706.031,13633196.308,24023.253408,1636584.1384,"-","-","-","-",8891606.6675,"-",84682000,"-",1.8241903517,0.08490703747,849897661.96,400479164.61,0,68535339.065,-9459156.0292,66439310.205,31.094318182,-4560.5,4.6545053477
"ALSO3<XBSP>","Alianscsonae","ALSO3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"APTI4<XBSP>","Aliperti","APTI4",314230160.38,106209806.22,14663193.298,22641916.337,49650058.98,33881796.025,"-","-","-","-",65835725.963,"-",185955000,"-",0,0,241938185.07,169166658.78,2732645.0751,14567100.285,10336004.778,13462030.628,3.2587601078,8.3958333333,"-"
"FRRN3B<XBSP>","All Norte","FRRN3B",4787579157.1,2842200119.4,-322187863.08,270372708.38,3387194649.1,313950890.06,"-","-","-","-",22620895.99,"-",352682000,"-","-","-",1130011799.6,"-",211221452.68,-321947630.54,-118659857.3,-118900089.83,0.89271311875,-0.85918196164,"-"
"AALR3<XBSP>","Alliar","AALR3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"ALPA4<XBSP>","Alpargatas","ALPA4",1944667348.8,380918711.84,94204185.331,380777575.23,276840969.36,1318687429,"-","-","-","-",266826275.6,"-",1863583000,"-",1.9648781874,0.021871513355,1287048804.2,765136370.65,102837542.02,92504540.153,71859556.755,111828244.61,-5.4165838678,1.2051488173,"-"
"ALTR3<XBSP>","Altere Sec","ALTR3",255247.06746,0,"-",0,30029.066759,"-","-","-","-","-",21020.346732,"-",6511842,"-","-","-",225218.0007,"-","-","-","-","-","-","-","-"
"ALUP11<XBSP>","Alupar","ALUP11","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"ABEV3<XBSP>","Ambev S/A","ABEV3",30553908782,9875569098,1819488181.1,9575161317,9582548467.5,13137755745,"-","-","-","-",82243608.041,"-",38760787000,"-",0.93408314741,0.033659575569,10124867407,46568724142,2991816941.6,1483601057.8,2623609533.7,2732233676.9,-2.9884455214,1.1334139714,3.5943162051
"AMBP3<XBSP>","Ambipar","AMBP3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"CBEE3<XBSP>","Ampla Energ","CBEE3",9607676790.5,4278970847.5,-383999694.09,2737152438,6099465002.4,2417384917.7,"-","-","-","-",17612047.654,"-",1.704025408E12,"-",0,0,771059350.09,2558514758.4,1751805667.5,-598842652.22,220365303.51,43956547.922,-0.083612462628,0.031472214337,45.641382065
"ANIM3<XBSP>","Anima","ANIM3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"ARZZ3<XBSP>","Arezzo Co","ARZZ3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"ARTR3<XBSP>","Arteris","ARTR3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"ATMP3<XBSP>","Atmasa","ATMP3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"ATOM3<XBSP>","Atompar","ATOM3",130266091.6,13726286.415,-7630385.8636,9360060.1089,113732087.44,45043.600139,"-","-","-","-",12011.626703,"-",76227000,"-",0,0,7173944.0488,525654581.21,3969842.6256,-9444141.4958,-27395517.605,-4702551.8545,15.676238999,-8.7886263308,"-"
"AURA32<XBSP>","Aura 360","AURA32","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AZUL4<XBSP>","Azul S.A.","AZUL4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BTOW3<XBSP>","B2W Digital","BTOW3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BAHI3<XBSP>","Bahema","BAHI3",64511444.119,177171.49388,-4840685.5616,135130.80042,9507202.5361,0,"-","-","-","-",39037.786787,"-",342373000,"-","-",0,54869110.783,"-",456441.81474,-4840685.5616,-1026994.0831,-4408267.0003,5.3827160494,-5.0307692308,"-"
"EBEN4<XBSP>","Bandeirante Energ","EBEN4",9540396666.4,4833796893.7,-475774527.92,4122306203.4,3921219560.7,6129400979,"-","-","-","-",56103305.427,"-",39091735000,"-",0,0,1496870902.4,2621569036.4,281534512.5,-622553603.34,-415890562.99,-424469867.37,0.26993638112,-0.18224224384,"-"
"BTTL3<XBSP>","Battistella","BTTL3",953843276.55,484323803.23,-79234695.552,523094331.32,275630797.97,873491499.71,"-","-","-","-",35596455.737,"-",137898000,"-","-","-",103071768.74,"-",128091987.16,-79174637.418,33809726.264,46475986.624,-0.17289748032,0.14884931901,"-"
"BALM4<XBSP>","Baumer","BALM4",66382254.979,8245981.7321,2876784.5956,18020442.962,11663289.529,53121419.097,"-","-","-","-",2441363.1275,"-",440000000,"-",0,0,36698522.487,7949870.7943,885857.46941,4783630.3348,5125961.6958,5192025.6427,-3.3532934132,-1.9787985866,"-"
"BBML3<XBSP>","Bbmlogistica","BBML3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BMKS3<XBSP>","Bic Monark","BMKS3",690296175.04,86276511.707,54595846.275,91363435.616,22350634.389,172634101.89,"-","-","-","-",483467.97483,"-",454750,"-",0,0,576582105.04,314960932.22,2714627.6351,76550096.983,16458931.491,45845376.222,1.3427684856,13.647692307,"-"
"BIOM3<XBSP>","Biomm","BIOM3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"GBIO33<XBSP>","Biotoscana","GBIO33","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BKBR3<XBSP>","Bk Brasil","BKBR3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BOBR4<XBSP>","Bombril","BOBR4",4894275434.2,288681430.39,865978227.21,1053254502,443069871.32,812403369.2,"-","-","-","-",24530744.636,"-",39531902000,"-",0,0,3397951060.8,724134721.84,697989621.94,854918521.92,82036407.48,68111929.224,0.099297315114,0.088426501933,18.31773037
"BBRK3<XBSP>","BR Brokers","BBRK3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BRML3<XBSP>","BR Malls Par","BRML3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BRPR3<XBSP>","BR Propert","BRPR3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
