"Ativo","Nome","Código","Ativo Tot| < Dez 2011| personalizado| consolid:sim*","Imobil| < Dez 2011| personalizado| consolid:sim*","Lucro Liquido| < Dez 2011| personalizado| no exercício| consolid:sim*","PasCir| < Dez 2011| personalizado| consolid:sim*","PasNoCir| < Dez 2011| personalizado| consolid:sim*","Receita| < Dez 2011| personalizado| no exercício| consolid:sim*","DeprecAmorExaus| < Dez 2011| personalizado| no exercício| consolid:sim*","DeprAmor| < Dez 2011| personalizado| no exercício| consolid:sim*","Depr e Amor| < Dez 2011| personalizado| de 12 meses| consolid:sim*","CaixaEEqCx| < Dez 2011| personalizado| consolid:sim*","DpInCP| < Dez 2011| personalizado| consolid:sim*","DivPag| < Dez 2011| personalizado| no exercício| consolid:sim*","Qtd Ações|Outstanding|da empresa|30Dez11","Dividendos| < Dez 2011| personalizado| no exercício| consolid:sim*","Div Yld (fim)|30Dez11|1 tri","Divid por Ação|30Dez11|1 tri","Patrim Liq| < Dez 2011| personalizado| consolid:sim*","Valor Mercado|da empresa|30Dez11|personalizado","DesFin| < Dez 2011| personalizado| no exercício| consolid:sim*","LucOpe| < Dez 2011| personalizado| no exercício| consolid:sim*","LucOp(Ant)| < Dez 2011| personalizado| no exercício| consolid:sim*","EBIT| < Dez 2011| personalizado| no exercício| consolid:sim*","EBIT/FinL| < Dez 2011| de 12 meses| consolid:sim*","EBIT/FinB| < Dez 2011| de 12 meses| consolid:sim*","Fechamento|30Dez11|ajus p/prov ed"
"CAML3<XBSP>","Camil","CAML3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"QVQP3B<XBSP>","524 Particip","QVQP3B",54761.097457,0,-107957.59213,1564.6027845,0,0,"-",0,0,34421.261259,"-",0,176261901,"-","-","-",53196.494673,"-",0,-107957.59213,-183058.52579,-183058.52579,-2.4375,"-","-"
"EALT4<XBSP>","Aco Altona","EALT4",372389544.14,252174853.79,13608915.019,80649015.13,204998950.63,269410518.07,"-","-","-",491285.27433,"-","-",2250000,"-",0,0,86741578.373,91529262.893,15002976.1,"-","-",28397540.539,-3.2203690561,1.8927938263,"-"
"AESL3<XBSP>","AES Sul","AESL3",4147578923.2,1789905.5855,385344455.19,1068212211.2,1788558462.5,3172893972.6,"-",179430211.93,179430211.93,47933170.906,"-",-59001171.003,278483,"-","-",0,1290808249.4,"-",210313906.29,476499778.02,586702575.14,586702575.14,-5.3238446795,2.7896518375,"-"
"TIET11<XBSP>","AES Tiete E","TIET11",26916966311,4952290121.1,1766679057.1,5230036842.8,9077695493.6,15517664703,"-",1133643899.7,1133643899.7,325291871.12,"-",-2902759043.4,650000000,"-","-","-",7224695736.3,"-",930553764.49,"-","-",4316534119.5,-16.250531598,4.6386724595,"-"
"AFLT3<XBSP>","Afluente T","AFLT3",144888476.26,0,33110124.126,11404389.696,6349158.0995,50079805.926,"-",0,0,103263.78377,"-",-24608072.595,63085000,"-",0,0,127134928.46,347187685.85,873048.35375,37220335.64,31933542.832,31933542.832,6.0402485943,36.577060932,"-"
"ALEF3B<XBSP>","Alef S/A","ALEF3B",68163.484909,0,-126390.17753,45.37348075,0,0,"-",0,0,63205.258685,"-",0,21394000,"-","-","-",68118.111429,"-",0,-126390.17753,-140291.67327,-140291.67327,-10.09184018,"-","-"
"BRGE3<XBSP>","Alfa Consorc","BRGE3",8271246022,4714148.1897,88615972.509,4317934439,2338212808.3,24140256.362,"-",1516100.0982,1516100.0982,9522172.5464,"-",-5778078.0832,73646388,"-",0,0,1182672292.6,550164247.66,651294071.9,"-","-",-117700373.66,-0.39166245815,-0.18071771071,"-"
"RPAD3<XBSP>","Alfa Holding","RPAD3",1028809254.7,0,74842774.196,8015460.065,3129.205569,148637.26453,"-",0,0,98569.975423,"-",-7769817.4278,84682269,"-",0,0,1020790665.4,623481300.43,0,"-","-",74182511.821,112.35308056,"-","-"
"ALSO3<XBSP>","Alianscsonae","ALSO3",5118443113.8,9343807.829,361501473.36,196091666.98,1119748662.4,342937461.32,"-",2295272.2849,2295272.2849,611631391.31,"-",-4598367.5836,76423831,"-",0,0,3040645922.2,2869750530.8,-36236200.489,"-","-",704780018.09,19.449611399,-19.449611399,"-"
"APTI4<XBSP>","Aliperti","APTI4",638540994.6,449283512.58,13316334.298,129248706.82,4316739.0824,113006565.31,"-",5929844.5532,5929844.5532,251901.0483,"-",-5408831.826,182155,"-","-",0,504800313.18,"-",8592798.4925,"-","-",19222709.81,-8.7072997874,2.2370721049,"-"
"FRRN3B<XBSP>","All Norte","FRRN3B",5860188437.3,4114950696.7,548218040.46,970535624.05,3112404864.3,1843760777.9,"-",158175083.1,158175083.1,599429054.19,"-",0,707543040,"-","-","-",1777247948.9,"-",346080748.31,"-","-",824858587.99,-3.4181827613,2.3834281219,"-"
"AALR3<XBSP>","Alliar","AALR3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"ALPA4<XBSP>","Alpargatas","ALPA4",3821626789.7,535062860.24,480990188.01,1042493270.7,448095979.07,4028382789.3,"-",84543311.46,84543311.46,798678089.59,"-",-159838255.86,348363000,"-",0.45416436976,0.052960341311,2311994759.4,6733410382.2,97931617.487,"-","-",487866617.25,10.734104444,4.9817069274,"-"
"ALTR3<XBSP>","Altere Sec","ALTR3",3191789.6804,0,120474.4144,2080921.7034,140814.2506,134555.83947,"-","-","-",43808.877966,"-","-",17774000,"-","-","-",970053.72639,"-",12516.822276,"-","-",-122039.01719,-0.43093922652,-9.75,"-"
"ALUP11<XBSP>","Alupar","ALUP11",10030235056,2552375637.4,298099074.72,1437372415.3,4191132770.9,1898872346.4,"-",37766382.012,37766382.012,41529251.709,"-",-440470105.1,163910000,"-","-","-",2398744160.8,"-",402598894.7,"-","-",1155302696.1,-3.6989725633,2.8696121904,"-"
"ABEV3<XBSP>","Ambev S/A","ABEV3",72189861878,14496373365,13519695110,22542660799,9235318271.9,42442540082,"-",2276091819.3,2276091819.3,12636109156,"-",-8566901187.2,3116840000,"-",1.3416108587,0.2292204189,40071542587,2.9341069664E11,1930291134.9,"-","-",18321378132,-25.012437949,9.4915102705,"-"
"AMBP3<XBSP>","Ambipar","AMBP3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"CBEE3<XBSP>","Ampla Energ","CBEE3",7288716153,64765167.662,329117324.92,1735394824.5,2994044228.3,5182544889.9,"-",285120694.62,285120694.62,93075090.444,"-",-80198409.528,3.922515918E12,"-",0,0,2559277100.3,11476525342,484130345.8,562175861.9,907852942.69,907852942.69,-2.6263035449,1.8752242047,"-"
"ANIM3<XBSP>","Anima","ANIM3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"ARZZ3<XBSP>","Arezzo Co","ARZZ3",798929990.64,47396512.151,143337954.9,160087027.7,37961957.36,1062219782.6,"-",6349158.0995,6349158.0995,24295152.038,"-",-13208376.706,88542000,"-",0,0,600881005.58,3199218756.5,17000973.856,"-","-",177849963.12,9.6486715898,10.461163261,"-"
"ARTR3<XBSP>","Arteris","ARTR3",8683981978.1,82324704.712,632719107.64,1479300640.7,5016661008.9,4243390503.9,"-",319135159.16,319135159.16,1843812409.8,"-",-224542404.01,68888000,"-",1.8010176634,0.34378102463,2188020328.6,6574723753.7,569075760.17,"-","-",1264441563.3,-3.9001925592,2.2219213184,"-"
"ATMP3<XBSP>","Atmasa","ATMP3",4142218594,813457327.5,32731490.252,1799847071.6,1562978726.8,4625277186.9,"-",249036260.61,249036260.61,845796102.45,"-",-148297745.72,64334285,"-",0,0,772563304.52,2126851287.9,129876112.53,"-","-",161745506.66,-2.3243547082,1.2453830308,"-"
"ATOM3<XBSP>","Atompar","ATOM3",760396.95327,0,-733798.70593,9267142.2926,25115003.897,0,"-",0,0,0,"-","-",88485000,"-",0,0,-33621749.236,24919897.93,751009.33656,"-","-",-560127.79685,3.2252252252,-0.74583333333,"-"
"AURA32<XBSP>","Aura 360","AURA32","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AZUL4<XBSP>","Azul S.A.","AZUL4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BTOW3<XBSP>","B2W Digital","BTOW3",6399267632.9,333318283.4,-139512501.09,2190789675.5,2426633205.4,6621613334.6,"-",113654310.86,113654310.86,23933728.794,"-",-9678632.8249,156536355,"-",0,0,1781844751.9,2204254952.2,924813236.88,"-","-",370205358.65,-0.63601541836,0.40030283293,"-"
"BAHI3<XBSP>","Bahema","BAHI3",112315010.88,34421.261259,-4329255.9047,452170.20472,23303193.872,0,"-","-","-",1564.6027845,"-","-",5996334,"-",0,0,88559646.808,76373201.385,2622274.2668,"-","-",-4010076.9367,12.56372549,-1.5292362768,"-"
"EBEN4<XBSP>","Bandeirante Energ","EBEN4",4032823131.9,212785.97869,348751525.27,1512238658.5,1282407897.1,3771670587.4,"-",116084138.99,116084138.99,299862382.06,"-",-412435552.4,39091735000,"-","-",0,1238176576.4,"-",265971521.15,"-","-",637057751.16,-4.6260793492,2.395210391,"-"
"BTTL3<XBSP>","Battistella","BTTL3",883989621.02,393730726.12,-74985153.05,415585097.81,516176540.03,1484207235,"-",53403022.24,53403022.24,34310174.461,"-",0,149678000,"-",0,0,-48754587.368,308341778.14,119618576.68,"-","-",46822302.929,-0.43953881178,0.39143002891,"-"
"BALM4<XBSP>","Baumer","BALM4",138362518.04,26235259.49,10847391.104,41925096.213,12602875.429,146309135.58,"-",3399881.8507,3399881.8507,3331039.3282,"-",-3271584.4224,980000,"-",0,0,73836734.606,62409580.051,2531527.3053,"-","-",15547457.869,88.723214286,6.1415327565,"-"
"BBML3<XBSP>","Bbmlogistica","BBML3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
