"Ativo","Nome","Código","Ativo Tot| < Jun 2003| personalizado| consolid:sim*","Imobil| < Jun 2003| personalizado| consolid:sim*","Lucro Liquido| < Jun 2003| personalizado| no exercício| consolid:sim*","PasCir| < Jun 2003| personalizado| consolid:sim*","PasNoCir| < Jun 2003| personalizado| consolid:sim*","Receita| < Jun 2003| personalizado| no exercício| consolid:sim*","DeprecAmorExaus| < Jun 2003| personalizado| no exercício| consolid:sim*","DeprAmor| < Jun 2003| personalizado| no exercício| consolid:sim*","Depr e Amor| < Jun 2003| personalizado| de 12 meses| consolid:sim*","CaixaEEqCx| < Jun 2003| personalizado| consolid:sim*","DpInCP| < Jun 2003| personalizado| consolid:sim*","DivPag| < Jun 2003| personalizado| no exercício| consolid:sim*","Qtd Ações|Outstanding|da empresa|30Jun03","Dividendos| < Jun 2003| personalizado| no exercício| consolid:sim*","Div Yld (fim)|30Jun03|1 tri","Divid por Ação|30Jun03|1 tri","Patrim Liq| < Jun 2003| personalizado| consolid:sim*","Valor Mercado|da empresa|30Jun03|personalizado","DesFin| < Jun 2003| personalizado| no exercício| consolid:sim*","LucOpe| < Jun 2003| personalizado| no exercício| consolid:sim*","LucOp(Ant)| < Jun 2003| personalizado| no exercício| consolid:sim*","EBIT| < Jun 2003| personalizado| no exercício| consolid:sim*","EBIT/FinL| < Jun 2003| de 12 meses| consolid:sim*","EBIT/FinB| < Jun 2003| de 12 meses| consolid:sim*","Fechamento|30Jun03|ajus p/prov ed"
"CAML3<XBSP>","Camil","CAML3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"QVQP3B<XBSP>","524 Particip","QVQP3B",1096868.4102,0,-555779.30604,41622.238778,0,0,"-","-","-","-",386841.98394,"-",53532000,"-","-","-",1055246.1714,"-",0,-555779.30604,-619436.8477,-619436.8477,-720.38571428,"-","-"
"EALT4<XBSP>","Aco Altona","EALT4",120812964.9,76730785.712,-8124391.6891,82696011.523,232179336.71,69612499.02,"-","-","-","-",1827546.8119,"-",2250000,"-","-",0,-194062383.32,"-",16345780.333,-8417500.3914,7498642.9513,7791751.6536,0.65257573473,-0.63519338567,"-"
"AESL3<XBSP>","AES Sul","AESL3",6269129362.9,3515010306.7,957389839.64,2932700495.9,4985394239.2,1371964476.4,"-","-","-","-",80179122.089,"-",537215000,"-","-",0,-1648965372.2,"-",972530541.09,958202697.48,172712703.99,171532591.11,-0.32983664379,0.072362233088,"-"
"TIET11<XBSP>","AES Tiete E","TIET11","-","-","-","-","-","-","-","-","-","-","-","-",41224100,"-","-","-","-","-","-","-","-","-","-","-","-"
"AFLT3<XBSP>","Afluente T","AFLT3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"ALEF3B<XBSP>","Alef S/A","ALEF3B",915.68925312,0,-316130.69699,25399.359123,491191.38492,0,"-","-","-","-",915.68925312,"-",1000,"-","-","-",-515675.05479,"-",0,-316130.69699,-308545.65606,-316130.69699,"-","-","-"
"BRGE3<XBSP>","Alfa Consorc","BRGE3",879039647.69,93037.945504,11446115.664,11737471.335,0,516605.43425,"-","-","-","-",7117402.8311,"-",73646000,"-",0,0,867302176.36,418999675.84,73451.009609,5675314.6758,-6840737.3616,12080242.713,39.182359952,6574.7999999,"-"
"RPAD3<XBSP>","Alfa Holding","RPAD3",786550136.39,58760.807687,10479010.704,11473047.7,0,88141.21153,"-","-","-","-",8745566.8774,"-",84682000,"-",0,0,775077088.69,388674116.57,85692.844543,4382576.9067,-6821150.4257,11086205.716,39.83218707,1608.7777778,"-"
"ALSO3<XBSP>","Alianscsonae","ALSO3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"APTI4<XBSP>","Aliperti","APTI4",325938855.14,58212373.482,-1008727.1986,34703153.673,90295774.479,47341624.06,"-","-","-","-",131629105.95,"-",182155000,"-","-",341.24374113,200939926.99,"-",44393790.207,-1366188.7787,32428620.742,32602454.798,-1.1677070126,0.82631651598,"-"
"FRRN3B<XBSP>","All Norte","FRRN3B",4223244528.2,2683067446.3,-158862291.95,821649925.52,3063093176.6,464959581.02,"-","-","-","-",24109069.721,"-",394762881,"-","-","-",338501426.15,"-",308313061.2,-155184844.73,138807717.96,133107919.61,0.057658911033,-0.054890247291,"-"
"AALR3<XBSP>","Alliar","AALR3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"ALPA4<XBSP>","Alpargatas","ALPA4",2148255955.2,656483088.58,69474861.622,542592401.45,460909982.03,1172116521.1,"-","-","-","-",210677082.49,"-",1863583000,"-",0,0,1144741329.9,784136107.42,-19966432.779,98096271.699,39394224.82,40527818.735,2.2545713396,1.6519754857,1.2059725202
"ALTR3<XBSP>","Altere Sec","ALTR3",403980.55285,0,"-",4896.7339739,215456.29485,"-","-","-","-","-",7345.1009609,"-",6511842,"-","-","-",183627.52402,"-","-","-","-","-","-","-","-"
"ALUP11<XBSP>","Alupar","ALUP11","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"ABEV3<XBSP>","Ambev S/A","ABEV3",29258587792,8792702838.6,1560762951.5,6576061545.2,11731800917,9433521275.2,"-","-","-","-",1410873924.6,"-",38033298000,"-",0,0,10702935900,50947593401,-8730876.6755,2466450625.5,1475895206.7,1402845729.3,-16.914913851,0.95569652405,4.0702252745
"AMBP3<XBSP>","Ambipar","AMBP3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"CBEE3<XBSP>","Ampla Energ","CBEE3",9934280878.3,3343609927.4,-14401294.617,2602540656.1,6291186701.1,1910162059.1,"-","-","-","-",79052873.275,"-",2.89556387E12,"-",0,0,1033122727.2,1488774615.6,1424342391.4,-52463607.796,138756302.25,325094168.53,-0.047604297199,0.011430460808,15.629415349
"ANIM3<XBSP>","Anima","ANIM3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"ARZZ3<XBSP>","Arezzo Co","ARZZ3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"ARTR3<XBSP>","Arteris","ARTR3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"ATMP3<XBSP>","Atmasa","ATMP3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"ATOM3<XBSP>","Atompar","ATOM3",2725032.4565,0,-2041938.0671,8887572.1626,30511549.391,0,"-","-","-","-",9793.4679478,"-",88485000,"-","-",0,-36674089.098,"-",665955.82045,-1520435.8989,-854480.07845,-1375982.2467,2.3684210526,-2.3684210526,"-"
"AURA32<XBSP>","Aura 360","AURA32","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AZUL4<XBSP>","Azul S.A.","AZUL4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BTOW3<XBSP>","B2W Digital","BTOW3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BAHI3<XBSP>","Bahema","BAHI3",42963943.887,139556.91826,2379812.7113,161592.22114,4463373.0172,0,"-","-","-","-",34277.137817,"-",308195532,"-","-",0,38338978.649,"-",257078.53363,2379812.7113,-871618.64736,2629546.144,-21.454022989,20.971910112,"-"
"EBEN4<XBSP>","Bandeirante Energ","EBEN4",5272355091.9,1960020604.5,2827863.8699,2482193625.2,1275643270.8,1957337194.3,"-","-","-","-",48538875.516,"-",39091735000,"-",0.58047740437,0.0001282857242,1514518195.9,863928810.52,298673840.37,11277178.341,132547243.57,133487416.49,-0.94612309634,0.44683599453,"-"
"BTTL3<XBSP>","Battistella","BTTL3",714636701.25,333340268.54,-14577577.04,170183540.9,144079052.08,400584667.84,"-","-","-","-",17601310.269,"-",137898000,"-","-","-",365107830.2,"-",44305648.996,-16543615.731,15537336.899,15596097.706,3.5416088766,0.1908445441,"-"
"BALM4<XBSP>","Baumer","BALM4",75693713.769,9107925.1915,3170635.2481,21641115.798,10567151.915,36020375.112,"-","-","-","-",727164.99513,"-",440000000,"-",7.9578372922,0.18005121773,43485446.055,19641653.002,739406.83006,4987323.5524,5263989.022,5283575.9578,-15.893023255,9.3233287858,"-"
"BBML3<XBSP>","Bbmlogistica","BBML3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BMKS3<XBSP>","Bic Monark","BMKS3",556153906.19,66179359.657,17366267.038,75573743.786,13404809.253,87406701.434,"-","-","-","-",227698.12979,"-",454750,"-","-",57.481016443,467175353.15,"-",1290289.4021,21841881.891,6537139.8552,-1216838.3925,0.43615511941,7.1840311587,"-"
