"Ativo","Nome","Código","Ativo Tot| < Jun 2001| personalizado| consolid:sim*","Imobil| < Jun 2001| personalizado| consolid:sim*","Lucro Liquido| < Jun 2001| personalizado| no exercício| consolid:sim*","PasCir| < Jun 2001| personalizado| consolid:sim*","PasNoCir| < Jun 2001| personalizado| consolid:sim*","Receita| < Jun 2001| personalizado| no exercício| consolid:sim*","DeprecAmorExaus| < Jun 2001| personalizado| no exercício| consolid:sim*","DeprAmor| < Jun 2001| personalizado| no exercício| consolid:sim*","Depr e Amor| < Jun 2001| personalizado| de 12 meses| consolid:sim*","CaixaEEqCx| < Jun 2001| personalizado| consolid:sim*","DpInCP| < Jun 2001| personalizado| consolid:sim*","DivPag| < Jun 2001| personalizado| no exercício| consolid:sim*","Qtd Ações|Outstanding|da empresa|30Jun01","Dividendos| < Jun 2001| personalizado| no exercício| consolid:sim*","Div Yld (fim)|30Jun01|1 tri","Divid por Ação|30Jun01|1 tri","Patrim Liq| < Jun 2001| personalizado| consolid:sim*","Valor Mercado|da empresa|30Jun01|personalizado","DesFin| < Jun 2001| personalizado| no exercício| consolid:sim*","LucOpe| < Jun 2001| personalizado| no exercício| consolid:sim*","LucOp(Ant)| < Jun 2001| personalizado| no exercício| consolid:sim*","EBIT| < Jun 2001| personalizado| no exercício| consolid:sim*","EBIT/FinL| < Jun 2001| de 12 meses| consolid:sim*","EBIT/FinB| < Jun 2001| de 12 meses| consolid:sim*","Fechamento|30Jun01|ajus p/prov ed"
"CAML3<XBSP>","Camil","CAML3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"QVQP3B<XBSP>","524 Particip","QVQP3B","-","-","-","-","-","-","-","-","-","-","-","-",49123000,"-","-","-","-","-","-","-","-","-","-","-","-"
"EALT4<XBSP>","Aco Altona","EALT4",107490065.22,75948543.314,-8588266.3173,275528176.17,5183687.0402,62207317.207,"-","-","-","-",1579380.6394,"-",2250000,"-","-",0,-173221797.99,"-",13387862.735,-7709466.9732,5358832.364,4480033.0199,-0.06647081739,0.06402992164,"-"
"AESL3<XBSP>","AES Sul","AESL3",7480014308.1,4823280981.9,-678826402.44,1271979087,6569015878.9,1532202020.1,"-","-","-","-",32746030.105,"-",537215000,"-","-",0,-360980657.85,"-",1921633038.5,-1004652013.8,299922539.78,293285453.83,-0.30566631833,0.22318088492,"-"
"TIET11<XBSP>","AES Tiete E","TIET11","-","-","-","-","-","-","-","-","-","-","-","-",100,"-","-","-","-","-","-","-","-","-","-","-","-"
"AFLT3<XBSP>","Afluente T","AFLT3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"ALEF3B<XBSP>","Alef S/A","ALEF3B",171685.4355,0,0,289988.41993,132127.17411,0,"-","-","-","-",749.74489496,"-",1000,"-","-","-",-250430.15854,"-",0,0,0,0,"-",0,"-"
"BRGE3<XBSP>","Alfa Consorc","BRGE3",962835299.55,196654.39868,42929040.686,20031094.14,0,1324344.4661,"-","-","-","-",8818720.6907,"-",75606000,"-",0,0,942804205.41,449750770.24,0,47697909.854,-7061122.0025,45645329.568,23.597478177,-2703.2222222,"-"
"RPAD3<XBSP>","Alfa Holding","RPAD3",864268427.67,116763.54921,38338389.567,19364312.82,24581.799835,697508.57031,"-","-","-","-",14481752.827,"-",84682000,"-",0,0,844879533.05,485744741.84,0,42667859.063,-6692395.005,40271133.579,16.128935532,-3586,"-"
"ALSO3<XBSP>","Alianscsonae","ALSO3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"APTI4<XBSP>","Aliperti","APTI4",311638840.13,110578153.83,5285086.9645,23242091.744,50555544.085,15166970.498,"-","-","-","-",54808195.457,"-",185955000,"-","-",0,237841204.3,"-",1391944.4156,5248214.2647,-758963.0699,4080578.7726,2.0078905839,6.649825784,"-"
"FRRN3B<XBSP>","All Norte","FRRN3B","-","-","-","-","-","-","-","-","-","-","-","-",352682000,"-","-","-","-","-","-","-","-","-","-","-","-"
"AALR3<XBSP>","Alliar","AALR3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"ALPA4<XBSP>","Alpargatas","ALPA4",1884932411.3,388186564.82,65584241.959,365214872.87,233554752.96,884219630.96,"-","-","-","-",276416193.69,"-",1863583000,"-",0,0,1286162785.5,818314492.77,58980955.979,64791478.914,47559637.23,70264002.103,-22.604319321,1.4812109878,"-"
"ALTR3<XBSP>","Altere Sec","ALTR3",230454.37345,0,"-",0,0,"-","-","-","-","-",9218.174938,"-",6511842,"-","-","-",230454.37345,"-","-","-","-","-","-","-","-"
"ALUP11<XBSP>","Alupar","ALUP11","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"ABEV3<XBSP>","Ambev S/A","ABEV3",27449506458,9943255069.6,1145435054.2,9083362202.3,7228717641.1,8810673224,"-","-","-","-",158773845.13,"-",38760787000,"-",0,0,9877406573.3,63141537336,1387077219.3,920339513.09,1578431167.4,1639163576.6,-1.9002971651,1.0461096356,5.2716345684
"AMBP3<XBSP>","Ambipar","AMBP3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"CBEE3<XBSP>","Ampla Energ","CBEE3",9607037502.3,4215413017.4,-89385569.649,2840930897.8,5679781560.8,1866514497.8,"-","-","-","-",87056444.115,"-",1.704025408E12,"-",0,0,1086325043.7,2827440666.2,1030020431.2,-212933695.62,364203946.35,251862048.38,-0.31089709263,0.14476563864,50.438755255
"ANIM3<XBSP>","Anima","ANIM3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"ARZZ3<XBSP>","Arezzo Co","ARZZ3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"ARTR3<XBSP>","Arteris","ARTR3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"ATMP3<XBSP>","Atmasa","ATMP3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"ATOM3<XBSP>","Atompar","ATOM3",149073252.37,14727570.826,-7942994.0716,34257810.795,107612974.22,0,"-","-","-","-",70672.674525,"-",76227000,"-","-",0,7202467.3516,"-",2203143.8102,-9798919.9591,-28920487.506,-6895194.8537,17.007413868,-8.029236154,"-"
"AURA32<XBSP>","Aura 360","AURA32","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AZUL4<XBSP>","Azul S.A.","AZUL4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BTOW3<XBSP>","B2W Digital","BTOW3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BAHI3<XBSP>","Bahema","BAHI3",61267063.363,181290.77378,-9113702.2887,135199.89909,5020832.6162,0,"-","-","-","-",36872.699752,"-",350000000,"-",0,0,56111030.848,64369704.628,199727.12366,-9113702.2887,-731308.54508,-8938556.9649,17.304878049,-15.593406593,"-"
"EBEN4<XBSP>","Bandeirante Energ","EBEN4",8662067025.8,4862123298.3,-81221339.379,3132581661.9,3592196791.6,4217659179.3,"-","-","-","-",383605131.87,"-",39091735000,"-",1.6580839297,0.0011323258071,1937288572.3,2669622423.3,188923422.63,-93699675.52,35920155.009,24726217.909,-2.5874125874,1.7638757422,"-"
"BTTL3<XBSP>","Battistella","BTTL3",908017885.92,497486465.06,-47820818.854,343957761.46,372810649.02,541371123.21,"-","-","-","-",20129421.34,"-",137898000,"-","-","-",138724314.64,"-",81842029.825,-58735137.98,12770245.014,28849814.831,-0.056947846347,0.048268266748,"-"
"BALM4<XBSP>","Baumer","BALM4",63116843.801,8001375.8462,1222944.5418,15634024.694,10757610.152,31268049.39,"-","-","-","-",2412089.1088,"-",440000000,"-",14.979499452,0.13880167405,36725208.953,8133084.9137,546945.04632,2095598.4359,2276889.2097,2298398.2845,-1.2945205479,-0.61363636363,"-"
"BBML3<XBSP>","Bbmlogistica","BBML3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BMKS3<XBSP>","Bic Monark","BMKS3",678866347.86,89370206.024,33799974.773,91852967.807,19090840.297,104995012.54,"-","-","-","-",485490.54674,"-",454750,"-",4.8476345264,37.432258087,567922539.76,351146920.68,1877434.9624,45282748.021,9141356.8136,25196344.831,0.98374175306,9.3191964286,"-"
"BIOM3<XBSP>","Biomm","BIOM3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"GBIO33<XBSP>","Biotoscana","GBIO33","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BKBR3<XBSP>","Bk Brasil","BKBR3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BOBR4<XBSP>","Bombril","BOBR4",4310458546.5,302863137.59,255573900.16,739113266.53,724929568.03,503662642.26,"-","-","-","-",19877457.891,"-",39531902000,"-",1.6822022903,0.93041005952,2846415711.9,2186471835.5,393274997.38,250003049.77,-6747704.0546,-7042685.6527,0.056335274712,0.033772664456,55.309047247
"BBRK3<XBSP>","BR Brokers","BBRK3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BRML3<XBSP>","BR Malls Par","BRML3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BRPR3<XBSP>","BR Propert","BRPR3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BRAP4<XBSP>","Bradespar","BRAP4",7090816816.7,1628544.2391,-231846317.87,6612504.1556,2527457640.9,0,"-","-","-","-",13350990.035,"-",1.507282E12,"-",2.2443515345,0.37498494957,4556746671.7,3911587147.9,177720267.36,-309736823.37,-73232254.433,-156248065.2,-1.8220619055,1.5428902957,16.707941863
