"Ativo","Nome","Código","Ativo Tot| < Set 2016| personalizado| consolid:sim*","Imobil| < Set 2016| personalizado| consolid:sim*","Lucro Liquido| < Set 2016| personalizado| no exercício| consolid:sim*","PasCir| < Set 2016| personalizado| consolid:sim*","PasNoCir| < Set 2016| personalizado| consolid:sim*","Receita| < Set 2016| personalizado| no exercício| consolid:sim*","DeprecAmorExaus| < Set 2016| personalizado| no exercício| consolid:sim*","DeprAmor| < Set 2016| personalizado| no exercício| consolid:sim*","Depr e Amor| < Set 2016| personalizado| de 12 meses| consolid:sim*","CaixaEEqCx| < Set 2016| personalizado| consolid:sim*","DpInCP| < Set 2016| personalizado| consolid:sim*","DivPag| < Set 2016| personalizado| no exercício| consolid:sim*","Qtd Ações|Outstanding|da empresa|30Set16","Dividendos| < Set 2016| personalizado| no exercício| consolid:sim*","Div Yld (fim)|30Set16|1 tri","Divid por Ação|30Set16|1 tri","Patrim Liq| < Set 2016| personalizado| consolid:sim*","Valor Mercado|da empresa|30Set16|personalizado","DesFin| < Set 2016| personalizado| no exercício| consolid:sim*","LucOpe| < Set 2016| personalizado| no exercício| consolid:sim*","LucOp(Ant)| < Set 2016| personalizado| no exercício| consolid:sim*","EBIT| < Set 2016| personalizado| no exercício| consolid:sim*","EBIT/FinL| < Set 2016| de 12 meses| consolid:sim*","EBIT/FinB| < Set 2016| de 12 meses| consolid:sim*","Fechamento|30Set16|ajus p/prov ed"
"CAML3<XBSP>","Camil","CAML3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"QVQP3B<XBSP>","524 Particip","QVQP3B",192098.85228,0,-87624.037883,0,0,0,"-",0,0,134806.21213,"-",0,176262000,"-","-","-",192098.85228,"-",0,"-","-",-105598.1995,-4.6956521739,"-","-"
"EALT4<XBSP>","Aco Altona","EALT4",279646499.98,181003177.64,-8709604.6886,51154463.962,157526675.8,100937274.71,"-",8151282.2933,10883354.859,11279909.799,"-",-2340011.1655,2250000,"-",3.2760681532,0.045451533994,70965360.219,31216063.496,7259314.5231,"-","-",-8060288.1002,0.61071115013,-0.39931113662,1.3873805998
"AESL3<XBSP>","AES Sul","AESL3",4377926103.2,29910128.316,-37745739.396,945055579.97,1417028979.4,2371456961.3,"-",117626283.77,155797786.13,15900392.72,"-",0,526451,"-","-",0,2015841543.8,"-",218961236.82,-55724394.553,59108030.478,59108030.478,-0.68857536282,0.49766892815,"-"
"TIET11<XBSP>","AES Tiete E","TIET11",4629411585.5,3485221392.3,309398231,988362075.61,1778958944.5,1345407562.3,"-",131800033.59,"-",8192847.5421,"-",-754221659.31,1967385000,"-",1.9541772993,0.070293303085,1862090565.4,7403938840.1,192757155.95,468605490.9,581956170.99,581956170.99,"-","-",17.942519932
"AFLT3<XBSP>","Afluente T","AFLT3",93733006.063,0,14409660.691,5860700.0723,3907133.3815,24210072.313,"-",0,0,37844597.285,"-",-21883541.769,63085000,"-",4.1747922274,0.13366213257,83965172.609,201975934.94,429133.10861,16914809.467,12645946.082,12645946.082,2.5071554597,25.732394366,3.201647538
"ALEF3B<XBSP>","Alef S/A","ALEF3B",44472.569381,0,-85268.299326,193.22223738,0,0,"-",0,0,41416.961906,"-",0,54674000,"-","-","-",44279.347144,"-",0,-85268.299326,-90431.377251,-90431.377251,-19.100944619,"-","-"
"BRGE3<XBSP>","Alfa Consorc","BRGE3",3655069355.9,2378206.259,51417336.076,1393096383.2,543672330.13,26908443.326,"-",683018.14145,912188.70207,1518816.6566,"-",-4307058.4775,73646388,"-",0,0,1162405882.6,271258104.72,137378764.01,"-","-",8462459.9663,0.13989342537,0.088586542099,4.0441863638
"RPAD3<XBSP>","Alfa Holding","RPAD3",989896619.66,6740.3106064,42447106.044,4101479.004,330275.21971,181988.38637,"-",0,2246.7702021,7863.6957075,"-",-4231791.6757,84682269,"-",0,0,985464865.44,285581731.97,0,"-","-",42089869.582,407.41221374,"-",3.201647538
"ALSO3<XBSP>","Alianscsonae","ALSO3",5445636238.7,3144354.8979,43655868.413,200828677.9,1445140568.2,279979021.97,"-",2259127.4382,3016288.9964,264279715.18,"-",-39063470.119,76423831,"-",0,0,2756803888.8,1588287772.6,86442236.757,"-","-",232808081.57,-4.0115117482,2.5436324622,20.78262437
"APTI4<XBSP>","Aliperti","APTI4",462024700.98,349111017.7,-15819508.993,22136303.417,148613738.41,28113835.539,"-",2530986.6327,3454409.1858,386444.47477,"-",0,18215,"-","-",0,291196022.2,"-",5075453.8866,"-","-",-11184422.066,3.2076406084,-1.5204560698,"-"
"FRRN3B<XBSP>","All Norte","FRRN3B",9678907412.6,3838640591.9,184841784.53,1461256650.8,5783450495.8,2406342562.2,"-",332876979.61,481298619.16,32709603.988,"-",-872870.22353,765326706,"-","-","-",2434200265.9,"-","-","-","-",609766692.55,-1.4349677701,"-","-"
"AALR3<XBSP>","Alliar","AALR3",2172823377.9,523672705.17,-1436809.5443,445761454.87,692902806.95,777937442.18,"-",43226735.304,"-",50237781.72,"-",0,99851774,"-","-","-",989356271.43,"-",170175992.04,"-","-",87713908.691,"-","-","-"
