"Ativo","Nome","Código","Ativo Tot| < Set 2004| personalizado| consolid:sim*","Imobil| < Set 2004| personalizado| consolid:sim*","Lucro Liquido| < Set 2004| personalizado| no exercício| consolid:sim*","PasCir| < Set 2004| personalizado| consolid:sim*","PasNoCir| < Set 2004| personalizado| consolid:sim*","Receita| < Set 2004| personalizado| no exercício| consolid:sim*","DeprecAmorExaus| < Set 2004| personalizado| no exercício| consolid:sim*","DeprAmor| < Set 2004| personalizado| no exercício| consolid:sim*","Depr e Amor| < Set 2004| personalizado| de 12 meses| consolid:sim*","CaixaEEqCx| < Set 2004| personalizado| consolid:sim*","DpInCP| < Set 2004| personalizado| consolid:sim*","DivPag| < Set 2004| personalizado| no exercício| consolid:sim*","Qtd Ações|Outstanding|da empresa|30Set04","Dividendos| < Set 2004| personalizado| no exercício| consolid:sim*","Div Yld (fim)|30Set04|1 tri","Divid por Ação|30Set04|1 tri","Patrim Liq| < Set 2004| personalizado| consolid:sim*","Valor Mercado|da empresa|30Set04|personalizado","DesFin| < Set 2004| personalizado| no exercício| consolid:sim*","LucOpe| < Set 2004| personalizado| no exercício| consolid:sim*","LucOp(Ant)| < Set 2004| personalizado| no exercício| consolid:sim*","EBIT| < Set 2004| personalizado| no exercício| consolid:sim*","EBIT/FinL| < Set 2004| de 12 meses| consolid:sim*","EBIT/FinB| < Set 2004| de 12 meses| consolid:sim*","Fechamento|30Set04|ajus p/prov ed"
"CAML3<XBSP>","Camil","CAML3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"QVQP3B<XBSP>","524 Particip","QVQP3B",733700.75977,0,-160780.10476,20380.57666,0,0,"-","-","-","-",74728.781088,"-",53532000,"-","-","-",713320.18311,"-",0,-160780.10476,-178896.17291,-178896.17291,-7.3076923192,"-","-"
"EALT4<XBSP>","Aco Altona","EALT4",145862731.9,82146975.845,-2971637.5346,104998563.81,230019771.55,174504011.44,"-","-","-","-",2655294.7527,"-",2250000,"-","-",0,-189155603.48,"-",22187047.569,1457005.1609,23015649.352,18587006.656,-0.79785231539,0.76628849375,"-"
"AESL3<XBSP>","AES Sul","AESL3",5679634194.1,3092209026.2,-253787998.61,2366886947.9,5340426669.7,2027351069.8,"-","-","-","-",168671916.95,"-",134000,"-",0,0,-2027679423.5,2511979890.5,1338899719.2,-249700560.73,241521155.97,235878000.74,-0.41235643661,0.14570826909,"-"
"TIET11<XBSP>","AES Tiete E","TIET11","-","-","-","-","-","-","-","-","-","-","-","-",41224100,"-","-","-","-","-","-","-","-","-","-","-","-"
"AFLT3<XBSP>","Afluente T","AFLT3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"ALEF3B<XBSP>","Alef S/A","ALEF3B",2092.4058705,0,-89255.60323,67883.171839,543613.38577,0,"-","-","-","-",2092.4058705,"-",1000,"-","-","-",-609404.15174,"-",0,-89255.60323,-89255.60323,-89255.60323,"-","-","-"
"BRGE3<XBSP>","Alfa Consorc","BRGE3",886170118.28,65670.747017,41952284.801,8118263.0364,0,559333.6039,"-","-","-","-",15385070.87,"-",73646000,"-",1.2586250042,0.06862974258,878051855.24,402669012.81,233244.37733,46216354.34,-7468349.0918,45090893.607,46.841379189,547.74193121,"-"
"RPAD3<XBSP>","Alfa Holding","RPAD3",791053967,38496.644803,37674628.211,7352859.1573,0,110960.91737,"-","-","-","-",19008284.499,"-",84682000,"-",1.4807352991,0.06862974258,783701107.84,406544899.49,228715.3603,41902465.614,-6281746.6284,40299193.583,36.081080988,538.68420587,"-"
"ALSO3<XBSP>","Alianscsonae","ALSO3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"APTI4<XBSP>","Aliperti","APTI4",332287186.38,56483635.96,15432625.548,28482988.137,86936746.507,32285097.938,"-","-","-","-",110424228.85,"-",182155000,"-","-",0,216867451.73,"-",9098795.2246,13625547.751,9884579.6803,9540374.3856,1.2266976523,0.87753971278,"-"
"FRRN3B<XBSP>","All Norte","FRRN3B",4037127288.9,2658816063.5,-302551925.03,660369180.44,3554759800.5,752466741.86,"-","-","-","-",16121036.138,"-",394762881,"-","-","-",-178001692.04,"-",438721351.22,-301344941.99,107328645.71,112478138.08,-0.099233891951,0.089525753119,"-"
"AALR3<XBSP>","Alliar","AALR3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"ALPA4<XBSP>","Alpargatas","ALPA4",2295652303.5,585248639.38,153089833.84,592596969.52,440508048.44,1972964368.7,"-","-","-","-",377523008.53,"-",1863583000,"-",1.0061174652,0.021903767579,1247624174.4,1310571827.5,67307986.675,140877339.4,127222353.03,182279348.63,4.4896574811,5.0962894871,2.1770586772
"ALTR3<XBSP>","Altere Sec","ALTR3",15837972.573,0,298915.12435,15120123.373,312502.17546,52083.69591,"-","-","-","-",15441683.583,"-",6511842,"-","-","-",405347.02469,"-",88315.832195,298915.12435,-199276.74957,-199276.74957,0.10859728139,0.61538459457,"-"
"ALUP11<XBSP>","Alupar","ALUP11","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"ABEV3<XBSP>","Ambev S/A","ABEV3",71953066566,12394574508,1589229813.3,11966935661,19431075032,16991037666,"-","-","-","-",1608147517.5,"-",55065285000,"-",0.48355770719,0.04453083557,39938337357,1.1116770078E11,2157453877.6,2665047990.9,3922391435.8,3590298997.2,-2.9682048253,1.8744026929,9.1855616583
"AMBP3<XBSP>","Ambipar","AMBP3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"CBEE3<XBSP>","Ampla Energ","CBEE3",10062268870,3439364975.5,59259923.403,2219066625.4,5377969956.4,3027514282.3,"-","-","-","-",294574061.52,"-",4.235186511E12,"-",0,0,2465232288.3,4507589486.5,731123749.08,90768294.92,457894944.84,466255510.29,-0.7155539059,1.7226890472,32.353311779
"ANIM3<XBSP>","Anima","ANIM3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"ARZZ3<XBSP>","Arezzo Co","ARZZ3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"ARTR3<XBSP>","Arteris","ARTR3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"ATMP3<XBSP>","Atmasa","ATMP3",1311.1504318,0,-388782.14488,4150.8441132,12298.54576,0,"-","-","-","-",1311.1504318,"-",16500003,"-","-","-",-15138.239441,"-",1899.9226464,-21338.463763,-19438.541117,-386882.22223,"-","-","-"
"ATOM3<XBSP>","Atompar","ATOM3",1186602.4633,0,-1480988.5707,9252781.8038,28340324.1,0,"-","-","-","-",4529.0170356,"-",88485000,"-","-",0,-36406503.441,"-",686146.0809,-1419846.8407,-733700.75977,-794842.48975,1.2797029696,-1.2797029696,"-"
"AURA32<XBSP>","Aura 360","AURA32","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AZUL4<XBSP>","Azul S.A.","AZUL4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BTOW3<XBSP>","B2W Digital","BTOW3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BAHI3<XBSP>","Bahema","BAHI3",89556782.863,129076.98551,11619193.204,163044.61328,46053309.727,0,"-","-","-","-",13587.051106,"-",300695532,"-",0,0,43340428.522,88295865.627,1254537.7189,11854702.09,-1401730.7725,12332513.388,-14.823529426,9.200000004,"-"
"EBEN4<XBSP>","Bandeirante Energ","EBEN4",5442051018.5,1901383254.4,140999622.86,1635772256.9,2096762784.8,2991846008.7,"-","-","-","-",95102564.223,"-",39091735000,"-",0,0,1709515976.7,1681062535.1,318854121.85,231998897.65,336211579.64,337081150.91,-4.8181332537,1.1473835223,0.043003016753
"BTTL3<XBSP>","Battistella","BTTL3",726275436.34,308756678.37,7712916.0117,241475865.8,122985457.6,758542418.21,"-","-","-","-",23716197.707,"-",137898000,"-","-","-",329830194.64,"-",47072338.56,16696221.302,40856262.678,40668308.471,-1.2767129038,0.63142473146,"-"
"BALM4<XBSP>","Baumer","BALM4",76499626.749,10314836.298,5765438.6864,20867445.992,10942105.158,65584695.693,"-","-","-","-",1578362.4369,"-",440000000,"-",0,0,44690075.599,15994749.102,894480.86454,9307130.0082,9673980.3881,9714741.5414,-13.297297357,5.9175257975,"-"
"BBML3<XBSP>","Bbmlogistica","BBML3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BMKS3<XBSP>","Bic Monark","BMKS3",474333012.18,58573777.322,33236191.516,32208104.649,11662218.866,157908707.96,"-","-","-","-",1016764.3245,"-",454750,"-",0,0,430462688.66,424638436.85,1345118.0596,42217232.298,18609730.999,28267859.828,0.94114979522,11.448275918,"-"
"BIOM3<XBSP>","Biomm","BIOM3",24841658.44,2284889.0945,"-",3734174.5459,5056647.5203,"-","-","-","-","-",398553.49914,"-",8865000,"-","-","-",16050836.374,9667735.2815,"-","-","-","-","-","-","-"
"GBIO33<XBSP>","Biotoscana","GBIO33","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BKBR3<XBSP>","Bk Brasil","BKBR3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BOBR4<XBSP>","Bombril","BOBR4",1650869735.1,38838585.589,-119776649.03,495189135.62,1832596543.7,769348652.86,"-","-","-","-",5038531.4521,"-",40753902000,"-",0,0,-676915944.18,373764610.76,155266026.52,-118010332.38,30695412.959,25575359.2,-0.61722268527,0.58911175941,9.1712594971
"BBRK3<XBSP>","BR Brokers","BBRK3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BRML3<XBSP>","BR Malls Par","BRML3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BRPR3<XBSP>","BR Propert","BRPR3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BRAP4<XBSP>","Bradespar","BRAP4",2741178502.8,894480.86454,153119272.45,74678961.901,18399131.707,0,"-","-","-","-",55310620.548,"-",30146000,"-",0,0,2648100409.2,5648117896.8,2758171.3747,153119272.45,-31746144.911,144462056.39,5.9145332625,17.428247481,23.635807655
"AGRO3<XBSP>","Brasilagro","AGRO3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BRKM5<XBSP>","Braskem","BRKM5",37647594508,11914279045,462673057.82,12880970557,15340437407,20702736965,"-","-","-","-",7913003455.3,"-",90022885000,"-",0,0,8761340429.8,17450557053,2724520778.1,886305988.79,3650894980.6,3481183654.3,-1.1370100671,1.0964250385,53.895302724
"BFRE3<XBSP>","Brazilian Fr","BFRE3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BRFS3<XBSP>","BRF SA","BRFS3",5959776542.8,2025969719.6,478556320.56,2850203265.4,1015998920.6,7965114325.3,"-","-","-","-",658220161.86,"-",44508889,"-",0,0,2093574356.9,4628536240.2,374223619.62,589179826.17,815562742.69,793492842.68,-3.3288682103,2.0144693167,"-"
"BRQB3<XBSP>","Brq","BRQB3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"CABI3B<XBSP>","Cabinda Part","CABI3B",339676.27767,0,0,0,63406.238499,0,"-","-","-","-",4529.0170356,"-",540000,"-","-","-",276270.03917,"-",0,0,0,0,"-","-","-"
"CACO3B<XBSP>","Caconde Part","CACO3B",319295.70101,0,0,0,43025.661838,0,"-","-","-",0,0,"-",539000,"-","-","-",276270.03917,"-",0,0,0,0,"-","-","-"
"CAIA3B<XBSP>","Caianda Part","CAIA3B",6528578.0569,0,-1440227.4173,274005.53066,7719709.5372,0,"-","-","-",0,0,"-",21274333000,"-","-","-",-1465137.011,"-",1007706.2904,-1440227.4173,-432521.1269,-432521.1269,-17.660674026,17.660674026,"-"
"CAMB3<XBSP>","Cambuci","CAMB3",249446935.78,92208522.337,-37271545.695,233656517.89,152224791.58,219922273.72,"-","-","-","-",11546728.932,"-",184800000,"-","-","-",-139108758.25,"-",29468049.342,-33439997.283,-7244162.7485,-10649983.559,9.8487795268,-0.53006038226,"-"
"CRFB3<XBSP>","Carrefour BR","CRFB3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
