"Ativo","Nome","Código","Ativo Tot| < Dez 2018| personalizado| consolid:sim*","Imobil| < Dez 2018| personalizado| consolid:sim*","Lucro Liquido| < Dez 2018| personalizado| no exercício| consolid:sim*","PasCir| < Dez 2018| personalizado| consolid:sim*","PasNoCir| < Dez 2018| personalizado| consolid:sim*","Receita| < Dez 2018| personalizado| no exercício| consolid:sim*","DeprecAmorExaus| < Dez 2018| personalizado| no exercício| consolid:sim*","DeprAmor| < Dez 2018| personalizado| no exercício| consolid:sim*","Depr e Amor| < Dez 2018| personalizado| de 12 meses| consolid:sim*","CaixaEEqCx| < Dez 2018| personalizado| consolid:sim*","DpInCP| < Dez 2018| personalizado| consolid:sim*","DivPag| < Dez 2018| personalizado| no exercício| consolid:sim*","Qtd Ações|Outstanding|da empresa|30Dez18","Dividendos| < Dez 2018| personalizado| no exercício| consolid:sim*","Div Yld (fim)|30Dez18|1 tri","Divid por Ação|30Dez18|1 tri","Patrim Liq| < Dez 2018| personalizado| consolid:sim*","Valor Mercado|da empresa|30Dez18|personalizado","DesFin| < Dez 2018| personalizado| no exercício| consolid:sim*","LucOpe| < Dez 2018| personalizado| no exercício| consolid:sim*","LucOp(Ant)| < Dez 2018| personalizado| no exercício| consolid:sim*","EBIT| < Dez 2018| personalizado| no exercício| consolid:sim*","EBIT/FinL| < Dez 2018| de 12 meses| consolid:sim*","EBIT/FinB| < Dez 2018| de 12 meses| consolid:sim*","Fechamento|30Dez18|ajus p/prov ed"
"CAML3<XBSP>","Camil","CAML3",4514353906.5,913442702.72,273882446.61,962338257.52,1365367665.9,3572810454.5,"-",77518082.576,101784440.01,232797883.76,"-",-20912963.708,404230305,"-",1.5780926739,0.11615990688,2186647983.2,2975449754.3,178457638.86,"-","-",307389197.06,-31.526307282,1.9094834127,7.36077854
"QVQP3B<XBSP>","524 Particip","QVQP3B",97099.631805,0,-111716.78067,0,0,0,"-",0,0,78306.154681,"-",0,196262000,"-","-","-",97099.631805,"-",0,"-","-",-138862.9143,-5.1153846154,"-","-"
"EALT4<XBSP>","Aco Altona","EALT4",362412368.77,227365574.4,12788961.182,121360966.68,79611257.26,257847550.22,"-",10367734.879,10367734.879,2014034.2984,"-",-6065072.7006,22500000,"-",0,0,161440144.82,98500662.028,12345226.306,"-","-",21048694.378,-2.5642330196,1.7050067659,4.4791120478
"AESL3<XBSP>","AES Sul","AESL3",9902248641.7,15361579.384,313620325.83,1620711880.2,4389954748.2,4383420882.7,"-",0,0,255876323.28,"-",0,1125327,"-","-",0,3891582013.3,"-",222224514.33,"-","-",358670378.66,-3.0364075095,1.6140000564,"-"
"TIET11<XBSP>","AES Tiete E","TIET11",7937743508.2,5729182104.4,300657002.94,1504600558.1,4842511074.1,2008326301.8,"-",292422327.71,292422327.71,159552444.45,"-",-281965845.86,1967385000,"-",2.2015293627,0.046063489442,1590631876,4165491930.8,440518059.69,"-","-",763336748.49,-2.3202853752,1.7328160144,10.436762524
"AFLT3<XBSP>","Afluente T","AFLT3",215289721.27,0,23612959.924,2773081.9578,8133399.2663,35168860.19,"-",0,0,32587889.332,"-",-11877477.542,63085000,"-",1.8881072988,0.10940931242,204383240.05,365555838.84,240138.87436,25376414.527,23912611.476,23912611.476,16.335948645,99.57826087,5.7946554464
"ALEF3B<XBSP>","Alef S/A","ALEF3B",18670.27544,0,-139870.45349,207.77233042,0,0,"-",0,0,14414.596953,"-",0,78674000,"-","-","-",18462.50311,"-",77.262072619,-139870.45349,-142814.76491,-142814.76491,-48.505319149,-1848.4459459,"-"
"BRGE3<XBSP>","Alfa Consorc","BRGE3",3301472052,1808350.1321,55364539.524,1382702933.2,157071705.47,27146133.623,"-",1431436.5076,1431436.5076,2973545.7138,"-",-4181548.66,73646388,"-",0,0,1195858183.7,274365126.18,94004972.572,"-","-",16094524.992,0.15301615033,0.17120929406,"-"
"RPAD3<XBSP>","Alfa Holding","RPAD3",1009895683.4,6264.4923745,44908057.669,7411938.5611,435382.22003,338282.58822,"-",0,0,24013.887436,"-",-6788621.5698,84682269,"-",0,0,1002048362.6,287638259.43,0,"-","-",43919311.956,44.419218585,"-",2.5162377704
"ALSO3<XBSP>","Alianscsonae","ALSO3",5747935906.4,3346283.0101,197601927.05,266316099.83,1402669958.6,390603628.54,"-",2025519.2011,2025519.2011,292494369.38,"-",-36305865.557,76423831,"-",0,0,2888559522.1,2056259195.5,77269381.193,"-","-",584992915.08,-10.455196865,7.5708243815,26.905994748
"APTI4<XBSP>","Aliperti","APTI4",436168413.82,329634456.5,-12074809.051,45751675.975,148144803.84,33417934.572,"-",2821109.7327,2821109.7327,37586.954247,"-",0,18215,"-","-",0,242387827.12,"-",11189427.462,"-","-",-2004637.5598,0.25668449198,-0.17915461416,"-"
"FRRN3B<XBSP>","All Norte","FRRN3B",13205141689,4978373296.5,785171636.66,1073695361.9,8461942657,4015636711.7,"-",481020091.06,481020091.06,79346060.416,"-",-503054398.9,1189412363,"-","-","-",3669503670.4,"-",1587971554.9,"-","-",1615657478.9,-3.0263098195,1.0174347733,"-"
"AALR3<XBSP>","Alliar","AALR3",2306822054.8,548163964.41,41854117.636,401694912.28,548121157.05,1124390766.5,"-",86263104.079,86263104.079,76390264.097,"-",0,118191589,"-",0,0,1312354772,1642476866.6,"-","-","-",143337850.02,-2.0417918439,"-",13.89673225
"ALPA4<XBSP>","Alpargatas","ALPA4",4155556237,804697015.31,346114247.77,1210728000.4,366114683.76,4076627809.5,"-",111297059.69,111297059.69,541650980.51,"-",-215506890.34,463053374,"-",0,0,2485764147.3,8062095560.1,218528463.83,"-","-",478268934.83,-8.1128526646,2.1885887378,14.216221361
"ALTR3<XBSP>","Altere Sec","ALTR3",54292.267246,0,57424.513433,6264.4923745,0,219257.23311,"-","-","-",54292.267246,"-",0,36218984,"-","-","-",48027.774871,"-",-50115.938996,75173.908494,28190.215685,28190.215685,0.6,-0.5625,"-"
"ALUP11<XBSP>","Alupar","ALUP11",15250468171,4472306720.9,403797693.56,1596299153.4,7116430970.9,1965911512.1,"-",106237438.01,106237438.01,3106585782.4,"-",-530259001.12,879111269,"-",0.98346972166,0.062738891124,4518837282.1,6283011996.8,380541809.7,"-","-",1245661942.1,-4.4709852462,3.2733904932,19.138024204
"ABEV3<XBSP>","Ambev S/A","ABEV3",98275412291,20982913032,11510668543,25922855756,12268323397,52445636889,"-",4200398517.5,4200398517.5,11968832634,"-",-9202673984.8,15720176000,"-",2.0837451233,0.33460741933,58824233860,2.5243430513E11,4763364433.4,"-","-",17739431386,-4.4437665492,3.724139027,16.05798212
"AMBP3<XBSP>","Ambipar","AMBP3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"CBEE3<XBSP>","Ampla Energ","CBEE3",10123836266,63871720.168,178794876.86,3387976339.1,3086217829.5,5701616249.8,"-",355851357.09,355851357.09,278849260.9,"-",0,166634000,"-",0,0,3649642097.4,4512829978.9,1360837766.7,"-","-",648910574.86,-1.7658776498,0.47684638886,"-"
"ANIM3<XBSP>","Anima","ANIM3",1510233380.8,315127980.33,2350228.7225,241790612.18,573868220.71,1151055578.3,"-",56714537.631,56714537.631,103893473.78,"-",-21105074.81,77632254,"-",0,0,694574547.94,1377925545.7,78821931.22,"-","-",40360036.205,-1.114423271,0.51204069198,17.749395061
"ARZZ3<XBSP>","Arezzo Co","ARZZ3",1091099165.9,86868671.675,148932041.71,267169114.87,81230628.538,1593957277.3,"-",42684162.876,42684162.876,8875741.6126,"-",-43770008.221,90251000,"-",0.92521965309,0.53188248712,742699422.45,5188273528.8,64023112.068,"-","-",199710972.82,-8.9882524318,3.119357469,57.487158357
