"Ativo","Nome","Código","Ativo Tot| < Jun 2009| personalizado| consolid:sim*","Imobil| < Jun 2009| personalizado| consolid:sim*","Lucro Liquido| < Jun 2009| personalizado| no exercício| consolid:sim*","PasCir| < Jun 2009| personalizado| consolid:sim*","PasNoCir| < Jun 2009| personalizado| consolid:sim*","Receita| < Jun 2009| personalizado| no exercício| consolid:sim*","DeprecAmorExaus| < Jun 2009| personalizado| no exercício| consolid:sim*","DeprAmor| < Jun 2009| personalizado| no exercício| consolid:sim*","Depr e Amor| < Jun 2009| personalizado| de 12 meses| consolid:sim*","CaixaEEqCx| < Jun 2009| personalizado| consolid:sim*","DpInCP| < Jun 2009| personalizado| consolid:sim*","DivPag| < Jun 2009| personalizado| no exercício| consolid:sim*","Qtd Ações|Outstanding|da empresa|30Jun09","Dividendos| < Jun 2009| personalizado| no exercício| consolid:sim*","Div Yld (fim)|30Jun09|1 tri","Divid por Ação|30Jun09|1 tri","Patrim Liq| < Jun 2009| personalizado| consolid:sim*","Valor Mercado|da empresa|30Jun09|personalizado","DesFin| < Jun 2009| personalizado| no exercício| consolid:sim*","LucOpe| < Jun 2009| personalizado| no exercício| consolid:sim*","LucOp(Ant)| < Jun 2009| personalizado| no exercício| consolid:sim*","EBIT| < Jun 2009| personalizado| no exercício| consolid:sim*","EBIT/FinL| < Jun 2009| de 12 meses| consolid:sim*","EBIT/FinB| < Jun 2009| de 12 meses| consolid:sim*","Fechamento|30Jun09|ajus p/prov ed"
"CAML3<XBSP>","Camil","CAML3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"QVQP3B<XBSP>","524 Particip","QVQP3B",1166651.5965,0,-154356.98046,0,136408.49436,0,"-",0,"-","-",93332.127718,0,134456000,"-","-","-",1030243.1021,"-",0,-154356.98046,-184869.40683,-184869.40683,-2.8043478261,"-","-"
"EALT4<XBSP>","Aco Altona","EALT4",284092227.68,92416754.927,-3541236.3074,128276035.3,200213567.59,123241484.95,"-","-","-","-",37751050.813,"-",2250000,"-",0,0,-44397375.216,123979167.73,15755181.098,-4117382.7112,8317328.4585,8234765.4225,-3.6673402767,1.6090574274,5.5101852326
"AESL3<XBSP>","AES Sul","AESL3",3886035699.7,1465685938.8,55258004.155,1151768711.8,1592210201.9,1285073912.9,"-",93403921.662,"-","-",101109206.74,0,278483,"-","-",310.22981366,1142056786,"-",119382560.44,89293718.345,161175610.33,148904230.38,-1.5875995449,0.98441879892,"-"
"TIET11<XBSP>","AES Tiete E","TIET11",31148118671,14058279171,528380097.74,7411974512.4,12369034069,7062788510.2,"-",536596914.67,"-","-",3716284302.7,-1296289921.9,650000000,"-","-","-",6745841578.7,"-",463614780.5,1982866181.2,2191109901.5,2052317848.2,7.732841813,3.8089530316,"-"
"AFLT3<XBSP>","Afluente T","AFLT3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"ALEF3B<XBSP>","Alef S/A","ALEF3B",106454.2659,0,-88949.107412,93.332127718,41224.082873,0,"-",0,"-","-",106454.2659,0,894000,"-","-","-",65136.850904,"-",0,-88949.107412,-88949.107412,-88949.107412,"-","-","-"
"BRGE3<XBSP>","Alfa Consorc","BRGE3",1080574246.8,7179.3944398,41814588.066,9758591.8923,0,416404.87751,"-",1794.84861,"-","-",20102304.431,-5495826.4437,73646000,"-",0,0,1070815654.9,712320114.01,647940.34819,37629001.108,1186394.9312,42528937.813,36.924196483,-1790.8235294,10.230637076
"RPAD3<XBSP>","Alfa Holding","RPAD3",937607375.66,0,36162609.793,9290136.4051,0,105896.06798,"-",1794.84861,"-","-",17097727.858,-5506595.5353,84682000,"-",0,0,928317239.25,653586644.53,716144.59537,31946510.409,1315624.0311,37103110.465,52.523326572,130.12060302,"-"
"ALSO3<XBSP>","Alianscsonae","ALSO3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"APTI4<XBSP>","Aliperti","APTI4",292258788.86,110566264.07,-4271739.6917,133317765.05,3458673.2714,46136583.519,"-",1626132.8406,"-","-",55446463.259,0,182155,"-","-",205.19473258,155383633.86,"-",3137395.3702,-4451224.5527,-6447096.207,-6258637.1029,"-","-","-"
"FRRN3B<XBSP>","All Norte","FRRN3B",6264664204.5,3243874764,156548490.61,1093750230.5,4616883694.8,1047450315.7,"-",83498152.184,"-","-",1917817277.9,0,707543040,"-","-","-",554030279.22,"-",328931135.65,180102288.92,392669799.49,392669799.49,-1.214764854,0.92080474032,"-"
"AALR3<XBSP>","Alliar","AALR3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"ALPA4<XBSP>","Alpargatas","ALPA4",3088670615,546834731.15,34534682.104,819204802.56,479651752.83,1633567103.6,"-",54852368.369,109017309.72,"-",480497126.52,-27484516.764,17418000,"-",0.37529456372,0.015990209222,1719789835.9,2340910084.4,62035352.506,34802114.547,91650354.57,68561422.052,-16.324097473,3.8028468105,4.2607089917
"ALTR3<XBSP>","Altere Sec","ALTR3",3236112.0437,0,147177.58602,2336892.8902,161536.3749,61024.852738,"-","-","-","-",143587.8888,"-",10367000,"-","-","-",737682.77869,"-",1163061.8993,193843.64988,8974.2430498,8974.2430498,0.0026525198939,0.00051124744375,"-"
"ALUP11<XBSP>","Alupar","ALUP11",6110389787.1,5410535237.7,107917067.52,848265196.4,2920796629.6,573863356.36,"-",63891225.969,"-","-",338553319.05,-89157309.851,134667000,"-","-","-",936754822.57,"-",98309242.913,350636239.9,436492823.15,436492823.15,-2.6221585047,2.2753018123,"-"
