"Ativo","Nome","Código","Ativo Tot| < Jun 2019| personalizado| consolid:sim*","Imobil| < Jun 2019| personalizado| consolid:sim*","Lucro Liquido| < Jun 2019| personalizado| no exercício| consolid:sim*","PasCir| < Jun 2019| personalizado| consolid:sim*","PasNoCir| < Jun 2019| personalizado| consolid:sim*","Receita| < Jun 2019| personalizado| no exercício| consolid:sim*","DeprecAmorExaus| < Jun 2019| personalizado| no exercício| consolid:sim*","DeprAmor| < Jun 2019| personalizado| no exercício| consolid:sim*","Depr e Amor| < Jun 2019| personalizado| de 12 meses| consolid:sim*","CaixaEEqCx| < Jun 2019| personalizado| consolid:sim*","DpInCP| < Jun 2019| personalizado| consolid:sim*","DivPag| < Jun 2019| personalizado| no exercício| consolid:sim*","Qtd Ações|Outstanding|da empresa|30Jun19","Dividendos| < Jun 2019| personalizado| no exercício| consolid:sim*","Div Yld (fim)|30Jun19|1 tri","Divid por Ação|30Jun19|1 tri","Patrim Liq| < Jun 2019| personalizado| consolid:sim*","Valor Mercado|da empresa|30Jun19|personalizado","DesFin| < Jun 2019| personalizado| no exercício| consolid:sim*","LucOpe| < Jun 2019| personalizado| no exercício| consolid:sim*","LucOp(Ant)| < Jun 2019| personalizado| no exercício| consolid:sim*","EBIT| < Jun 2019| personalizado| no exercício| consolid:sim*","EBIT/FinL| < Jun 2019| de 12 meses| consolid:sim*","EBIT/FinB| < Jun 2019| de 12 meses| consolid:sim*","Fechamento|30Jun19|ajus p/prov ed"
"CAML3<XBSP>","Camil","CAML3",5772612766.8,1092776265.5,50860771.321,1688151878.5,1797726126.5,1263630827.9,"-",34426064.116,112822375.32,644228265.34,"-",-20428473.841,403182505,"-",0.90183839963,0.066132610691,2286734761.9,2956573112.4,51683017.393,"-","-",50294902.596,-25.34417785,1.6555522596,7.3330888015
"QVQP3B<XBSP>","524 Particip","QVQP3B",89876.297289,0,-106217.44225,0,0,0,"-",0,0,76599.117007,"-",0,206262000,"-","-","-",89876.297289,"-",0,-106217.44225,-109281.40693,-109281.40693,-18.375,"-","-"
"EALT4<XBSP>","Aco Altona","EALT4",352417217.53,186664898.9,10717748.451,106238890,81870157.579,170382990.59,"-",4817573.799,10517569.425,4343680.5951,"-",0,22500000,"-",3.1819888324,0.14266770376,164308169.95,106661559.57,6725402.4733,"-","-",16226756.947,-2.7061303925,1.9125085963,4.4836016488
"AESL3<XBSP>","AES Sul","AESL3",9817463709.7,9344070.9534,302634940.72,1618571003.3,4253621481.3,3992954686.1,"-",0,0,275752735.94,"-",-123689190.17,1125427,"-","-",0,3945271225.1,"-",152086014.84,"-","-",535454382.24,-5.7855547972,2.5873227602,"-"
"TIET11<XBSP>","AES Tiete E","TIET11",8083703975.5,5691022295.7,99529828.675,1680553987.5,4905229743.2,1017950177.6,"-",161808996.09,311221191.08,126360967.38,"-",-6127.9293606,1967385000,"-",3.082583085,0.074111183633,1497920244.8,4777351092,235556583.3,"-","-",341720916.83,-1.9651848105,1.5525758153,11.992297906
"AFLT3<XBSP>","Afluente T","AFLT3",222982072.25,0,12733837.211,2567602.4021,7752851.9627,17820018.581,"-","-","-",45013726.44,"-","-",63084700,"-",0,0,212661617.89,338290087.72,134814.44593,13735753.661,12680728.49,12680728.49,15.333152173,110.63921568,"-"
"ALEF3B<XBSP>","Alef S/A","ALEF3B",116472.53203,0,-105884.49142,32.682289923,0,0,"-",0,0,113225.75079,"-",0,98674000,"-","-","-",116439.84974,"-",0,-105884.49142,-109242.59671,-109242.59671,-33.714513921,"-","-"
"BRGE3<XBSP>","Alfa Consorc","BRGE3",3280184582.5,1869018.455,21954328.256,1390192268,136106417.71,14175943.254,"-",685306.76683,1378784.1061,4863533.2692,"-",-2943448.7362,73646388,"-",0,0,1189512794.6,409842900.82,45452894.711,"-","-",3221248.2006,0.15450338614,0.14050243799,5.7704668146
"RPAD3<XBSP>","Alfa Holding","RPAD3",999676692.28,6127.9293606,17770995.146,2982258.9555,361547.83228,160347.48494,"-",0,0,59236.650486,"-",-4701143.1411,84682269,"-",0,0,996332885.49,461816457.05,0,"-","-",17492174.36,56.310595065,"-",5.2291663877
"ALSO3<XBSP>","Alianscsonae","ALSO3",5687374135.1,3346870.7524,65114356.064,92912686.287,1571038697.9,196074334.43,"-",860974.07516,1809781.8045,187745457.11,"-",-35514414.609,76423831,"-",1.5376986255,0.46800445823,2858254176.9,2325988527.9,36947328.758,"-","-",147605477.15,-9.8989815007,6.6690005741,30.435382491
