"Ativo","Nome","Código","Ativo Tot| < Dez 2015| personalizado| consolid:sim*","Imobil| < Dez 2015| personalizado| consolid:sim*","Lucro Liquido| < Dez 2015| personalizado| no exercício| consolid:sim*","PasCir| < Dez 2015| personalizado| consolid:sim*","PasNoCir| < Dez 2015| personalizado| consolid:sim*","Receita| < Dez 2015| personalizado| no exercício| consolid:sim*","DeprecAmorExaus| < Dez 2015| personalizado| no exercício| consolid:sim*","DeprAmor| < Dez 2015| personalizado| no exercício| consolid:sim*","Depr e Amor| < Dez 2015| personalizado| de 12 meses| consolid:sim*","CaixaEEqCx| < Dez 2015| personalizado| consolid:sim*","DpInCP| < Dez 2015| personalizado| consolid:sim*","DivPag| < Dez 2015| personalizado| no exercício| consolid:sim*","Qtd Ações|Outstanding|da empresa|30Dez15","Dividendos| < Dez 2015| personalizado| no exercício| consolid:sim*","Div Yld (fim)|30Dez15|1 tri","Divid por Ação|30Dez15|1 tri","Patrim Liq| < Dez 2015| personalizado| consolid:sim*","Valor Mercado|da empresa|30Dez15|personalizado","DesFin| < Dez 2015| personalizado| no exercício| consolid:sim*","LucOpe| < Dez 2015| personalizado| no exercício| consolid:sim*","LucOp(Ant)| < Dez 2015| personalizado| no exercício| consolid:sim*","EBIT| < Dez 2015| personalizado| no exercício| consolid:sim*","EBIT/FinL| < Dez 2015| de 12 meses| consolid:sim*","EBIT/FinB| < Dez 2015| de 12 meses| consolid:sim*","Fechamento|30Dez15|ajus p/prov ed"
"CAML3<XBSP>","Camil","CAML3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"QVQP3B<XBSP>","524 Particip","QVQP3B",295122.8297,0,-86521.954088,0,0,0,"-",0,0,238231.6818,"-",0,176262000,"-","-","-",295122.8297,"-",0,"-","-",-119708.45702,-3.6071428571,"-","-"
"EALT4<XBSP>","Aco Altona","EALT4",319283789.07,197012859.92,144598.33423,54933144.22,179258080.85,173798901.12,"-",11823876.903,11823876.903,16065823.119,"-",-2513877.5975,2250000,"-",5.7581151066,0.090495571204,85092563.997,46872118.953,15110525.926,"-","-",10153884.666,-0.89519331243,0.67197427249,1.5716179606
"AESL3<XBSP>","AES Sul","AESL3",4818578296.6,19140315.569,-5833713.1236,3016936387.6,693731842.64,3870602284.5,"-",156042936.81,156042936.81,26433049.59,"-",0,287551,"-","-",0,1107910066.4,"-",385633090.3,-6093278.9858,150176037.19,150176037.19,-0.96100783484,0.38942725862,"-"
"TIET11<XBSP>","AES Tiete E","TIET11",5495659996.6,3727979732.4,466487263.78,1085593328.4,2017715674,3112207726.1,"-",307485987.27,307485987.27,661359.59426,"-",-379702188.13,650000000,"-","-","-",2392350994.2,"-",247200334.22,"-","-",1379039054.5,-10.814268851,5.5786294093,"-"
"AFLT3<XBSP>","Afluente T","AFLT3",105928946.91,0,14973038.986,8373665.8306,4611738.6761,32495512.537,"-",0,0,50092655.72,"-",-9312369.7708,63085000,"-","-",0,92943542.406,"-",560614.8532,18250206.151,13298305.82,13298305.82,2.6854954524,23.720930233,"-"
"ALEF3B<XBSP>","Alef S/A","ALEF3B",15987.59779,0,-101951.30749,201.48948212,0,0,"-",0,0,13701.284784,"-",0,44474000,"-","-","-",15786.108308,"-",0,-101951.30749,-108140.59028,-108140.59028,-17.472232861,"-","-"
"BRGE3<XBSP>","Alfa Consorc","BRGE3",3596600293.4,2173715.9424,76121541.114,1369503861,468285261.1,32832118.496,"-",836773.96693,836773.96693,2049266.5564,"-",-6857753.7857,73646388,"-","-",0,1184867196.2,403116604.2,178094182.78,"-","-",24480972.078,0.21159874608,0.13746081818,"-"
"RPAD3<XBSP>","Alfa Holding","RPAD3",1016335467.2,7111.3934867,61083314.354,6909904.0046,286826.20396,224008.89483,"-",15408.019221,15408.019221,46224.057663,"-",-8189954.8322,84682269,"-",0,0,1009138737,250845107.18,0,"-","-",60301061.07,71.860169492,"-","-"
"ALSO3<XBSP>","Alianscsonae","ALSO3",5808635979.7,4033345.3392,115108570.67,286397149.89,1600388288.1,392525215.82,"-",3190645.211,3190645.211,314258404.34,"-",-41214080.952,76423831,"-",0,0,2866532785.8,1465584222,135301372.48,"-","-",397256662.95,-5.0106440232,2.9360874593,19.177057769
"APTI4<XBSP>","Aliperti","APTI4",501794147.21,370773833.61,3677775.6649,15277643.673,156969788.43,76747343.74,"-",3956305.2431,3956305.2431,2113269.0978,"-",-6813900.1925,182155,"-","-",0,329432932.81,"-",5315766.6313,"-","-",7391108.2971,15.473945409,1.3904124861,"-"
"FRRN3B<XBSP>","All Norte","FRRN3B",7825903635.9,4026342987.1,200419217.4,1656807713.6,3752690639.5,2934759494.9,"-",388884182.35,388884182.35,29752885.116,"-",-33223245.138,765326706,"-","-","-",2416405282.7,"-",540791843.86,"-","-",630918089.21,-1.5716909268,1.1666560736,"-"
"AALR3<XBSP>","Alliar","AALR3",1820933934.3,487380537.84,-15131860.107,221611169.99,730547526.72,829264335.41,"-",42313976.478,42313976.478,25980290.871,"-",0,"-","-","-","-",868775237.62,"-","-","-","-",128879784.15,-1.0684681144,"-","-"
"ALPA4<XBSP>","Alpargatas","ALPA4",4460586007.5,878140942.84,322755334.32,1552084147.9,619538674.4,4890569303.3,"-",120432633.92,120432633.92,468079030.69,"-",-503598070.69,460846000,"-",6.3868843951,0.43118385918,2180269091.5,4599191617.9,264767846.6,"-","-",437119579.14,-5.8722235491,1.6509541652,6.7510828833
"ALTR3<XBSP>","Altere Sec","ALTR3",1285976.9888,0,138672.17299,42668.36092,0,240602.1463,"-","-","-",21334.18046,"-","-",36147533,"-","-","-",1243308.6279,"-",10667.09023,182525.76616,189637.15964,189637.15964,-26.666666667,17.777777778,"-"
"ALUP11<XBSP>","Alupar","ALUP11",11866145841,4340116631.4,247913844.04,2284245960.9,4761505808.2,1770214290.8,"-",87183313.682,87183313.682,701488002.47,"-",-561519185.4,624901800,"-",0,0,2975024204.8,3246532336.8,608678391.31,"-","-",1276754696.7,-2.5186498853,2.0975850547,14.527014656
"ABEV3<XBSP>","Ambev S/A","ABEV3",1.0687978052E11,22685448338,14725054028,35725167297,11497568243,55374217734,"-",3644138773.7,3644138773.7,16143054037,"-",-13618580463,15679851000,"-",0.84840336139,0.17949157161,57284506328,3.3172913106E11,4222305731.2,"-","-",22260548503,-8.280384075,5.2721308972,21.156395623
"AMBP3<XBSP>","Ambipar","AMBP3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"CBEE3<XBSP>","Ampla Energ","CBEE3",9266771515.8,87928824.766,-41760473.018,2259324082.5,4028460997.1,6136397735,"-",283246802.57,283246802.57,158970460.47,"-",-130375.54725,3.922515915E12,"-",0,0,2978986436.2,4137692195.8,633012394.59,-41088446.334,153322828.8,153322828.8,-0.78865193748,0.24221141658,32.065675428
"ANIM3<XBSP>","Anima","ANIM3",1393568816.6,172994128.42,76095466.004,282161129.84,350348726.28,1015293648,"-",33022940.888,33022940.888,30199717.673,"-",-46421991.449,82865982,"-",0,0,761058960.48,1355372990.7,78657938.124,"-","-",82576315.935,-6.2195143724,1.0498154147,16.356205019
"ARZZ3<XBSP>","Arezzo Co","ARZZ3",1012126707.5,87224796.811,141828446.47,226109126.37,53656649.089,1328120291.9,"-",28692102.254,28692102.254,10456118.889,"-",-39718317.855,88735000,"-",0.97296887657,0.24217075861,732360932.06,2208603253.6,35041391.406,"-","-",167459093.82,6.0719412093,4.7788939625,24.889877203
"ARTR3<XBSP>","Arteris","ARTR3",11949001872,73975085.513,177004954.35,3184862462.9,6103471983.2,4537025190.9,"-",621779948.58,621779948.58,579020324.78,"-",-39410157.471,344444000,"-",0,0,2660667426.2,3939575215.8,782084980.55,"-","-",869581195.55,-1.4817477709,1.1118755854,11.437491191
"ATMP3<XBSP>","Atmasa","ATMP3",3106929886.9,442444827.63,-268784598.69,1884281042.3,1020336811.3,3803865412.3,"-",237864259.81,237864259.81,437963464.5,"-",0,334649445,"-",0,0,202310848.07,42449075.105,332426829.46,"-","-",-117828678.68,0.51046721198,-0.35444996684,426.6836092
"ATOM3<XBSP>","Atompar","ATOM3",683879.00697,0,-5926.1612389,375718.62255,9772239.8829,0,"-",0,0,0,"-","-",313485000,"-",0,0,-9464079.4985,100319183.42,0,"-","-",-193192.85639,-1.0316455696,"-",4.8001906035
"AURA32<XBSP>","Aura 360","AURA32","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AZUL4<XBSP>","Azul S.A.","AZUL4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
