"Ativo","Nome","Código","Ativo Tot| < Dez 2001| personalizado| consolid:sim*","Imobil| < Dez 2001| personalizado| consolid:sim*","Lucro Liquido| < Dez 2001| personalizado| no exercício| consolid:sim*","PasCir| < Dez 2001| personalizado| consolid:sim*","PasNoCir| < Dez 2001| personalizado| consolid:sim*","Receita| < Dez 2001| personalizado| no exercício| consolid:sim*","DeprecAmorExaus| < Dez 2001| personalizado| no exercício| consolid:sim*","DeprAmor| < Dez 2001| personalizado| no exercício| consolid:sim*","Depr e Amor| < Dez 2001| personalizado| de 12 meses| consolid:sim*","CaixaEEqCx| < Dez 2001| personalizado| consolid:sim*","DpInCP| < Dez 2001| personalizado| consolid:sim*","DivPag| < Dez 2001| personalizado| no exercício| consolid:sim*","Qtd Ações|Outstanding|da empresa|30Dez01","Dividendos| < Dez 2001| personalizado| no exercício| consolid:sim*","Div Yld (fim)|30Dez01|1 tri","Divid por Ação|30Dez01|1 tri","Patrim Liq| < Dez 2001| personalizado| consolid:sim*","Valor Mercado|da empresa|30Dez01|personalizado","DesFin| < Dez 2001| personalizado| no exercício| consolid:sim*","LucOpe| < Dez 2001| personalizado| no exercício| consolid:sim*","LucOp(Ant)| < Dez 2001| personalizado| no exercício| consolid:sim*","EBIT| < Dez 2001| personalizado| no exercício| consolid:sim*","EBIT/FinL| < Dez 2001| de 12 meses| consolid:sim*","EBIT/FinB| < Dez 2001| de 12 meses| consolid:sim*","Fechamento|30Dez01|ajus p/prov ed"
"CAML3<XBSP>","Camil","CAML3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"QVQP3B<XBSP>","524 Particip","QVQP3B",2999794.2267,0,-146605026.76,8814.2827426,0,0,"-","-","-","-",2203570.6856,"-",53532000,0,"-","-",2990979.944,"-",0,-146599150.57,-147695059.73,-147695059.73,-134.769437,"-","-"
"EALT4<XBSP>","Aco Altona","EALT4",106312019.88,77316831.552,-17921543.429,276810857.19,4841144.9012,122050620.98,"-","-","-","-",3363292.3089,"-",2250000,0,"-",0,-175339982.21,"-",25611658.427,-13991172.487,8713021.3244,4782650.3828,-0.21065052661,0.18673723907,"-"
"AESL3<XBSP>","AES Sul","AESL3",8599381715,4453589703.3,141151923.84,2296814044.7,4950201083.5,3893915068.1,160937050.5,"-",160937050.5,"-",49821264.155,"-",537215000,91080.921674,0,0,1352366586.9,1270918159.6,2960144644.9,241379132.91,1524136390.9,1502641293.4,-1.1706911746,0.50762427978,"-"
"TIET11<XBSP>","AES Tiete E","TIET11",466061669.7,0,-12539536.51,166341090.19,191139824.95,0,"-","-","-","-",1115335.8335,"-",100,"-","-","-",108580754.55,"-",26325991.405,-17796075.053,-1613198.8418,8467173.3501,-0.32239627103,0.32162790072,"-"
"AFLT3<XBSP>","Afluente T","AFLT3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"ALEF3B<XBSP>","Alef S/A","ALEF3B",202728.50308,0,0,317314.17873,126338.05264,0,0,"-",0,0,0,"-",1000,"-","-","-",-240923.7283,"-",2938.0942475,0,0,0,"-",0,"-"
"BRGE3<XBSP>","Alfa Consorc","BRGE3",3895645605.7,7991616.3533,64573435.372,1862980924.3,805087771.43,38756401.219,3243656.0493,"-",3243656.0493,"-",1697633794.3,"-",75160000,13400647.863,0,0,912005021.09,449194640,1662961.3441,122691877.68,38289244.234,81164853.588,1.7683395212,48.807420495,"-"
"RPAD3<XBSP>","Alfa Holding","RPAD3",841382049.67,99895.204416,57263456.884,20487331.188,23504.75398,2285837.3246,23504.75398,"-",23504.75398,"-",6704731.0729,"-",84682000,14760985.499,0,0,820871213.72,511246429.3,0,63800716.585,-11731810.33,61729360.141,29.80141844,"-","-"
"ALSO3<XBSP>","Alianscsonae","ALSO3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
