"Ativo","Nome","Código","Ativo Tot| < Jun 2017| personalizado| consolid:sim*","Imobil| < Jun 2017| personalizado| consolid:sim*","Lucro Liquido| < Jun 2017| personalizado| no exercício| consolid:sim*","PasCir| < Jun 2017| personalizado| consolid:sim*","PasNoCir| < Jun 2017| personalizado| consolid:sim*","Receita| < Jun 2017| personalizado| no exercício| consolid:sim*","DeprecAmorExaus| < Jun 2017| personalizado| no exercício| consolid:sim*","DeprAmor| < Jun 2017| personalizado| no exercício| consolid:sim*","Depr e Amor| < Jun 2017| personalizado| de 12 meses| consolid:sim*","CaixaEEqCx| < Jun 2017| personalizado| consolid:sim*","DpInCP| < Jun 2017| personalizado| consolid:sim*","DivPag| < Jun 2017| personalizado| no exercício| consolid:sim*","Qtd Ações|Outstanding|da empresa|30Jun17","Dividendos| < Jun 2017| personalizado| no exercício| consolid:sim*","Div Yld (fim)|30Jun17|1 tri","Divid por Ação|30Jun17|1 tri","Patrim Liq| < Jun 2017| personalizado| consolid:sim*","Valor Mercado|da empresa|30Jun17|personalizado","DesFin| < Jun 2017| personalizado| no exercício| consolid:sim*","LucOpe| < Jun 2017| personalizado| no exercício| consolid:sim*","LucOp(Ant)| < Jun 2017| personalizado| no exercício| consolid:sim*","EBIT| < Jun 2017| personalizado| no exercício| consolid:sim*","EBIT/FinL| < Jun 2017| de 12 meses| consolid:sim*","EBIT/FinB| < Jun 2017| de 12 meses| consolid:sim*","Fechamento|30Jun17|ajus p/prov ed"
"ALPA4<XBSP>","Alpargatas","ALPA4",4087197198.5,811360041.72,266504302.68,1248480702.3,369539099.77,1837181856.5,"-",53031076.506,108433783.86,407941445.82,"-",-47259593.804,463054000,"-",0.60239580773,0.072813885598,2378715989.9,6887218917.3,74426448.894,"-","-",300222898.21,-7.6091051324,3.3222917992,12.087382525
"ALTR3<XBSP>","Altere Sec","ALTR3",7714.4126256,0,1102.0589465,4408.2357861,0,50694.71154,"-","-","-",6612.3536791,"-",0,36218984,"-","-","-",3306.1768396,"-",61715.301005,5510.2947326,-39674.122075,-39674.122075,34.954545454,-4.9612903226,"-"
"ALUP11<XBSP>","Alupar","ALUP11",11831411702,4262974498.4,138858325.2,1808757552.1,3892322319.1,826414166.93,"-",52196817.884,105421856.76,1055476016.9,"-",-173237054.04,879111269,"-",2.839192175,0.18867611538,4227072724.1,5982525541.9,272630648.37,"-","-",574164996.72,-2.9226497371,2.2496969194,19.936246343
"ABEV3<XBSP>","Ambev S/A","ABEV3",92709618940,20540255096,4642184165.4,28671144614,9230810470.2,23705021241,"-",1873461637,3817867216.7,9651107098.8,"-",-1338999415.9,15707176000,"-",0.87182960128,0.17592387374,52644495167,3.1695038152E11,2003488061.8,"-","-",7213034214.1,-4.9792613532,4.1026498705,20.178699311
"AMBP3<XBSP>","Ambipar","AMBP3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"CBEE3<XBSP>","Ampla Energ","CBEE3",9067197696.9,74720698.633,-182390755.65,2706825387.7,4041763716.4,2669234157,"-",164346744.52,317872372.24,99642659.649,"-",0,98063000,"-",0,0,2318608592.9,4905930242.6,520808812.83,"-","-",124682540.97,-0.34449870727,0.225234947,"-"
"ANIM3<XBSP>","Anima","ANIM3",1568380863,254339776.03,70801777.019,312064521.59,488972533.98,569714882.7,"-",27000444.19,52793031.774,33964354.673,"-",-5455191.7853,79772582,"-",0.37872898272,0.068367116516,767343807.4,1440032756.2,66903794.525,"-","-",79031953.232,-1.3595535477,0.59230101302,18.051725544
"ARZZ3<XBSP>","Arezzo Co","ARZZ3",1066560525.7,78851215.564,67716011.969,283203801.9,35442215.72,689977065.24,"-",14780814.59,29143948.841,8480343.5934,"-",-58381572.692,89766000,"-",1.824521308,0.65770979302,747914508.17,3235916019.2,11134101.536,"-","-",80379771.323,13.547856629,6.9554918033,36.048348141
"ARTR3<XBSP>","Arteris","ARTR3",13055719843,67968383.468,159384173.08,2556026253.8,4572930781.2,2443949063,"-",402547969.34,757652301.02,344036353.69,"-",0,621564000,"-","-",0,5926762808.5,"-",244126995.77,"-","-",447282746.09,-2.1566204003,2.103374594,"-"
"ATMP3<XBSP>","Atmasa","ATMP3",2119137025.6,139279311.72,-196673439.6,869737206.18,1431634082.7,978936921.01,"-",61759383.363,167006012.76,189867123.54,"-",0,4117513,"-",0,0,-182234263.28,18831629.462,130107977.16,"-","-",-64167382.161,0.4417911927,-0.33782281764,137.20633884
