"Ativo","Nome","Código","Ativo Tot| < Jun 2015| personalizado| consolid:sim*","Imobil| < Jun 2015| personalizado| consolid:sim*","Lucro Liquido| < Jun 2015| personalizado| no exercício| consolid:sim*","PasCir| < Jun 2015| personalizado| consolid:sim*","PasNoCir| < Jun 2015| personalizado| consolid:sim*","Receita| < Jun 2015| personalizado| no exercício| consolid:sim*","DeprecAmorExaus| < Jun 2015| personalizado| no exercício| consolid:sim*","DeprAmor| < Jun 2015| personalizado| no exercício| consolid:sim*","Depr e Amor| < Jun 2015| personalizado| de 12 meses| consolid:sim*","CaixaEEqCx| < Jun 2015| personalizado| consolid:sim*","DpInCP| < Jun 2015| personalizado| consolid:sim*","DivPag| < Jun 2015| personalizado| no exercício| consolid:sim*","Qtd Ações|Outstanding|da empresa|30Jun15","Dividendos| < Jun 2015| personalizado| no exercício| consolid:sim*","Div Yld (fim)|30Jun15|1 tri","Divid por Ação|30Jun15|1 tri","Patrim Liq| < Jun 2015| personalizado| consolid:sim*","Valor Mercado|da empresa|30Jun15|personalizado","DesFin| < Jun 2015| personalizado| no exercício| consolid:sim*","LucOpe| < Jun 2015| personalizado| no exercício| consolid:sim*","LucOp(Ant)| < Jun 2015| personalizado| no exercício| consolid:sim*","EBIT| < Jun 2015| personalizado| no exercício| consolid:sim*","EBIT/FinL| < Jun 2015| de 12 meses| consolid:sim*","EBIT/FinB| < Jun 2015| de 12 meses| consolid:sim*","Fechamento|30Jun15|ajus p/prov ed"
"CAML3<XBSP>","Camil","CAML3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"QVQP3B<XBSP>","524 Particip","QVQP3B",324935.53316,0,-72894.283105,0,0,0,"-",0,0,269338.19859,"-",0,176262000,"-","-","-",324935.53316,"-",0,-72894.283105,-90191.231638,-90191.231638,-3.3333333333,"-","-"
"EALT4<XBSP>","Aco Altona","EALT4",327589379.27,210319774.7,-5087773.8614,65796356.724,176100233.02,89923128.936,"-",6282498.8066,12625536.933,12405618.587,"-",-2600719.7616,2250000,"-",3.7177686828,0.076295421195,85692789.523,46174120.106,8616351.3622,"-","-",-908089.798,-0.32609962132,0.2118660106,"-"
"AESL3<XBSP>","AES Sul","AESL3",4699055830.6,11348033.734,-29219488.058,1664455705.4,1937795676.6,2112772843.5,"-",79512836.911,160983935.5,11417221.528,"-",0,278483,"-","-",0,1096804448.5,"-",168195527.54,-42753114.789,-9372475.1124,-9372475.1124,-5.5962829438,1.0831602249,"-"
"TIET11<XBSP>","AES Tiete E","TIET11",22882160396,3882460712.8,242350016.89,6022680107.2,9236941165.7,9006553224.2,"-",526343672.88,880975595.68,193660342.27,"-",-182429680.68,650000000,"-","-","-",4682328445.8,"-",464609628.06,"-","-",873967860.53,-4.8521122425,1.3721430661,"-"
"AFLT3<XBSP>","Afluente T","AFLT3",104230176.36,0,11152825.315,3005962.5558,5087773.8614,18387891.787,"-",0,0,42632036.149,"-",-9707294.6162,63085000,"-",4.650179926,0.15750616738,96136439.948,213675099.19,284164.15448,12794799.929,10656155.792,10656155.792,4.9305903997,30.612668744,"-"
"ALEF3B<XBSP>","Alef S/A","ALEF3B",65822.302147,0,-56955.145031,46.948860305,0,0,"-",0,0,64228.51189,"-",0,44474000,"-","-","-",65775.353287,"-",0,-56955.145031,-60486.193525,-60486.193525,-18.033219247,"-","-"
"BRGE3<XBSP>","Alfa Consorc","BRGE3",3618658773.3,1535721.9305,33724107.655,1434793000.3,461052634.15,16608777.081,"-",389181.342,714116.87516,2347443.0152,"-",-3746024.8538,73646388,"-",0,0,1168064170,257093679.24,89026158.605,"-","-",7333906.1781,0.23831218395,0.14502304315,"-"
"RPAD3<XBSP>","Alfa Holding","RPAD3",1002007286.5,7412.9779429,27823377.212,4424312.3356,298990.11036,116136.65443,"-",9883.9705905,18532.444857,38300.386038,"-",-6293618.2735,84682269,"-",0,0,997283984.1,263317519.42,0,27828319.197,-1856950.9747,27180919.124,91.770386266,"-","-"
"ALSO3<XBSP>","Alianscsonae","ALSO3",5963058761.1,3755908.8244,109724428.51,216337877.29,1678589783.4,199159536.41,"-",1659271.5629,3157928.6037,301252304.13,"-",-42961913.668,76423831,"-",2.4682663922,0.57483716913,3016610063.1,1779842678.4,71650138.307,"-","-",263617850.61,-7.5870592094,4.2567290261,23.289105704
