"Ativo","Nome","Código","Ativo Tot| < Dez 2012| personalizado| consolid:sim*","Imobil| < Dez 2012| personalizado| consolid:sim*","Lucro Liquido| < Dez 2012| personalizado| no exercício| consolid:sim*","PasCir| < Dez 2012| personalizado| consolid:sim*","PasNoCir| < Dez 2012| personalizado| consolid:sim*","Receita| < Dez 2012| personalizado| no exercício| consolid:sim*","DeprecAmorExaus| < Dez 2012| personalizado| no exercício| consolid:sim*","DeprAmor| < Dez 2012| personalizado| no exercício| consolid:sim*","Depr e Amor| < Dez 2012| personalizado| de 12 meses| consolid:sim*","CaixaEEqCx| < Dez 2012| personalizado| consolid:sim*","DpInCP| < Dez 2012| personalizado| consolid:sim*","DivPag| < Dez 2012| personalizado| no exercício| consolid:sim*","Qtd Ações|Outstanding|da empresa|30Dez12","Dividendos| < Dez 2012| personalizado| no exercício| consolid:sim*","Div Yld (fim)|30Dez12|1 tri","Divid por Ação|30Dez12|1 tri","Patrim Liq| < Dez 2012| personalizado| consolid:sim*","Valor Mercado|da empresa|30Dez12|personalizado","DesFin| < Dez 2012| personalizado| no exercício| consolid:sim*","LucOpe| < Dez 2012| personalizado| no exercício| consolid:sim*","LucOp(Ant)| < Dez 2012| personalizado| no exercício| consolid:sim*","EBIT| < Dez 2012| personalizado| no exercício| consolid:sim*","EBIT/FinL| < Dez 2012| de 12 meses| consolid:sim*","EBIT/FinB| < Dez 2012| de 12 meses| consolid:sim*","Fechamento|30Dez12|ajus p/prov ed"
"CAML3<XBSP>","Camil","CAML3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"QVQP3B<XBSP>","524 Particip","QVQP3B",743580.72924,0,691840.51945,149307.46253,0,0,"-",0,0,725841.22874,"-",-147829.17082,176261901,"-","-","-",594273.26671,"-",0,"-","-",573577.18279,4.85,"-","-"
"EALT4<XBSP>","Aco Altona","EALT4",375766969.31,248299788.48,11388759.32,74875475.022,207546242.67,271684885.01,"-","-","-",1355593.4964,"-","-",2250000,"-",0,0,93345251.624,92799761.984,12836006.902,"-","-",25496097.092,-3.0869876499,1.9862950593,4.1244338659
"AESL3<XBSP>","AES Sul","AESL3",4389593571.4,1269852.5774,376464723,1282044049.1,1615729966.6,3461208639.1,"-",170658429.67,170658429.67,66580780.247,"-",-104210695.68,278483,"-","-",0,1491819555.6,"-",93658649.466,365563799.94,380507850.82,380507850.82,-25.46216243,4.0627091357,"-"
"TIET11<XBSP>","AES Tiete E","TIET11",24303934657,4625651626.2,503512068.99,4838272844.3,8609037245.4,14930434333,"-",947703248.31,947703248.31,311848592.43,"-",-2762885810.5,650000000,"-","-","-",6289832603.6,"-",589718649.95,"-","-",2082209350,-14.847198212,3.5308521279,"-"
"AFLT3<XBSP>","Afluente T","AFLT3",137791570.12,0,26152458.61,14772569.04,5246457.2725,41749914.424,"-",0,0,54661314.203,"-",-29697402.127,63085000,"-",0,0,117772543.81,279774097.24,498184.30567,29394352.326,25377833.755,25377833.755,6.3183658447,50.940652819,4.4348751247
"ALEF3B<XBSP>","Alef S/A","ALEF3B",138000.00925,0,-120894.69589,2353.4403995,0,0,"-",0,0,133452.78396,"-",0,26474000,"-","-","-",135646.56886,"-",0,-120894.69589,-128741.46828,-128741.46828,-16.406932931,"-","-"
"BRGE3<XBSP>","Alfa Consorc","BRGE3",9564709964.3,4564964.795,93360034.541,5018690955.8,2907884052.7,40824503.814,"-",1413246.8731,1413246.8731,7466851.4182,"-",-7861555.3043,73646388,"-",0,0,1210837694.1,379750476.52,559103228.68,"-","-",-142287055.21,-0.39480139133,-0.25449156419,5.8096864133
"RPAD3<XBSP>","Alfa Holding","RPAD3",1048130995.5,8869.7502494,77471355.261,7150496.9927,2956.5834165,137481.12887,"-",16261.20879,16261.20879,68001.418578,"-",-8189736.0636,84682269,"-",0,0,1040977541.9,501763477.88,0,"-","-",77319091.215,507.7961165,"-","-"
"ALSO3<XBSP>","Alianscsonae","ALSO3",6016175677.4,5166629.5202,274268938.92,408039555.6,1650391472.3,379700703.55,"-",2646142.1577,2646142.1577,1008159466,"-",-36153102.016,76423831,"-",0,0,3092145722.7,3643499080.6,97209506.15,"-","-",615946501.44,-29.21681509,6.3362784756,47.67490759
"APTI4<XBSP>","Aliperti","APTI4",600069648.5,416521993.42,19550407.841,108648527.38,126529943.89,117920372.98,"-",4890188.9708,4890188.9708,400617.05293,"-",-7171193.0766,182155,"-","-",0,364753696.09,"-",2829450.3295,"-","-",23634927.831,8.0992907801,8.3531870428,"-"
"FRRN3B<XBSP>","All Norte","FRRN3B",6607754018.4,4131390706.7,557774244.43,1016250156.5,3352669505.3,2249698322.3,"-",149078327.32,149078327.32,1239486987.4,"-",0,765326706,"-","-","-",2238834356.5,"-",310767961.19,"-","-",920307546.37,-3.7528438033,2.9613977671,"-"
"AALR3<XBSP>","Alliar","AALR3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"ALPA4<XBSP>","Alpargatas","ALPA4",4051596955.2,730821593.5,413896547.34,1116788775.6,479516437.98,4445196557.4,"-",88990204.252,88990204.252,181578570.52,"-",-124086327.69,383198000,"-",0.38628649453,0.057010024728,2447495231.1,8435752482.7,107712768.73,"-","-",431304910.5,36.046330615,4.0042133868,14.758482508
"ALTR3<XBSP>","Altere Sec","ALTR3",1543336.5434,0,44348.751247,465661.88809,81306.043952,137481.12887,"-","-","-",32522.417581,"-","-",21171000,"-","-","-",996368.61134,"-",8869.7502494,60609.960037,-47305.334663,-47305.334663,-0.43835616438,-5.3333333333,"-"
"ALUP11<XBSP>","Alupar","ALUP11",11022224282,3070176829.6,325827318.83,1681576035.9,4795989266.6,1860637075.6,"-",54081823.854,54081823.854,78040497.569,"-",-422004977.36,163910000,"-","-","-",2415722307.5,"-",410976921.22,"-","-",1302571607.7,-3.7856998621,3.1694519582,"-"
