"Ativo","Nome","Código","Ativo Tot| < Set 2018| personalizado| consolid:sim*","Imobil| < Set 2018| personalizado| consolid:sim*","Lucro Liquido| < Set 2018| personalizado| no exercício| consolid:sim*","PasCir| < Set 2018| personalizado| consolid:sim*","PasNoCir| < Set 2018| personalizado| consolid:sim*","Receita| < Set 2018| personalizado| no exercício| consolid:sim*","DeprecAmorExaus| < Set 2018| personalizado| no exercício| consolid:sim*","DeprAmor| < Set 2018| personalizado| no exercício| consolid:sim*","Depr e Amor| < Set 2018| personalizado| de 12 meses| consolid:sim*","CaixaEEqCx| < Set 2018| personalizado| consolid:sim*","DpInCP| < Set 2018| personalizado| consolid:sim*","DivPag| < Set 2018| personalizado| no exercício| consolid:sim*","Qtd Ações|Outstanding|da empresa|30Set18","Dividendos| < Set 2018| personalizado| no exercício| consolid:sim*","Div Yld (fim)|30Set18|1 tri","Divid por Ação|30Set18|1 tri","Patrim Liq| < Set 2018| personalizado| consolid:sim*","Valor Mercado|da empresa|30Set18|personalizado","DesFin| < Set 2018| personalizado| no exercício| consolid:sim*","LucOpe| < Set 2018| personalizado| no exercício| consolid:sim*","LucOp(Ant)| < Set 2018| personalizado| no exercício| consolid:sim*","EBIT| < Set 2018| personalizado| no exercício| consolid:sim*","EBIT/FinL| < Set 2018| de 12 meses| consolid:sim*","EBIT/FinB| < Set 2018| de 12 meses| consolid:sim*","Fechamento|30Set18|ajus p/prov ed"
"CAML3<XBSP>","Camil","CAML3",4628441424.6,962229593.07,117567421.52,1098538334.4,1378710269.7,2264336890.4,"-",52998072.094,101885586.67,388730463.94,"-",0,404230305,"-",0.70754261072,0.052060970957,2151192820.6,2974325765,112856551.99,"-","-",175108907.69,-8.414559422,2.0310364999,7.3579979733
"QVQP3B<XBSP>","524 Particip","QVQP3B",113199.96882,0,-96429.60307,0,0,0,"-",0,0,95381.45521,"-",0,196262000,"-","-","-",113199.96882,"-",0,"-","-",-121585.15169,-5.64,"-","-"
"EALT4<XBSP>","Aco Altona","EALT4",315939016.68,169924682.83,10204767.559,131342360.12,81326840.563,192659009.9,"-",7305590.5804,"-",1360495.9216,"-",-7430320.1757,22500000,"-",0,0,103269816,116515973.24,8387279.1713,"-","-",16591132.467,"-","-",5.0311097254
"AESL3<XBSP>","AES Sul","AESL3",5120562856.3,14336566.421,88484642.295,911246123.08,2438563161.7,2892709906.9,"-",0,-114300524.07,384556016.3,"-",0,526451,"-","-",0,1770753571.5,"-",155798794.12,"-","-",235153020.42,-2.9938780175,1.6837248557,"-"
"TIET11<XBSP>","AES Tiete E","TIET11",8141262098.4,5652519906.1,191900150.85,1727587698.2,4820474979.7,1526996305.3,"-",214990848.19,285814199.05,57470995.282,"-",-133196533.68,1967385000,"-",2.7850075293,0.055462893928,1593199420.4,3991751843.5,356898538.73,"-","-",561266408.37,-1.9436347014,1.4735586209,9.9336671236
"AFLT3<XBSP>","Afluente T","AFLT3",65466267.153,0,12326218.827,3217813.9285,7908275.5996,21749068.084,"-",0,0,33101557.549,"-",-5029013.4296,63085000,"-",0,0,54340177.625,332863374.35,181329.57968,14163622.024,13144822.305,13144822.305,12.371381306,64.469827586,"-"
"ALEF3B<XBSP>","Alef S/A","ALEF3B",43154.343669,0,-116026.82359,231.64067694,0,0,"-",0,0,39113.733671,"-",0,78674000,"-","-","-",42922.702992,"-",77.562941599,-116026.82359,-118570.67845,-118570.67845,-46.595060893,-1861.2837838,"-"
"BRGE3<XBSP>","Alfa Consorc","BRGE3",3310009014.2,2051225.3609,42381858.697,1404532805.7,155866923.74,20161124.077,"-",1089025.626,1324858.8943,15299814.304,"-",-2857251.0649,73646388,"-",0,0,1187955061.7,318922380.21,63727389.855,"-","-",8079123.7006,0.15719024714,0.22789193349,4.6328135388
"RPAD3<XBSP>","Alfa Holding","RPAD3",1003295516.2,6288.8871567,34562675.665,4450435.8112,436029.50953,250507.33841,"-",0,0,15722.217891,"-",-4572020.9629,84682269,"-",0,0,998409050.93,276956290.72,0,"-","-",33767131.44,116.07459207,"-",2.5050733841
"ALSO3<XBSP>","Alianscsonae","ALSO3",5521062249.7,3382373.1424,97000843.653,293821000.55,1302862463.4,282290325.95,"-",1550210.6841,2122499.4154,282222196.34,"-",-36447245.517,76423831,"-",0,0,2801581835.8,1572431211.8,60176264.907,"-","-",310802044.02,-6.4456845005,4.6900797267,20.575142481
"APTI4<XBSP>","Aliperti","APTI4",449156513.32,331617212.36,-13012755.675,54871588.59,152093591.44,15407773.534,"-",2144510.5204,2881358.4656,645659.08142,"-",0,18215,"-","-",0,242339122.14,"-",8872571.6303,"-","-",-4993376.4024,1.2052313883,-0.92220612208,"-"
"FRRN3B<XBSP>","All Norte","FRRN3B",13050508912,5017418818,476867446.43,1359609188.5,8318482938.4,3004881642.7,"-",351455506.9,490001787.26,26825248.167,"-",-312100699.22,1189412363,"-","-","-",3372416785.9,"-",1427455799.4,"-","-",1248122941.4,-2.0828617959,0.88313795084,"-"
"AALR3<XBSP>","Alliar","AALR3",2366978855.5,553371758.69,24730000.596,422417213.28,591985525.84,857561037.87,"-",69237503.152,88902853.291,49231504.958,"-",0,118191589,"-",0,0,1309255117.2,1446944808.7,"-","-","-",101323405.42,-0.90983514495,"-",12.242366998
"ALPA4<XBSP>","Alpargatas","ALPA4",4078873683.9,776759319.39,270193651.5,1181840167.1,466606078.89,2774364580.3,"-",82492380.982,119006707.96,579704377.37,"-",-216446725.57,463053374,"-",0.69857678772,0.071756752942,2357480539.6,5983504152.7,159265019.1,"-","-",387051656.36,-5.4836950426,2.1263787939,10.271849022
"ALTR3<XBSP>","Altere Sec","ALTR3",33540.731502,0,39829.618659,3144.4435784,0,148836.99604,"-","-","-",33540.731502,"-",0,36218984,"-","-","-",30396.287924,"-",-44022.210097,52407.392973,10481.478594,10481.478594,0.2962962963,2,"-"
"ALUP11<XBSP>","Alupar","ALUP11",13348901934,4495825854.3,373012763.93,1446829764.5,5116141768.6,1551042913.5,"-",79151933.754,107818777.71,1485446676,"-",-381509050.47,879111269,"-",0,0,4713518827.7,5820132851.1,282637262.89,"-","-",1100347719.1,-4.9073807054,3.5485674978,16.613143572
"ABEV3<XBSP>","Ambev S/A","ABEV3",1.0029836188E11,20620248476,8033291339.2,26790659288,10595399689,35860814126,"-",2999064422.1,4041392964.6,12816405088,"-",-3862263447.3,15720176000,"-",0,0,61796424787,3.0218944224E11,3064066359.8,"-","-",11299089476,-4.9390273083,3.7781939708,19.223031742
