"Ativo","Nome","Código","Ativo Tot| < Jun 2014| personalizado| consolid:sim*","Imobil| < Jun 2014| personalizado| consolid:sim*","Lucro Liquido| < Jun 2014| personalizado| no exercício| consolid:sim*","PasCir| < Jun 2014| personalizado| consolid:sim*","PasNoCir| < Jun 2014| personalizado| consolid:sim*","Receita| < Jun 2014| personalizado| no exercício| consolid:sim*","DeprecAmorExaus| < Jun 2014| personalizado| no exercício| consolid:sim*","DeprAmor| < Jun 2014| personalizado| no exercício| consolid:sim*","Depr e Amor| < Jun 2014| personalizado| de 12 meses| consolid:sim*","CaixaEEqCx| < Jun 2014| personalizado| consolid:sim*","DpInCP| < Jun 2014| personalizado| consolid:sim*","DivPag| < Jun 2014| personalizado| no exercício| consolid:sim*","Qtd Ações|Outstanding|da empresa|30Jun14","Dividendos| < Jun 2014| personalizado| no exercício| consolid:sim*","Div Yld (fim)|30Jun14|1 tri","Divid por Ação|30Jun14|1 tri","Patrim Liq| < Jun 2014| personalizado| consolid:sim*","Valor Mercado|da empresa|30Jun14|personalizado","DesFin| < Jun 2014| personalizado| no exercício| consolid:sim*","LucOpe| < Jun 2014| personalizado| no exercício| consolid:sim*","LucOp(Ant)| < Jun 2014| personalizado| no exercício| consolid:sim*","EBIT| < Jun 2014| personalizado| no exercício| consolid:sim*","EBIT/FinL| < Jun 2014| de 12 meses| consolid:sim*","EBIT/FinB| < Jun 2014| de 12 meses| consolid:sim*","Fechamento|30Jun14|ajus p/prov ed"
"CAML3<XBSP>","Camil","CAML3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"QVQP3B<XBSP>","524 Particip","QVQP3B",480303.12866,0,-188354.1681,32289.28596,0,0,"-",0,0,400925.30067,"-",0,176262000,"-","-","-",448013.8427,"-",0,-188354.1681,-219298.06715,-219298.06715,-1.1578947368,"-","-"
"EALT4<XBSP>","Aco Altona","EALT4",360201784.14,235948575.61,6843983.2367,66693520.151,193805675.88,128410454.1,"-",6620649.0088,13287041.172,11243398.448,"-",-3577383.807,2250000,"-",4.1314693051,0.14347872835,99702588.111,78138578.538,5849742.3065,"-","-",13928790.731,-3.6755671552,1.6762497711,"-"
"AESL3<XBSP>","AES Sul","AESL3",4324653406.6,275804.31758,55657311.287,1370389585.4,1710672916.3,1609499820.3,"-",83827022.514,160453534.26,17931316.803,"-",0,278483,"-","-",0,1243590904.9,"-",-42666255.236,73911520.95,-6055586.5045,-6055586.5045,-0.54204556108,0.23050550151,"-"
"TIET11<XBSP>","AES Tiete E","TIET11",22246295533,4240936705.8,111807034.18,4235251100.7,9598477281.8,7131861056.4,"-",509861279.18,926609675.37,385402226.45,"-",-434745636.94,650000000,"-","-","-",5316798224,"-",234644895.69,"-","-",174122665.32,-17.928307963,2.112391911,"-"
"AFLT3<XBSP>","Afluente T","AFLT3",116630246.27,0,9018128.4914,12338543.397,3738830.2368,25734560.91,"-",0,0,38330073.209,"-",-12724669.442,63085000,"-",5.0587400585,0.20499559568,100552872.64,255639685.06,335001.34184,10446929.395,8720797.9831,8720797.9831,6.7620253164,37.708235294,"-"
"ALEF3B<XBSP>","Alef S/A","ALEF3B",77869.649254,0,-66776.93414,49.779315856,0,0,"-",0,0,75379.338075,"-",0,36474000,"-","-","-",77819.869938,"-",0,-66776.93414,-69400.438624,-69400.438624,-25.435565155,"-","-"
"BRGE3<XBSP>","Alfa Consorc","BRGE3",3602479309.2,1537777.2439,20992072.035,1732275794,124105215.97,15523074.225,"-",425142.26515,797814.44061,4836665.9595,"-",-1438218.6122,73646388,"-",0,0,1187415619.6,363556998.35,71740066.469,"-","-",7296033.2401,0.15268080622,0.10623930579,"-"
"RPAD3<XBSP>","Alfa Holding","RPAD3",1020653566.1,8072.3214901,16307434.797,4745179.6493,262350.44843,173554.91204,"-",9417.7084051,18835.41681,60542.411176,"-",-2330210.1368,84682269,"-",0,0,1015646036,400227632.05,0,"-","-",15889019.466,91.108938548,"-","-"
"ALSO3<XBSP>","Alianscsonae","ALSO3",6171997452.7,5092289.4733,76719343.442,216211749.56,1847539127.2,203757502.89,"-",1716713.7036,3315033.3586,493843102.57,"-",-46781793.809,76423831,"-",2.6490604572,0.62156356657,3077754195.3,1793174211.6,71071409.173,"-","-",232938945.08,-9.2631192819,4.5072182267,23.463547798
