"Ativo","Nome","Código","Ativo Tot| < Mar 2005| personalizado| consolid:sim*","Imobil| < Mar 2005| personalizado| consolid:sim*","Lucro Liquido| < Mar 2005| personalizado| no exercício| consolid:sim*","PasCir| < Mar 2005| personalizado| consolid:sim*","PasNoCir| < Mar 2005| personalizado| consolid:sim*","Receita| < Mar 2005| personalizado| no exercício| consolid:sim*","DeprecAmorExaus| < Mar 2005| personalizado| no exercício| consolid:sim*","DeprAmor| < Mar 2005| personalizado| no exercício| consolid:sim*","Depr e Amor| < Mar 2005| personalizado| de 12 meses| consolid:sim*","CaixaEEqCx| < Mar 2005| personalizado| consolid:sim*","DpInCP| < Mar 2005| personalizado| consolid:sim*","DivPag| < Mar 2005| personalizado| no exercício| consolid:sim*","Qtd Ações|Outstanding|da empresa|31Mar05","Dividendos| < Mar 2005| personalizado| no exercício| consolid:sim*","Div Yld (fim)|31Mar05|1 tri","Divid por Ação|31Mar05|1 tri","Patrim Liq| < Mar 2005| personalizado| consolid:sim*","Valor Mercado|da empresa|31Mar05|personalizado","DesFin| < Mar 2005| personalizado| no exercício| consolid:sim*","LucOpe| < Mar 2005| personalizado| no exercício| consolid:sim*","LucOp(Ant)| < Mar 2005| personalizado| no exercício| consolid:sim*","EBIT| < Mar 2005| personalizado| no exercício| consolid:sim*","EBIT/FinL| < Mar 2005| de 12 meses| consolid:sim*","EBIT/FinB| < Mar 2005| de 12 meses| consolid:sim*","Fechamento|31Mar05|ajus p/prov ed"
"CAML3<XBSP>","Camil","CAML3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"QVQP3B<XBSP>","524 Particip","QVQP3B",1077410.767,0,279167.16231,141764.57461,0,0,"-","-","-","-",10904.967277,"-",53532000,"-","-","-",935646.19243,"-",0,348958.95289,-80696.757856,-80696.757856,-0.52216748768,"-","-"
"EALT4<XBSP>","Aco Altona","EALT4",164474275.84,88515233.358,4961736.1205,122432200.63,219840602.75,82847540.19,"-","-","-","-",11885046.849,"-",2250000,"-",0,0,-177798527.55,58886823.3,7894511.4772,8844955.7102,16556767.547,13693448.107,-1.280116725,1.2316000421,2.6171921467
"AESL3<XBSP>","AES Sul","AESL3",4991295124.8,2946216819.4,-101069417.72,2427162186.9,4660658697.9,757557171.82,"-","-","-","-",42823806.5,"-",134000,"-","-",0,-2096525760,"-",409250335.98,-100855680.36,64389469.788,64633741.055,-1.095369125,0.15342257283,"-"
"TIET11<XBSP>","AES Tiete E","TIET11","-","-","-","-","-","-","-","-","-","-","-","-",41224100,"-","-","-","-","-","-","-","-","-","-","-","-"
"AFLT3<XBSP>","Afluente T","AFLT3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"ALEF3B<XBSP>","Alef S/A","ALEF3B",4361.9869111,0,-43619.869111,82877.751311,569239.2919,0,"-","-","-","-",4361.9869111,"-",1000,"-","-","-",-647755.0563,"-",0,-43619.869111,-43619.869111,-43619.869111,"-","-","-"
"BRGE3<XBSP>","Alfa Consorc","BRGE3",872770332.1,54524.836389,15908166.264,10074008.771,0,233366.29974,"-","-","-","-",7777422.6625,"-",73646000,"-",1.5574205948,0.11961054488,862696323.33,524955587.6,43619.869111,17563540.298,-3005408.9818,17249477.24,27.207608697,1137.7727297,"-"
"RPAD3<XBSP>","Alfa Holding","RPAD3",779665902.48,32714.901833,14414185.747,9092561.7162,0,65429.803667,"-","-","-","-",11234297.289,"-",84682000,"-",1.4055085977,0.071117397236,770573340.76,417769228.23,41438.875656,15980139.048,-2918169.2435,15441433.665,19.281327812,-611.42106061,5.0599048169
"ALSO3<XBSP>","Alianscsonae","ALSO3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
