"Ativo","Nome","Código","Ativo Tot| < Jun 2011| personalizado| consolid:sim*","Imobil| < Jun 2011| personalizado| consolid:sim*","Lucro Liquido| < Jun 2011| personalizado| no exercício| consolid:sim*","PasCir| < Jun 2011| personalizado| consolid:sim*","PasNoCir| < Jun 2011| personalizado| consolid:sim*","Receita| < Jun 2011| personalizado| no exercício| consolid:sim*","DeprecAmorExaus| < Jun 2011| personalizado| no exercício| consolid:sim*","DeprAmor| < Jun 2011| personalizado| no exercício| consolid:sim*","Depr e Amor| < Jun 2011| personalizado| de 12 meses| consolid:sim*","CaixaEEqCx| < Jun 2011| personalizado| consolid:sim*","DpInCP| < Jun 2011| personalizado| consolid:sim*","DivPag| < Jun 2011| personalizado| no exercício| consolid:sim*","Qtd Ações|Outstanding|da empresa|30Jun11","Dividendos| < Jun 2011| personalizado| no exercício| consolid:sim*","Div Yld (fim)|30Jun11|1 tri","Divid por Ação|30Jun11|1 tri","Patrim Liq| < Jun 2011| personalizado| consolid:sim*","Valor Mercado|da empresa|30Jun11|personalizado","DesFin| < Jun 2011| personalizado| no exercício| consolid:sim*","LucOpe| < Jun 2011| personalizado| no exercício| consolid:sim*","LucOp(Ant)| < Jun 2011| personalizado| no exercício| consolid:sim*","EBIT| < Jun 2011| personalizado| no exercício| consolid:sim*","EBIT/FinL| < Jun 2011| de 12 meses| consolid:sim*","EBIT/FinB| < Jun 2011| de 12 meses| consolid:sim*","Fechamento|30Jun11|ajus p/prov ed"
"CAML3<XBSP>","Camil","CAML3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"QVQP3B<XBSP>","524 Particip","QVQP3B",142780.8739,0,-52941.222908,30481.310159,0,0,"-",0,0,96256.768923,"-",0,176261901,"-","-","-",112299.56374,"-",3208.5589641,-52941.222908,-121925.24063,-121925.24063,-0.70312500001,-45,"-"
"EALT4<XBSP>","Aco Altona","EALT4",390946866.98,254318404.89,7897867.8902,74098460.717,235458495.3,143258949.19,"-","-","-",221390.56852,"-","-",2250000,"-",0,0,81389910.963,97099015.651,8209098.1097,"-","-",14420868.264,-2.6397192982,1.7701647059,4.3155118067
"AESL3<XBSP>","AES Sul","AESL3",4081697697.9,15271136.389,164976080.54,1069640510.4,1827890373.4,1609562374.4,"-",90847138.51,188172357.57,24991465.771,"-",0,278483,"-","-",0,1184166814.1,"-",127264282.75,"-","-",331022215.49,-2.6437169746,1.7053595439,"-"
"TIET11<XBSP>","AES Tiete E","TIET11",28503369921,5480412828.5,458979546.98,4573675669.5,12398491089,7985509678.3,"-",700346603.61,"-",589178056.9,"-",-1844196270,650000000,"-","-","-",6622765702.2,"-",430587008.7,2056418381.3,2309114859.7,2190760745.1,-22.704361088,5.2155825763,"-"
"AFLT3<XBSP>","Afluente T","AFLT3",130151985.82,0,16238516.917,2584494.2456,6856690.5063,24776492.321,"-",0,"-",46798436.771,"-",-25227294.855,63085000,"-",6.7868650574,0.40285704929,120710801.06,374462093.16,346524.36812,18176486.532,15267927.83,15267927.83,6.4835489834,34.120622568,5.9358340836
"ALEF3B<XBSP>","Alef S/A","ALEF3B",125494.76248,0,-90224.678071,16278.623904,0,0,"-",0,0,6.4171179282,"-",0,21394000,"-","-","-",109216.13857,"-",0,"-","-",-98903.830069,-8.7593123209,"-","-"
"BRGE3<XBSP>","Alfa Consorc","BRGE3",7856437372.5,4923533.7304,38751370.889,4141967269.5,2163569812.2,12765251.838,"-",579144.89302,651337.46972,5367919.147,"-",-3166847.6976,73646388,"-",0,0,1152859300,597647309.26,259673489.8,"-","-",-58365291.837,-0.60177042019,-0.29492277107,"-"
"RPAD3<XBSP>","Alfa Holding","RPAD3",1004208367.4,0,31962060.121,6519791.8151,3208.5589641,88235.371513,"-",0,1604.2794821,54545.50239,"-",-3173264.8155,84682269,"-",0,0,997685367.1,595865893.34,0,"-","-",31556177.412,64.834532374,4506,"-"
"ALSO3<XBSP>","Alianscsonae","ALSO3",4819263585.5,8948670.9509,195272898.56,109365336.57,1054112689.3,165094797.22,"-",1222460.9653,2305349.6157,734785671.25,"-",-4714977.3978,76423831,"-",0.16046774269,0.062556731034,2964995648.9,2979305971.5,18150818.06,"-","-",357650046.33,417.61979167,79.784079602,38.983991414
