"Ativo","Nome","Código","Ativo Tot| < Jun 2000| personalizado| consolid:sim*","Imobil| < Jun 2000| personalizado| consolid:sim*","Lucro Liquido| < Jun 2000| personalizado| no exercício| consolid:sim*","PasCir| < Jun 2000| personalizado| consolid:sim*","PasNoCir| < Jun 2000| personalizado| consolid:sim*","Receita| < Jun 2000| personalizado| no exercício| consolid:sim*","DeprecAmorExaus| < Jun 2000| personalizado| no exercício| consolid:sim*","DeprAmor| < Jun 2000| personalizado| no exercício| consolid:sim*","Depr e Amor| < Jun 2000| personalizado| de 12 meses| consolid:sim*","CaixaEEqCx| < Jun 2000| personalizado| consolid:sim*","DpInCP| < Jun 2000| personalizado| consolid:sim*","DivPag| < Jun 2000| personalizado| no exercício| consolid:sim*","Qtd Ações|Outstanding|da empresa|30Jun00","Dividendos| < Jun 2000| personalizado| no exercício| consolid:sim*","Div Yld (fim)|30Jun00|1 tri","Divid por Ação|30Jun00|1 tri","Patrim Liq| < Jun 2000| personalizado| consolid:sim*","Valor Mercado|da empresa|30Jun00|personalizado","DesFin| < Jun 2000| personalizado| no exercício| consolid:sim*","LucOpe| < Jun 2000| personalizado| no exercício| consolid:sim*","LucOp(Ant)| < Jun 2000| personalizado| no exercício| consolid:sim*","EBIT| < Jun 2000| personalizado| no exercício| consolid:sim*","EBIT/FinL| < Jun 2000| de 12 meses| consolid:sim*","EBIT/FinB| < Jun 2000| de 12 meses| consolid:sim*","Fechamento|30Jun00|ajus p/prov ed"
"CAML3<XBSP>","Camil","CAML3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"QVQP3B<XBSP>","524 Particip","QVQP3B",155169011,0,286965.20114,821314.19637,0,0,"-","-","-","-",13305949.671,"-",49123000,"-","-","-",154347696.81,"-",0,343038.86114,-728957.57991,-728957.57991,-0.54080455753,"-","-"
"EALT4<XBSP>","Aco Altona","EALT4",109838404.57,81656442.752,-22775801.309,253383675.71,12689139.411,63778840.566,"-","-","-","-",422201.67524,"-",2250000,"-",0,0,-156234410.54,14877167.213,17930377.395,-22178781.753,-5115896.8617,-5712916.4181,0.31515451886,-0.30360640677,"-"
"AESL3<XBSP>","AES Sul","AESL3",6761134328.9,2717187729.9,-203039424.39,1027088036.2,5105170300.4,1277272214.9,"-","-","-","-",15539000.719,"-",537163000,"-",0,0,628875992.18,1154322502.5,641040677.94,-301257387.54,106978647.91,105253558.25,-0.24203112992,0.1354628308,"-"
"TIET11<XBSP>","AES Tiete E","TIET11","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AFLT3<XBSP>","Afluente T","AFLT3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"ALEF3B<XBSP>","Alef S/A","ALEF3B",61532.595716,0,0,188526.2418,141833.37528,0,"-","-","-","-",1579.9578316,"-",1000,"-","-","-",-268827.02136,"-",0,0,0,0,"-","-","-"
"BRGE3<XBSP>","Alfa Consorc","BRGE3",965449890.16,267174.49761,19035358.342,21443227.272,0,1431527.5551,"-","-","-","-",25411263.329,"-",75606000,"-",0,0,944006662.89,548715233.03,29686.055291,18230536.399,-7484184.3838,17923780.494,6.1313263525,-104.87313432,7.2565912932
"RPAD3<XBSP>","Alfa Holding","RPAD3",869009791.87,131938.02351,16330628.86,20268978.862,49476.758818,752046.73403,"-","-","-","-",32031253.658,"-",84682000,"-",0,0,848691336.25,520079758.85,19790.703527,15552194.521,-6738734.551,14711089.621,4.7721518987,-100.140625,6.1351180934
"ALSO3<XBSP>","Alianscsonae","ALSO3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"APTI4<XBSP>","Aliperti","APTI4",332803768.96,143696999.86,-6154908.7969,28462330.122,59546928.462,24510786.318,"-","-","-","-",28877934.897,"-",185955000,"-","-",276.73201299,244794510.38,"-",4264896.6101,8691417.299,8292304.7778,-3690966.2078,-0.80695847362,0.28262578616,"-"
"FRRN3B<XBSP>","All Norte","FRRN3B",5141235559.1,2945028204.3,0,456244983.76,3077071778.2,0,"-","-","-","-",206515991.3,"-",349155000,"-","-","-",1607918797.2,"-",0,0,0,0,"-","-","-"
"AALR3<XBSP>","Alliar","AALR3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"ALPA4<XBSP>","Alpargatas","ALPA4",1792041607.5,372437951.22,100510386.31,388336483.06,158935841.57,924344598.93,"-","-","-","-",235050887.34,"-",1863583000,"-",4.7478454122,0.056476753626,1244769282.8,738470805.2,26674569.904,100985363.19,48282719.705,66846399.613,-20.930489335,1.1862049349,1.1895238518
"ALTR3<XBSP>","Altere Sec","ALTR3","-","-","-","-","-","-","-","-","-","-","-","-",5639998.028,"-","-","-","-","-","-","-","-","-","-","-","-"
"ALUP11<XBSP>","Alupar","ALUP11","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"ABEV3<XBSP>","Ambev S/A","ABEV3",17826298086,5895139320.9,830114462.54,5567959410.1,5784258605.9,5574411179.5,"-","-","-","-",33149428.408,"-",7058550000,"-",0,0,6223625418,32453067852,609461312.02,743833592.06,767394424.61,767638509.96,-0.71696655449,8.5187678497,2.5541793996
"AMBP3<XBSP>","Ambipar","AMBP3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
