"Ativo","Nome","Código","Ativo Tot| < Set 2019| personalizado| consolid:sim*","Imobil| < Set 2019| personalizado| consolid:sim*","Lucro Liquido| < Set 2019| personalizado| no exercício| consolid:sim*","PasCir| < Set 2019| personalizado| consolid:sim*","PasNoCir| < Set 2019| personalizado| consolid:sim*","Receita| < Set 2019| personalizado| no exercício| consolid:sim*","DeprecAmorExaus| < Set 2019| personalizado| no exercício| consolid:sim*","DeprAmor| < Set 2019| personalizado| no exercício| consolid:sim*","Depr e Amor| < Set 2019| personalizado| de 12 meses| consolid:sim*","CaixaEEqCx| < Set 2019| personalizado| consolid:sim*","DpInCP| < Set 2019| personalizado| consolid:sim*","DivPag| < Set 2019| personalizado| no exercício| consolid:sim*","Qtd Ações|Outstanding|da empresa|30Set19","Dividendos| < Set 2019| personalizado| no exercício| consolid:sim*","Div Yld (fim)|30Set19|1 tri","Divid por Ação|30Set19|1 tri","Patrim Liq| < Set 2019| personalizado| consolid:sim*","Valor Mercado|da empresa|30Set19|personalizado","DesFin| < Set 2019| personalizado| no exercício| consolid:sim*","LucOpe| < Set 2019| personalizado| no exercício| consolid:sim*","LucOp(Ant)| < Set 2019| personalizado| no exercício| consolid:sim*","EBIT| < Set 2019| personalizado| no exercício| consolid:sim*","EBIT/FinL| < Set 2019| de 12 meses| consolid:sim*","EBIT/FinB| < Set 2019| de 12 meses| consolid:sim*","Fechamento|30Set19|ajus p/prov ed"
"CAML3<XBSP>","Camil","CAML3",5488470835.6,1115357189.2,91551155.312,1672838749.6,1515918059.3,2505625465.2,"-",68693150.724,120720364.12,539336084.54,"-",-26474880.58,400665030,"-",1.1134671272,0.076222131157,2299714026.7,2742743069.9,101603463.81,"-","-",106118449.21,-11.930081664,1.5198455114,6.8454765566
"QVQP3B<XBSP>","524 Particip","QVQP3B",72325.719572,0,-124277.99701,0,0,0,"-",0,0,59082.982185,"-",0,206262000,"-","-","-",72325.719572,"-",0,-124277.99701,-127334.01333,-127334.01333,-28.4,"-","-"
"EALT4<XBSP>","Aco Altona","EALT4",377567760.31,196398963.49,15424733.038,113103164,95848895.858,236636511.7,"-",7789785.5995,10805055.035,9085536.5191,"-",-608147.24767,22500000,"-",0,0,168615700.45,199802347,9809812.387,"-","-",24796516.42,-2.8240914016,2.131504609,4.757198738
"AESL3<XBSP>","AES Sul","AESL3",10038687635,0,416512613.62,1746121138.1,4418246799.9,5994376011.5,"-",0,0,135078977.36,"-",-295014572.79,1125427,"-","-",0,3874319697.9,"-",232995777.59,"-","-",747549469.44,-7.3641213795,2.9120867116,"-"
"TIET11<XBSP>","AES Tiete E","TIET11",8011768512.9,5660412510.8,198193863.74,1588546824.6,4865335875.5,1550127606.1,"-",235063681.97,311424361.75,159325410.84,"-",-186020732.07,1995532000,"-",0.73392018967,0.018242026228,1557885812.9,5042592390.8,328042978.5,"-","-",527681319.29,-2.250555044,1.7688482941,12.427799701
"AFLT3<XBSP>","Afluente T","AFLT3",231910891.8,0,21486850.745,3399308.8199,7615592.6693,28573752.591,"-","-","-",53458893.484,"-","-",63084700,"-",0,0,220895990.31,1124595924.3,184379.6513,"-","-",21353404.699,14.58965999,131.61344538,17.826761866
"ALEF3B<XBSP>","Alef S/A","ALEF3B",99258.391399,0,-122516.71293,27.504146879,0,0,"-",0,0,95954.837757,"-",0,98674000,"-","-","-",99230.887252,"-",0,-122516.71293,-127413.46975,-127413.46975,-28.603653846,"-","-"
"BRGE3<XBSP>","Alfa Consorc","BRGE3",3312627973,1947701.0679,37856911.499,1442869582.6,94954501.749,21417581.042,"-",1030896.1719,1369095.3113,5825785.7779,"-",-2935813.0113,73646388,"-",0,0,1203173998.6,458554580.52,62019813.869,"-","-",6157872.8847,0.17816702511,0.15259823123,6.6926757406
"RPAD3<XBSP>","Alfa Holding","RPAD3",1011540383.2,6112.0326399,31259990.937,3194555.7264,360609.92575,233275.91242,"-",0,0,51952.277439,"-",-4692003.7232,84682269,"-",0,0,1007985217.5,513854316,0,"-","-",30888175.618,72.641952984,"-",6.0101654292
"ALSO3<XBSP>","Alianscsonae","ALSO3",10367797164,9864820.6807,-80061515.55,243654143.84,3555698417.7,470298500.85,"-",73872063.83,74341671.671,10002341.415,"-",-67500269.802,238080470,"-",0,0,5303351638.6,9577349130.7,141828698.74,"-","-",83847919.77,-3.0270535035,2.2209672451,40.227361491
"APTI4<XBSP>","Aliperti","APTI4",426127859.63,317002610.21,-7203030.4661,63654782.6,137309869.27,39085430.06,"-",4026810.8376,4695059.7395,63157.670612,"-",-916804.89598,18215,"-","-",0,225409726.41,"-",7443437.0832,"-","-",720201.1794,-0.52724573125,0.37148237263,"-"
