"Ativo","Nome","Código","Ativo Tot| < Dez 2019| personalizado| consolid:sim*","Imobil| < Dez 2019| personalizado| consolid:sim*","Lucro Liquido| < Dez 2019| personalizado| no exercício| consolid:sim*","PasCir| < Dez 2019| personalizado| consolid:sim*","PasNoCir| < Dez 2019| personalizado| consolid:sim*","Receita| < Dez 2019| personalizado| no exercício| consolid:sim*","DeprecAmorExaus| < Dez 2019| personalizado| no exercício| consolid:sim*","DeprAmor| < Dez 2019| personalizado| no exercício| consolid:sim*","Depr e Amor| < Dez 2019| personalizado| de 12 meses| consolid:sim*","CaixaEEqCx| < Dez 2019| personalizado| consolid:sim*","DpInCP| < Dez 2019| personalizado| consolid:sim*","DivPag| < Dez 2019| personalizado| no exercício| consolid:sim*","Qtd Ações|Outstanding|da empresa|30Dez19","Dividendos| < Dez 2019| personalizado| no exercício| consolid:sim*","Div Yld (fim)|30Dez19|1 tri","Divid por Ação|30Dez19|1 tri","Patrim Liq| < Dez 2019| personalizado| consolid:sim*","Valor Mercado|da empresa|30Dez19|personalizado","DesFin| < Dez 2019| personalizado| no exercício| consolid:sim*","LucOpe| < Dez 2019| personalizado| no exercício| consolid:sim*","LucOp(Ant)| < Dez 2019| personalizado| no exercício| consolid:sim*","EBIT| < Dez 2019| personalizado| no exercício| consolid:sim*","EBIT/FinL| < Dez 2019| de 12 meses| consolid:sim*","EBIT/FinB| < Dez 2019| de 12 meses| consolid:sim*","Fechamento|30Dez19|ajus p/prov ed"
"CAML3<XBSP>","Camil","CAML3",5239581916.3,1108590296.4,157953619.36,1552665701.6,1537193830.5,3952957271.5,"-",104756342.89,132379115.52,306144802.92,"-",-56699481.967,370000000,"-",0.4551249357,0.041046922233,2149722384.1,3336965311,144915775.98,"-","-",203706051.35,-4.4472397355,1.5194153589,9.0188251648
"QVQP3B<XBSP>","524 Particip","QVQP3B",55053.871705,0,-138135.16901,0,0,0,"-",0,0,41040.158908,"-",0,206262000,"-","-","-",55053.871705,"-",0,"-","-",-142139.08695,-35.5,"-","-"
"EALT4<XBSP>","Aco Altona","EALT4",368838918.88,190566474.46,16867505.311,118674125.84,87227354.33,299487056.2,"-",10180962.347,10180962.347,4989882.7355,"-",-6578437.1791,22500000,"-",0,0,162937438.7,221799286.58,12693420.856,"-","-",27100518.592,-3.5520860667,2.1350051258,6.5564156304
"AESL3<XBSP>","AES Sul","AESL3",9837451212.6,0,624607195.07,1598719390.2,4284242247.1,7987958433.8,"-",0,0,74395798.305,"-",-445732161,1125427,"-","-",0,3954489575.2,"-",289365151.64,"-","-",993469136.47,-9.1169359654,3.4332715285,"-"
"TIET11<XBSP>","AES Tiete E","TIET11",7806550921.6,5541010028.5,300412962.22,1905788866.1,4448170655.5,2051730674.1,"-",313487756.26,313487756.26,31869184.861,"-",-330690589.7,1995532000,"-",2.3875857144,0.076812167647,1452591400,6979291916.3,440235782.64,368359449.7,723778236.62,723778236.62,-2.0364096195,1.6440695308,16.085740333
"AFLT3<XBSP>","Afluente T","AFLT3",225876025.81,93091.092156,25281738.867,4170080.5368,7149996.4653,38658828.712,"-",0,0,51796684.459,"-",-6664521.4148,63084700,"-",0.96450001417,0.10697127586,214555948.81,699663115.32,192188.06123,27380792.848,24985448.939,24985448.939,10.430839949,130.00520833,11.090852699
"ALEF3B<XBSP>","Alef S/A","ALEF3B",81413.665478,0,-136496.56559,14.013712797,0,0,"-",0,0,77754.084479,"-",0,98674000,"-","-","-",81399.651765,"-",0,-136496.56559,-142282.22701,-142282.22701,-24.592214533,"-","-"
"BRGE3<XBSP>","Alfa Consorc","BRGE3",3325059661,2330280.2424,50219140.79,811199780.97,752042894.35,28790171.964,"-",1365336.0183,1365336.0183,5874748.6007,"-",-4218127.5521,73646388,"-",0,0,1192465860.2,952243980.93,86018171.111,"-","-",13300014.424,0.16576839584,0.15461866083,15.014692283
"RPAD3<XBSP>","Alfa Holding","RPAD3",1004082521.9,6005.8769133,40920041.369,8953761.4983,353345.7584,280274.25595,"-",0,0,133130.27158,"-",-5525406.7603,84682269,"-",0,0,994775414.7,615638886.5,0,"-","-",40496627.047,95.643026005,"-",6.1159846567
"ALSO3<XBSP>","Alianscsonae","ALSO3",10917229805,10391168.039,22048575.128,239744596.58,3154040313.9,743913939.95,"-",119040484.34,119040484.34,32714011.547,"-",-85652813.599,265772778,"-",0,0,6449942443.5,13338899563,208089621.33,"-","-",254296836.35,-1.6984315875,1.2220543952,50.189111406
