"Ativo","Nome","Código","Ativo Tot| < Set 2017| personalizado| consolid:sim*","Imobil| < Set 2017| personalizado| consolid:sim*","Lucro Liquido| < Set 2017| personalizado| no exercício| consolid:sim*","PasCir| < Set 2017| personalizado| consolid:sim*","PasNoCir| < Set 2017| personalizado| consolid:sim*","Receita| < Set 2017| personalizado| no exercício| consolid:sim*","DeprecAmorExaus| < Set 2017| personalizado| no exercício| consolid:sim*","DeprAmor| < Set 2017| personalizado| no exercício| consolid:sim*","Depr e Amor| < Set 2017| personalizado| de 12 meses| consolid:sim*","CaixaEEqCx| < Set 2017| personalizado| consolid:sim*","DpInCP| < Set 2017| personalizado| consolid:sim*","DivPag| < Set 2017| personalizado| no exercício| consolid:sim*","Qtd Ações|Outstanding|da empresa|30Set17","Dividendos| < Set 2017| personalizado| no exercício| consolid:sim*","Div Yld (fim)|30Set17|1 tri","Divid por Ação|30Set17|1 tri","Patrim Liq| < Set 2017| personalizado| consolid:sim*","Valor Mercado|da empresa|30Set17|personalizado","DesFin| < Set 2017| personalizado| no exercício| consolid:sim*","LucOpe| < Set 2017| personalizado| no exercício| consolid:sim*","LucOp(Ant)| < Set 2017| personalizado| no exercício| consolid:sim*","EBIT| < Set 2017| personalizado| no exercício| consolid:sim*","EBIT/FinL| < Set 2017| de 12 meses| consolid:sim*","EBIT/FinB| < Set 2017| de 12 meses| consolid:sim*","Fechamento|30Set17|ajus p/prov ed"
"CAML3<XBSP>","Camil","CAML3",4151269200.1,877119937.63,111397100.51,1139074747.1,1502314711.4,2619826817.8,"-",48056706.528,"-",221866952.62,"-",-109733540.04,410051876,"-","-","-",1509879741.6,4043210818.8,117468657.28,"-","-",217058428.89,"-","-",9.8602422168
"QVQP3B<XBSP>","524 Particip","QVQP3B",26293.979245,0,-138043.39104,0,0,0,"-",0,0,17529.319497,"-",0,176262000,"-","-","-",26293.979245,"-",0,"-","-",-143521.30338,-19.375,"-","-"
"EALT4<XBSP>","Aco Altona","EALT4",279428308.6,174062855.85,5666352.5273,66664002.046,131203669.68,132848138.97,"-",7790686.9338,10516496.115,1210618.6277,"-",0,2250000,"-",0,0,81560636.87,57766478.819,6008174.2575,"-","-",10901045.562,-4.3443894034,2.6748441851,"-"
"AESL3<XBSP>","AES Sul","AESL3",4248574592.9,23754419.083,-109517710.3,1151233675.6,1649345722.8,2691070452.8,"-",119473268.19,4758114.6609,94679141.349,"-",0,526451,"-","-",0,1447995194.4,"-",170738858.64,"-","-",-53972774.73,0.46592725925,-0.33402915625,"-"
"TIET11<XBSP>","AES Tiete E","TIET11",7271237322.4,5061803547.6,279288074.04,2013062668.7,3545259949.3,1382603163.6,"-",157741963.82,205578381.14,260393658.79,"-",-361550979.28,1967081000,"-",1.8315476482,0.057228559798,1712914704.4,6219103496.2,200222078.46,422185991,546190588.28,546190588.28,-4.219718405,2.6654367698,15.585762185
"AFLT3<XBSP>","Afluente T","AFLT3",57518079.598,0,11312984.57,2549420.4043,8139082.1588,19571485.218,"-",0,0,15619719.253,"-",-15090552.921,63085000,"-",2.3170521184,0.13419024115,46829577.035,365351788.83,319910.08081,13465804.12,11229720.302,11229720.302,4.9990256577,29.262357414,"-"
"ALEF3B<XBSP>","Alef S/A","ALEF3B",50116.324441,0,-89898.019456,15.338154559,0,0,"-",0,0,45661.686124,"-",0,65674000,"-","-","-",50100.986286,"-",0,-89898.019456,-94915.787162,-94915.787162,-19.934623813,"-","-"
"BRGE3<XBSP>","Alfa Consorc","BRGE3",3522331599.4,1867968.1089,33339670.1,1477570443.2,297120869.88,20197062.807,"-",773481.22279,1022178.4431,2111187.4169,"-",-2921918.4436,73646388,"-",0,0,1178628715.2,317128860.18,116540393.92,"-","-",-19281155.864,-0.14875407904,-0.11148466031,"-"
"RPAD3<XBSP>","Alfa Holding","RPAD3",1010205917.9,6573.4948112,28916803.675,14283108.642,386740.61139,255270.71517,"-",0,0,7669.0772798,"-",-4416292.9307,84682269,"-",0.015510585772,0.00040678552493,995536068.68,283633226.05,0,"-","-",25076787.122,64.766726944,"-","-"
"ALSO3<XBSP>","Alianscsonae","ALSO3",5760004012.3,3820296.0678,102137866.79,292737444.43,1541649966.2,284951139.82,"-",1915078.155,2614059.7699,476577278.23,"-",-38096689.178,76423831,"-",0,0,2815561488.7,2394638229.5,65990218.827,"-","-",292653084.58,-8.184625541,5.4090044234,31.3336586
"APTI4<XBSP>","Aliperti","APTI4",468703327.03,348657069.2,-20837978.552,34515230.089,162821084.14,31377481.899,"-",2243752.8956,3004087.1287,47110.046147,"-",-5477912.3427,18215,"-","-",0,271385637.7,"-",6319319.6785,"-","-",-14134109.426,2.799639396,-1.7018769694,"-"
"FRRN3B<XBSP>","All Norte","FRRN3B",13283741321,4859735412.7,409571454.46,1460744487.6,8292074772.6,2686167721.3,"-",295864236.79,407523810.82,178959013.91,"-",-310572431.43,1189412363,"-","-","-",3530922061.5,"-",881491411.61,"-","-",1099670086.7,-1.6127513639,"-","-"
"AALR3<XBSP>","Alliar","AALR3",2528866181.6,589142898.96,21833863.015,561653639.24,570641797.81,900958816.5,"-",66014321.642,83420935.902,55662162.896,"-",0,118018378,"-",0,0,1347988235.6,2203252675,"-","-","-",103094310.28,-1.7120042275,"-",18.668725264
"ALPA4<XBSP>","Alpargatas","ALPA4",3988426344.6,790805668.36,345265145.88,1361695067.8,154242673.42,2868469357.3,"-",78865503.998,106549777.39,370866717.01,"-",-122208937.61,463054000,"-",0.54340560932,0.074775414755,2384762028.3,7554538350.7,107315589.54,"-","-",391723320.46,-6.4749072394,3.4627183454,13.760515804
"ALTR3<XBSP>","Altere Sec","ALTR3",24102.814308,0,1095.5824685,4382.3298742,0,79977.520203,"-","-","-",21911.649371,"-","-",36218984,"-","-","-",19720.484434,"-",-48205.628616,1095.5824685,-41632.133804,-41632.133804,13.103448275,-8.5393258427,"-"
"ALUP11<XBSP>","Alupar","ALUP11",12018280026,4292122900.4,260782590.57,1756321681.8,4055962430.3,1251134363,"-",79000260.641,105583473.65,1291205291.8,"-",-362912788.29,879111269,"-",0,0,4319586961.8,6440172100,355123196.93,"-","-",887661732.08,-3.7894139787,2.5890028991,20.575038759
"ABEV3<XBSP>","Ambev S/A","ABEV3",90955719969,20247191183,4615147722.2,25726188153,11612078584,36014053736,"-",2867835015,3872303367.6,9137911548.3,"-",-4234198359.7,15707817000,"-",0,0,51674362130,3.6208175577E11,2935079675.8,"-","-",11124859913,-5.2072813947,4.2259594408,23.051055138
"AMBP3<XBSP>","Ambipar","AMBP3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"CBEE3<XBSP>","Ampla Energ","CBEE3",9466956595.8,68129891.388,-277981044.16,3052471337.3,4199293102.3,4214764917.9,"-",254846724.75,332085288.79,122712905.55,"-",0,98063000,"-","-",0,2215192156.2,"-",772050392.08,"-","-",134083955.99,-0.34953950183,0.2346016204,"-"
"ANIM3<XBSP>","Anima","ANIM3",1495811891.3,259252061.86,81447791.876,239114160.51,483398374.68,842935673.38,"-",41398774.739,55883470.555,41136930.529,"-",-5424228.8017,79756582,"-",0,0,773299356.1,2018475990.1,70487584.861,"-","-",95849223.425,-1.4534065833,0.95297593031,25.307955023
"ARZZ3<XBSP>","Arezzo Co","ARZZ3",999889913.41,75544793.536,108600707.77,276590750.01,32820364.01,1092156582.2,"-",24793031.263,31950471.53,5390265.7452,"-",-23598846.372,89766000,"-",2.4651325549,1.3503780049,690478799.39,4917302793.5,16867587.686,"-","-",141497762.56,15.832735426,6.9688536239,54.779123427
"ARTR3<XBSP>","Arteris","ARTR3",13314654276,65120326.347,221670296.44,3116630837.8,4242867703.8,3659542347.8,"-",617326757.96,802184387.88,316148946.2,"-",0,621564000,"-","-",0,5955155735.1,"-",359455130.02,"-","-",644549791.14,-1.9643596763,1.9440042789,"-"
"ATMP3<XBSP>","Atmasa","ATMP3",2067319199.2,124449403.76,-313399034.2,2041803083.6,325106428.46,1432747973.2,"-",91519481.509,146992108.64,187229565.96,"-",0,4117513,"-",0,0,-299590312.77,23502701.046,197525850,"-","-",-131172993.37,0.60277870961,-0.46625668704,171.23953983
"ATOM3<XBSP>","Atompar","ATOM3",3663627.7748,0,2456295.8945,506159.10046,9610449.414,0,"-","-","-",3395210.07,"-","-",20898000,"-",0,0,-6452980.7397,66396899.04,3734840.6352,"-","-",-1047376.8399,"-","-",3.1771891588
"AURA32<XBSP>","Aura 360","AURA32","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AZUL4<XBSP>","Azul S.A.","AZUL4",9871020557.2,3565470159.1,246924567.92,4170692922,2942126462.2,6130044660.1,"-",270118048.78,"-",532304080.49,"-",0,329957427,"-",0,0,2758201173,10555670713,555526046.5,240905437.84,612895126.88,612895126.88,"-","-",31.991008081
"BTOW3<XBSP>","B2W Digital","BTOW3",12804480962,530100864.15,-412563490.18,3137575087.9,5356731061.4,5493974677.3,"-",284249967.04,365305540.4,1558182305.6,"-",0,453527272,"-",0,0,4310351201.6,10503969806,1192401282.4,"-","-",138999834.53,-0.2952381887,0.19395471354,22.892275348
"BAHI3<XBSP>","Bahema","BAHI3",105673311.42,6000505.1802,-3284556.2407,23266884.884,12385559.806,28752466.304,"-",429468.32767,"-",40731565.015,"-",0,1171970,"-",0,0,65646205.932,88929954.306,3022712.0307,"-","-",-562033.80636,"-","-","-"
"EBEN4<XBSP>","Bandeirante Energ","EBEN4",4070577500.4,226785.57099,127713143.94,1633054411.5,1296894651.5,3072112939.8,"-",74704481.782,97355649.319,406297854.04,"-",0,39091735000,"-","-",0,1140628437.3,"-",150602052.87,"-","-",267242144.8,-3.7655501139,1.5947470288,"-"
"BTTL3<XBSP>","Battistella","BTTL3",305562332.81,13243400.879,11449932.378,60124470.291,87077990.182,170319250.56,"-",1508617.0592,-12851182.355,4545571.662,"-",0,15359000,"-",0,0,158359872.33,221835137.78,13736412.99,"-","-",1481227.4975,-0.73991795519,0.61604750144,15.272419611
"BALM4<XBSP>","Baumer","BALM4",193457952.29,29975136.339,3359055.8485,48104835.029,32755724.644,89728204.173,"-",2612964.1875,4035030.2316,6224004.0038,"-",-1658711.8574,9785000,"-",0,0,100108848.06,89120643.217,3732649.4703,"-","-",6285356.622,-3.6936592819,0.89869888476,"-"
"BBML3<XBSP>","Bbmlogistica","BBML3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BMKS3<XBSP>","Bic Monark","BMKS3",222993760.06,473291.62641,7486115.0075,4310021.4312,18158183.834,12066745.308,"-",163241.78781,230072.31839,172730627.57,"-",0,454750,"-",0,0,200183733.07,169393483.37,179675.52484,"-","-",-2423428.4204,-0.27961953499,-21.575107296,372.4980393
"BIOM3<XBSP>","Biomm","BIOM3",293011340.05,168521399.73,-33559882.176,37349501.935,182508701.1,50396.793553,"-",335248.23537,459049.05432,19595588.032,"-",0,35309000,"-",0,0,73153137.007,468849127.14,14526327.95,"-","-",-28744797.227,5.7738766307,-1.7062491076,12.807219953
"GBIO33<XBSP>","Biotoscana","GBIO33",1198233702.3,34596413.845,-8347105.88,398399922.73,175003875.74,627876813.96,"-","-","-",252636116.51,"-","-",105746080,"-","-","-",624829903.8,2803655943,"-","-","-",80677790.223,"-","-",26.513095739
"BKBR3<XBSP>","Bk Brasil","BKBR3",1618503980.8,764789967.06,-19723771.181,342109868.37,536980026.47,1381862549.9,"-",91246681.475,"-",227590824.1,"-",0,1568936,"-","-","-",739414085.93,"-",76297458.691,-15765431.722,38014520.493,38014520.493,"-","-","-"
"BOBR4<XBSP>","Bombril","BOBR4",741218510.25,334400254.54,105405989.29,515431014.9,419971818.83,886160784.09,"-",20136805.772,19064230.535,28878458.288,"-",0,54065000,"-",0,0,-194184323.47,269508631.03,77230894.955,"-","-",151327328.47,-1.4946004538,1.0390886361,4.9849002318
"BBRK3<XBSP>","BR Brokers","BBRK3",479724886.66,18482476.244,-40010671.751,44259340.564,76123261.079,72243803.558,"-",8072251.6282,10803538.722,8982680.6595,"-",0,247929000,"-",0,0,354068151.02,336817065.64,2527508.7549,"-","-",-43406977.403,144.68764302,-11.881706285,13.585222609
"BRML3<XBSP>","BR Malls Par","BRML3",20959005356,11772033.624,-157557905.97,1132083989.6,7552077836.8,1003653239.1,"-",13732030.66,17763774.145,24776597.526,"-",0,869362000,"-",0,0,11877010145,13401080767,931277965.73,"-","-",66433929.727,1.3501978364,-0.3671423292,15.414845332
"BRPR3<XBSP>","BR Propert","BRPR3",10511846463,11584689.022,204825715.99,661691274.45,3439742210.6,356002949.66,"-",479865.12122,598188.02782,154210901.52,"-",-7505835.492,406020000,"-",0,0,6410412978.5,4968733159.6,341341865.06,"-","-",314761938.79,-1.0576346,0.42424527505,12.237656173
"BRAP4<XBSP>","Bradespar","BRAP4",12349481180,4382.3298742,1088293558.4,2537740399.6,43584461.763,0,"-",0,0,525800702.96,"-",-210308010.66,348034000,"-",0,0,9768156319.2,8746290544.3,145981981.6,"-","-",1214113535.8,-10.042886066,6.484822292,26.403537492
"AGRO3<XBSP>","Brasilagro","AGRO3",970039673.47,61187185.285,22058457.422,160357119.17,60226359.46,108395833.85,"-",8866548.9179,19106958.251,29593873.64,"-",0,53802168,"-",0,0,749456194.83,781017434.4,12301199.956,"-","-",24654987.872,1.0306799337,0.390599018,14.516467708
"BRKM5<XBSP>","Braskem","BRKM5",58270051250,32651751677,4050116402.2,22765428024,27832872726,40133602677,"-",2376472851.4,3161285683.6,5973592196.8,"-",-46014.463679,796022846,"-",0,0,8469354258.6,37191601491,2551567745.9,"-","-",7834879443.8,-1.6631765285,1.5346956301,46.48556414
"BFRE3<XBSP>","Brazilian Fr","BFRE3",183666731.77,0,7169491.6741,7192498.906,3456562.6882,0,"-",0,0,9860.2422168,"-",0,717,"-","-","-",173017670.18,"-",0,"-","-",-689121.37271,-0.1365129328,"-","-"
"BRFS3<XBSP>","BRF SA","BRFS3",52900889710,13499798949,-349212529.52,15589862440,23570697572,26916643681,"-",1554266693.9,2007504778.8,9244661817.3,"-",0,811139545,"-",0,0,13223557690,40585571004,2929497683.1,"-","-",806414431.79,-0.43674853186,0.23881405513,50.035251338
"BRQB3<XBSP>","Brq","BRQB3",153273082.93,8740556.934,1955614.7063,58436177.707,16581640.661,255674985.1,"-","-","-",4012022.9998,"-","-",129957439,"-","-","-",77789642.014,"-",2293054.1066,"-","-",473291.62641,0.48268072289,0.21662723893,"-"
"CABI3B<XBSP>","Cabinda Part","CABI3B",93124.509826,0,-83264.267609,17529.319497,0,0,"-",0,0,92028.927357,"-",0,7104000,"-","-","-",75595.190329,"-",0,"-","-",-84359.850077,-104,"-","-"
"CACO3B<XBSP>","Caconde Part","CACO3B",79977.520203,0,-82168.68514,17529.319497,0,0,"-",0,0,"-","-",0,1839753,"-","-","-",62448.200707,"-",0,-82168.68514,-83264.267609,-83264.267609,-105,"-","-"
"CAIA3B<XBSP>","Caianda Part","CAIA3B",78881.937735,0,-84359.850077,17529.319497,0,0,"-",0,0,78881.937735,"-",0,2060123,"-","-","-",61352.618238,"-",0,-84359.850077,-85455.432546,-85455.432546,-106,"-","-"
"CAMB3<XBSP>","Cambuci","CAMB3",253033535.77,65344920.753,-6371907.637,260862568.09,39554909.444,221019520.46,"-",5107605.4683,6621700.4398,2681985.883,"-",0,3855000,"-","-","-",-47150582.698,33841823.751,33265170.492,"-","-",25034059.406,-0.3615012041,0.33455201082,"-"
"CRFB3<XBSP>","Carrefour BR","CRFB3",30973211968,10532929852,1097773633.5,12968409680,4268389297.4,40057781797,"-",553269146.61,"-",846885248.18,"-",-122705236.47,1980958942,"-","-","-",12651786346,33661413299,1071917887.2,"-","-",2415649784.9,"-","-",16.992484087
"CASN4<XBSP>","Casan","CASN4",3534845342.4,1053929518.6,79855910.549,466584470.54,1515038268,825969483.27,"-",0,-18187764.56,5945726.0568,"-",0,715094432,"-","-",0,1553222603.8,"-",84472695.072,"-","-",176985869.88,-2.3415296298,1.7924616399,"-"
"CCRO3<XBSP>","CCR SA","CCRO3",31638730112,1168712598.3,1608766443.8,5805269097.5,15616978106,7852884246.1,"-",918225196.2,1199019696.1,3966257233.3,"-",-441390456.09,2020000000,"-",0,0,9820286324.2,39193586346,"-","-","-",3262624870.8,-2.9356703117,"-",19.402765518
"CEAB3<XBSP>","Cea Modas","CEAB3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"CEBR3<XBSP>","Ceb","CEBR3",3789470759.5,119649656.97,181860116.28,1711648211.1,1211912510.6,2060767616.1,"-","-","-",92222845.454,"-",-35250365.925,14416383,"-",0,0,636634207.81,429567028.28,51422258.743,"-","-",246131366.22,20.145998139,3.6612437764,"-"
