"Ativo","Nome","Código","Ativo Tot| < Mar 2018| personalizado| consolid:sim*","Imobil| < Mar 2018| personalizado| consolid:sim*","Lucro Liquido| < Mar 2018| personalizado| no exercício| consolid:sim*","PasCir| < Mar 2018| personalizado| consolid:sim*","PasNoCir| < Mar 2018| personalizado| consolid:sim*","Receita| < Mar 2018| personalizado| no exercício| consolid:sim*","DeprecAmorExaus| < Mar 2018| personalizado| no exercício| consolid:sim*","DeprAmor| < Mar 2018| personalizado| no exercício| consolid:sim*","Depr e Amor| < Mar 2018| personalizado| de 12 meses| consolid:sim*","CaixaEEqCx| < Mar 2018| personalizado| consolid:sim*","DpInCP| < Mar 2018| personalizado| consolid:sim*","DivPag| < Mar 2018| personalizado| no exercício| consolid:sim*","Qtd Ações|Outstanding|da empresa|31Mar18","Dividendos| < Mar 2018| personalizado| no exercício| consolid:sim*","Div Yld (fim)|31Mar18|1 tri","Divid por Ação|31Mar18|1 tri","Patrim Liq| < Mar 2018| personalizado| consolid:sim*","Valor Mercado|da empresa|31Mar18|personalizado","DesFin| < Mar 2018| personalizado| no exercício| consolid:sim*","LucOpe| < Mar 2018| personalizado| no exercício| consolid:sim*","LucOp(Ant)| < Mar 2018| personalizado| no exercício| consolid:sim*","EBIT| < Mar 2018| personalizado| no exercício| consolid:sim*","EBIT/FinL| < Mar 2018| de 12 meses| consolid:sim*","EBIT/FinB| < Mar 2018| de 12 meses| consolid:sim*","Fechamento|31Mar18|ajus p/prov ed"
"CAML3<XBSP>","Camil","CAML3",4070851133.5,886103321.53,269868609.39,710332636.45,1399906066.3,5020170879.4,"-",97124276.859,97124276.859,297646240.85,"-",-177640757.78,407349976,"-",0,0,1960612430.8,3264314179,194970959.47,"-","-",430185625.15,-5.3704017311,2.2064087202,"-"
"QVQP3B<XBSP>","524 Particip","QVQP3B",177481.02485,0,-53782.128742,16134.638623,0,0,"-",0,0,168875.88425,"-",0,196262000,"-","-","-",161346.38623,"-",0,-53782.128742,-74219.337664,-74219.337664,-8.6363636364,"-","-"
"EALT4<XBSP>","Aco Altona","EALT4",279570261.63,166713842.67,3931473.611,106187434.98,64042683.263,62275402.513,"-",2304026.3953,10083073.496,361415.90515,"-",0,2250000,"-",0,0,109340143.37,140347154.06,2044796.5348,"-","-",6572176.1323,-9.3641900122,6.200714368,"-"
"AESL3<XBSP>","AES Sul","AESL3",4508093326.1,18753828.292,59934804.27,690024711.76,2041213569.4,961124288.11,"-",0,0,61852674.981,"-",0,526451,"-","-",0,1776855045,"-",51558775.54,"-","-",117446185.81,-0.62997340724,0.34147203552,"-"
"TIET11<XBSP>","AES Tiete E","TIET11",7884187936,5047438799.1,58900036.113,1304427447.9,4845636420,462645703.51,"-",72051917.876,253001890.03,20498520.549,"-",-11477106.273,1967385000,"-",0,0,1734124068.1,5170606596.7,130679816.41,"-","-",207557066.88,-2.2468259421,1.6460647876,"-"
"AFLT3<XBSP>","Afluente T","AFLT3",62951981.693,0,3160237.8849,8680435.579,7995251.2588,6231197.4361,"-",0,0,27095436.46,"-",0,63085000,"-",1.1493811873,0.081966111005,46276294.855,449879654.38,50555.201017,3764749.0119,3453888.3078,3453888.3078,7.6617429838,35.52739726,"-"
"ALEF3B<XBSP>","Alef S/A","ALEF3B",105079.52313,0,-76175.931508,18136.409454,0,0,"-",0,0,101266.3702,"-",0,78674000,"-","-","-",86943.113682,"-",79.597550538,-76175.931508,-76967.604443,-76967.604443,-32.618753987,-2073.0540541,"-"
"BRGE3<XBSP>","Alfa Consorc","BRGE3",3379631322.7,2103956.8764,15123534.602,1421347644.5,216639792.79,7471413.3248,"-",368945.40317,1116516.9927,1712422.9791,"-",-2923596.5184,73646388,"-",0.037440293039,0.001570622555,1188845350.7,318550440.22,25767017.88,"-","-",4037962.226,0.04525431588,0.045695197277,"-"
"RPAD3<XBSP>","Alfa Holding","RPAD3",1003265812.9,6453.855449,12227904.79,2322312.3191,448542.95371,84975.763412,"-",0,0,15058.996047,"-",-4685499.056,84682269,"-","-",0,1000494957.6,439834989.32,0,"-","-",11906287.66,135.5382263,"-","-"
"ALSO3<XBSP>","Alianscsonae","ALSO3",5561892827.2,4069155.8606,26752306.479,323692044.4,1320112468,95865568.84,"-",562561.06664,2370716.2349,316376599.25,"-",0,76423831,"-",0,0,2807413137,1982777999.7,"-","-","-",71375338.696,-6.2710531395,"-","-"
"APTI4<XBSP>","Aliperti","APTI4",454335288.97,341220715.8,-3900279.9764,38838226.45,157095446.77,5416936.0069,"-",752949.80239,2979529.9323,415198.03389,"-",0,18215,"-","-",0,258500574.87,"-",2237336.5557,"-","-",-2210445.4913,2.6305820758,-1.917714414,"-"
"FRRN3B<XBSP>","All Norte","FRRN3B",12644361326,5051936060.7,149691798.93,1440200431.9,7583216689.7,896816996.77,"-",114816239.72,452227029.53,26987872.203,"-",0,1189412363,"-","-","-",3620944204.8,"-",216637641.5,"-","-",357537138.02,-1.9970918336,1.0607823204,"-"
"AALR3<XBSP>","Alliar","AALR3",2446530750.6,568911660.4,7640289.2091,403743516.11,678996148.44,283046738.43,"-",21180477.941,83659176.901,73706256.156,"-",0,118191589,"-",0,0,1323283462.3,2046823672.4,"-","-","-",34458209.885,-0.90888714163,"-","-"
"ALPA4<XBSP>","Alpargatas","ALPA4",4058731808.4,763049010.52,122700699.79,1144099695.2,509154337.16,970319956.48,"-",26697448.708,115704720.49,748475129.28,"-",-5288934.5405,463053374,"-",1.7766448109,0.26448721618,2323460029.7,8512828910.1,37094609.836,"-","-",154898984.63,-3.9754608555,2.2611416408,"-"
"ALTR3<XBSP>","Altere Sec","ALTR3",24739.779221,0,8605.1405987,3226.9277245,0,36571.847545,"-","-","-",24739.779221,"-",0,36218984,"-","-","-",21512.851497,"-",-33344.91982,10756.425748,-21512.851497,-21512.851497,-0.6265060241,-10.4,"-"
"ALUP11<XBSP>","Alupar","ALUP11",12921635091,4389611296.5,63397297.719,1550667848.7,4940415589.8,393152739.32,"-",26388739.289,107633098.6,1307322002.1,"-",-124241019.96,879111269,"-",1.1799754048,0.075603906524,4497424027.4,6201391959.9,90504566.247,"-","-",251406712.09,-4.1005402197,2.731039217,"-"
