"Ativo","Nome","Código","Ativo Tot| < Dez 2014| personalizado| consolid:sim*","Imobil| < Dez 2014| personalizado| consolid:sim*","Lucro Liquido| < Dez 2014| personalizado| no exercício| consolid:sim*","PasCir| < Dez 2014| personalizado| consolid:sim*","PasNoCir| < Dez 2014| personalizado| consolid:sim*","Receita| < Dez 2014| personalizado| no exercício| consolid:sim*","DeprecAmorExaus| < Dez 2014| personalizado| no exercício| consolid:sim*","DeprAmor| < Dez 2014| personalizado| no exercício| consolid:sim*","Depr e Amor| < Dez 2014| personalizado| de 12 meses| consolid:sim*","CaixaEEqCx| < Dez 2014| personalizado| consolid:sim*","DpInCP| < Dez 2014| personalizado| consolid:sim*","DivPag| < Dez 2014| personalizado| no exercício| consolid:sim*","Qtd Ações|Outstanding|da empresa|30Dez14","Dividendos| < Dez 2014| personalizado| no exercício| consolid:sim*","Div Yld (fim)|30Dez14|1 tri","Divid por Ação|30Dez14|1 tri","Patrim Liq| < Dez 2014| personalizado| consolid:sim*","Valor Mercado|da empresa|30Dez14|personalizado","DesFin| < Dez 2014| personalizado| no exercício| consolid:sim*","LucOpe| < Dez 2014| personalizado| no exercício| consolid:sim*","LucOp(Ant)| < Dez 2014| personalizado| no exercício| consolid:sim*","EBIT| < Dez 2014| personalizado| no exercício| consolid:sim*","EBIT/FinL| < Dez 2014| de 12 meses| consolid:sim*","EBIT/FinB| < Dez 2014| de 12 meses| consolid:sim*","Fechamento|30Dez14|ajus p/prov ed"
"CAML3<XBSP>","Camil","CAML3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"QVQP3B<XBSP>","524 Particip","QVQP3B",422379.63211,0,-198072.43617,0,0,0,"-",0,0,355480.99472,"-",0,176262000,"-","-","-",422379.63211,"-",0,"-","-",-249230.2177,-4.8717948718,"-","-"
"EALT4<XBSP>","Aco Altona","EALT4",358107094.18,228517874.87,8880466.1781,69730679.699,191950554.98,224733510.78,"-",13189525.468,13189525.468,21017977.78,"-",-3636137.7025,2250000,"-",2.33646173,0.056699273758,96425859.491,60585786.822,10417823.1,"-","-",17482843.903,-3.1264367816,1.6781667086,2.4267152776
"AESL3<XBSP>","AES Sul","AESL3",4761472475.4,86574.707202,276543226.09,1874132532.8,1528506625.6,3491657633.5,"-",168229085.21,168229085.21,76921627.349,"-",0,278483,"-","-",0,1358833316.9,"-",106923698.6,408443727.72,358345830.49,358345830.49,7.1529116045,3.3514163385,"-"
"TIET11<XBSP>","AES Tiete E","TIET11",23183413215,4147176393.5,107490369.41,5966988544.5,9473399295.2,15433047353,"-",873625370.38,873625370.38,285478785.26,"-",-1027515847.6,650000000,"-","-","-",4830055384.3,"-",865673614.69,"-","-",792633420.05,-2.435175446,0.91562617434,"-"
"AFLT3<XBSP>","Afluente T","AFLT3",110067934.56,0,19652458.535,4021788.6709,5501429.1213,45442539.115,"-",0,0,38412935.238,"-",-20751694.969,63085000,"-",0,0,100544716.77,208491121.77,634881.18615,22742913.234,18853610.1,18853610.1,4.8475548061,29.696280992,"-"
"ALEF3B<XBSP>","Alef S/A","ALEF3B",25413.611778,0,-115615.27451,48.534305553,0,0,"-",0,0,23699.170228,"-",0,36474000,"-","-","-",25365.077472,"-",0,-115615.27451,-120939.619,-120939.619,-22.71446169,"-","-"
"BRGE3<XBSP>","Alfa Consorc","BRGE3",3753794041.3,1525551.2799,53891443.495,1526262241.9,460695498.73,32368446.59,"-",759496.295,759496.295,2825483.626,"-",-4676345.9269,73646388,"-",0,0,1195191379.4,289853983.9,156163719.2,"-","-",25538226.887,0.27816830976,0.16353495561,"-"
"RPAD3<XBSP>","Alfa Holding","RPAD3",1027919862.9,7870.4279274,43061734.667,7656614.6354,255788.90764,297764.52326,"-",18364.331831,18364.331831,40663.877625,"-",-7688096.3471,84682269,"-",0,0,1020007459.4,270900188.86,0,"-","-",42729864.956,128.75494071,"-","-"
"ALSO3<XBSP>","Alianscsonae","ALSO3",6220698347.4,4403504.4254,205903511.96,246117463.46,1817096853.4,418082378.46,"-",3264915.8519,3264915.8519,414425252.95,"-",-45611753.316,76423831,"-",0,0,3086267631.9,1654092698,135595667.55,"-","-",554015162.67,-7.6661644855,4.0857880837,21.643676801
"APTI4<XBSP>","Aliperti","APTI4",570174462.94,411278393.52,9822294.0535,39567264.667,178051379.26,89779283.106,"-",4109675.1161,4109675.1161,1469146.5465,"-",-7512323.4567,182155,"-","-",0,352410216.09,"-",4236913.7009,"-","-",13407273.974,14.601428571,3.1643962848,"-"
"FRRN3B<XBSP>","All Norte","FRRN3B",7667351210.9,4211292834.6,181754415.6,3830370681.6,1322241074,2667377222.8,"-",244501402.26,244501402.26,873728997.68,"-",-67406279.985,765326706,"-","-","-",2514739455.3,"-",531293237.24,"-","-",557348288.9,-1.4538881627,1.0490408118,"-"
"AALR3<XBSP>","Alliar","AALR3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"ALPA4<XBSP>","Alpargatas","ALPA4",4783339147.6,915717730.67,367484709.05,1305996510.7,721507051.13,4868072174.7,"-",101954835.11,101954835.11,415309364.35,"-",-152559063.21,462201000,"-",0.44259588579,0.033673050528,2620493083.6,4221267683.7,219075984.84,"-","-",426339769.09,-14.347091021,1.9460817187,7.6080803299
"ALTR3<XBSP>","Altere Sec","ALTR3",1442911.7867,0,49846.043541,19676.069819,0,31481.71171,"-","-","-",9182.1659154,"-","-",36147533,"-","-","-",1423235.7169,"-",6558.6899395,69522.113359,-158720.29654,-158720.29654,-0.69540229885,-24.2,"-"
"ALUP11<XBSP>","Alupar","ALUP11",11711421063,3752516408.5,475878865.94,1434504857.9,5189590961.2,1933643461.9,"-",50566187.696,50566187.696,442963424.61,"-",-1344461915.5,624901800,"-",2.7678751754,0.20045704074,3218099923.1,4819879687.1,412121841.04,"-","-",1377756449.1,-4.3290043112,3.3430803998,21.567153995
"ABEV3<XBSP>","Ambev S/A","ABEV3",94632979945,20646832011,15826790434,28628396939,8754212708.5,49950701868,"-",3138343630,3138343630,12752804604,"-",-15819028880,15710945854,"-",1.3687015776,0.29354427903,55383668760,3.3695133762E11,3474304651.7,"-","-",20783151757,-10.738740711,5.9819600873,21.446916102
"AMBP3<XBSP>","Ambipar","AMBP3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"CBEE3<XBSP>","Ampla Energ","CBEE3",8178425318.8,80921116.474,255565912.18,1413890895.5,3362972201.7,6019636460.4,"-",280318408.02,280318408.02,150553415.82,"-",-211513815.34,3.922515918E12,"-",0,0,3401562221.6,5608391320.2,764785222.57,390611961.52,988760548.79,988760548.79,-1.653034998,1.2928604262,43.463082099
