"Ativo","Nome","Código","Ativo Tot| < Set 2002| personalizado| consolid:sim*","Imobil| < Set 2002| personalizado| consolid:sim*","Lucro Liquido| < Set 2002| personalizado| no exercício| consolid:sim*","PasCir| < Set 2002| personalizado| consolid:sim*","PasNoCir| < Set 2002| personalizado| consolid:sim*","Receita| < Set 2002| personalizado| no exercício| consolid:sim*","DeprecAmorExaus| < Set 2002| personalizado| no exercício| consolid:sim*","DeprAmor| < Set 2002| personalizado| no exercício| consolid:sim*","Depr e Amor| < Set 2002| personalizado| de 12 meses| consolid:sim*","CaixaEEqCx| < Set 2002| personalizado| consolid:sim*","DpInCP| < Set 2002| personalizado| consolid:sim*","DivPag| < Set 2002| personalizado| no exercício| consolid:sim*","Qtd Ações|Outstanding|da empresa|30Set02","Dividendos| < Set 2002| personalizado| no exercício| consolid:sim*","Div Yld (fim)|30Set02|1 tri","Divid por Ação|30Set02|1 tri","Patrim Liq| < Set 2002| personalizado| consolid:sim*","Valor Mercado|da empresa|30Set02|personalizado","DesFin| < Set 2002| personalizado| no exercício| consolid:sim*","LucOpe| < Set 2002| personalizado| no exercício| consolid:sim*","LucOp(Ant)| < Set 2002| personalizado| no exercício| consolid:sim*","EBIT| < Set 2002| personalizado| no exercício| consolid:sim*","EBIT/FinL| < Set 2002| de 12 meses| consolid:sim*","EBIT/FinB| < Set 2002| de 12 meses| consolid:sim*","Fechamento|30Set02|ajus p/prov ed"
"CAML3<XBSP>","Camil","CAML3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"QVQP3B<XBSP>","524 Particip","QVQP3B",2209104.1566,0,-623223.3389,2782.2470487,0,0,"-","-","-","-",1421728.2419,"-",53532000,"-","-","-",2206321.9096,"-",0,-623223.3389,-840238.6087,-840238.6087,-3.4594594598,"-","-"
"EALT4<XBSP>","Aco Altona","EALT4",114888198.22,76033731.457,-9334564.0494,285716825.97,4545245.7135,102940597.82,"-","-","-","-",5748264.2971,"-",2250000,"-","-",0,-175373873.46,"-",17814346.685,-8650259.2588,8824586.5121,8140281.7215,-0.25906454872,0.23145867359,"-"
"AESL3<XBSP>","AES Sul","AESL3",8813952763.9,4119450625.2,-3094621053.8,3369807544.9,7258134125.5,2299031945.8,"-","-","-","-",75454539.96,"-",537215000,"-","-",0,-1813988906.5,"-",5134904024,-3053911215,614548292.6,617953762.99,-0.40374411699,0.25024601336,"-"
"TIET11<XBSP>","AES Tiete E","TIET11","-","-","-","-","-","-","-","-","-","-","-","-",41224100,"-","-","-","-","-","-","-","-","-","-","-","-"
"AFLT3<XBSP>","Afluente T","AFLT3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"ALEF3B<XBSP>","Alef S/A","ALEF3B",255966.72848,0,0,0,484110.98647,0,"-","-","-",0,0,"-",1000,"-","-","-",-228144.25799,"-",0,0,0,0,"-",0,"-"
"BRGE3<XBSP>","Alfa Consorc","BRGE3",959541362.14,125201.11719,92915922.437,9921492.9756,0,3043778.2712,"-","-","-","-",18727304.885,"-",73699000,"-",1.1183279657,0.07991361652,949619869.17,517971586.54,172499.31702,98697431.804,-10057823.08,98032474.76,109.38977635,552.24193548,"-"
"RPAD3<XBSP>","Alfa Holding","RPAD3",859733813.77,80685.164411,76392157.215,9351132.3306,0,1271486.9012,"-","-","-","-",13580147.844,"-",84682000,"-",1.2135048138,0.07991361652,850382681.44,560525624.6,102943.1408,82376770.617,-9626574.7884,81394637.409,64.10022779,760.54054054,"-"
"ALSO3<XBSP>","Alianscsonae","ALSO3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"APTI4<XBSP>","Aliperti","APTI4",306764995.09,68204004.151,22950755.904,22886764.222,46627678.289,65048935.998,"-","-","-","-",102303223.97,"-",182155000,"-","-",0,237250552.58,"-",5689695.2145,31166731.439,29216376.258,18390652.992,3.009487666,2.6767932489,"-"
"FRRN3B<XBSP>","All Norte","FRRN3B",4767505519,2997921275.4,-458672901.7,543311639.17,3681908889.8,532266118.39,"-","-","-","-",35904898.163,"-",365754665,"-","-","-",542284990.01,"-",340229862.59,-458700724.17,-139126263.67,-139098441.2,0.50218247782,-0.47112866127,"-"
"AALR3<XBSP>","Alliar","AALR3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"ALPA4<XBSP>","Alpargatas","ALPA4",2033986745.2,353189569.35,63696763.932,345958509.27,461073980.9,1293986933.1,"-","-","-","-",288666478.04,"-",1863583000,"-",0,0,1226954255,587483335.14,166851355.51,51321329.06,73648861.625,139924768.57,-3.0034094987,0.78792015818,0.84449875793
"ALTR3<XBSP>","Altere Sec","ALTR3",336651.89289,0,"-",8346.741146,119636.62309,"-","-","-","-","-",16693.482292,"-",6511842,"-","-","-",208668.52865,"-","-","-","-","-","-","-","-"
"ALUP11<XBSP>","Alupar","ALUP11","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"ABEV3<XBSP>","Ambev S/A","ABEV3",35855379730,8730646722.8,3001763558.6,8666566008.7,15661955852,13604712303,"-","-","-","-",1622854098.8,"-",38498493000,"-",0,0,11303877461,43377449914,8351732497.2,1167934448.3,3429948597.1,3303375832.1,-1.8941673065,0.61872884968,3.5522117459
"AMBP3<XBSP>","Ambipar","AMBP3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
