"Ativo","Nome","Código","Ativo Tot| < Mar 2006| personalizado| consolid:sim*","Imobil| < Mar 2006| personalizado| consolid:sim*","Lucro Liquido| < Mar 2006| personalizado| no exercício| consolid:sim*","PasCir| < Mar 2006| personalizado| consolid:sim*","PasNoCir| < Mar 2006| personalizado| consolid:sim*","Receita| < Mar 2006| personalizado| no exercício| consolid:sim*","DeprecAmorExaus| < Mar 2006| personalizado| no exercício| consolid:sim*","DeprAmor| < Mar 2006| personalizado| no exercício| consolid:sim*","Depr e Amor| < Mar 2006| personalizado| de 12 meses| consolid:sim*","CaixaEEqCx| < Mar 2006| personalizado| consolid:sim*","DpInCP| < Mar 2006| personalizado| consolid:sim*","DivPag| < Mar 2006| personalizado| no exercício| consolid:sim*","Qtd Ações|Outstanding|da empresa|31Mar06","Dividendos| < Mar 2006| personalizado| no exercício| consolid:sim*","Div Yld (fim)|31Mar06|1 tri","Divid por Ação|31Mar06|1 tri","Patrim Liq| < Mar 2006| personalizado| consolid:sim*","Valor Mercado|da empresa|31Mar06|personalizado","DesFin| < Mar 2006| personalizado| no exercício| consolid:sim*","LucOpe| < Mar 2006| personalizado| no exercício| consolid:sim*","LucOp(Ant)| < Mar 2006| personalizado| no exercício| consolid:sim*","EBIT| < Mar 2006| personalizado| no exercício| consolid:sim*","EBIT/FinL| < Mar 2006| de 12 meses| consolid:sim*","EBIT/FinB| < Mar 2006| de 12 meses| consolid:sim*","Fechamento|31Mar06|ajus p/prov ed"
"CAML3<XBSP>","Camil","CAML3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"QVQP3B<XBSP>","524 Particip","QVQP3B",1085088.595,0,-105609.76783,51769.494038,0,0,"-","-","-","-",53840.2738,"-",70140000,"-","-","-",1033319.101,"-",0,-105609.76783,-120105.22616,-120105.22616,-2.8378378378,"-","-"
"EALT4<XBSP>","Aco Altona","EALT4",167787367.49,90929989.401,4859256.5852,112138354.53,213009646.09,73770189.21,"-","-","-","-",5561928.0693,"-",2250000,"-",0,0,-157360633.14,93117856.424,6642937.2282,7437220.009,13959977.463,13199781.787,-1.4848432334,1.464849696,"-"
"AESL3<XBSP>","AES Sul","AESL3",4567966208.4,2765986084.6,301161783.84,2508488762.8,3676126922.3,772846068.7,"-","-","-","-",101056123.14,"-",133487,"-","-",0,-1616649476.7,"-",230109188.66,318987056.03,114099964.86,107964244.42,0.18203869262,0.059839409509,"-"
"TIET11<XBSP>","AES Tiete E","TIET11",318053134.35,0,6640990.6952,32171634.375,382077503.02,0,"-","-","-","-",34561314.22,"-",93253283,"-","-","-",-96196003.042,"-",19102943.3,6640990.6952,-484562.4642,24308883.621,"-","-","-"
"AFLT3<XBSP>","Afluente T","AFLT3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"ALEF3B<XBSP>","Alef S/A","ALEF3B",186.37017854,0,-25269.72543,107972.52754,577267.13256,0,"-","-","-","-",186.37017854,"-",1000,"-","-","-",-685053.28993,"-",0,-25269.72543,-25269.72543,-25269.72543,"-","-","-"
"BRGE3<XBSP>","Alfa Consorc","BRGE3",879161972.44,39344.815469,13079044.973,11364439.331,0,246422.79162,"-","-","-","-",62061269.453,"-",73646000,"-",0.80739516215,0.061456044408,867797533.11,533465991.59,254705.91067,14640412.914,-2952931.9399,14362928.426,53.655932203,304.39423077,"-"
"RPAD3<XBSP>","Alfa Holding","RPAD3",787244200.38,20707.797615,11894558.95,10430517.658,0,68335.732131,"-","-","-","-",59017223.204,"-",84682000,"-",0.59893684078,0.028399667141,776813682.72,390840075.51,273342.92852,13327538.545,-2756207.8626,13182583.961,66.136865342,262.80701754,"-"
"ALSO3<XBSP>","Alianscsonae","ALSO3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"APTI4<XBSP>","Aliperti","APTI4",308119603.84,50622282.05,2534634.4281,21182006.181,80603031.438,11621216.021,"-","-","-","-",74392762.933,"-",182155000,"-","-",0,206334566.22,"-",741339.15463,-51769.494038,967054.14864,1780870.5949,-5.9605654762,2.6291434198,"-"
"FRRN3B<XBSP>","All Norte","FRRN3B",4287462523.5,2726303732.1,-109834158.55,609908833.94,3333125033.4,205003054.83,"-","-","-","-",55033042.942,"-",707543040,"-","-","-",344428656.18,"-",109645717.59,-109834158.55,-15864243.753,-16315673.741,-0.21870319987,0.18960406786,"-"
"AALR3<XBSP>","Alliar","AALR3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
