"Ativo","Nome","Código","Ativo Tot| < Jun 2005| personalizado| consolid:sim*","Imobil| < Jun 2005| personalizado| consolid:sim*","Lucro Liquido| < Jun 2005| personalizado| no exercício| consolid:sim*","PasCir| < Jun 2005| personalizado| consolid:sim*","PasNoCir| < Jun 2005| personalizado| consolid:sim*","Receita| < Jun 2005| personalizado| no exercício| consolid:sim*","DeprecAmorExaus| < Jun 2005| personalizado| no exercício| consolid:sim*","DeprAmor| < Jun 2005| personalizado| no exercício| consolid:sim*","Depr e Amor| < Jun 2005| personalizado| de 12 meses| consolid:sim*","CaixaEEqCx| < Jun 2005| personalizado| consolid:sim*","DpInCP| < Jun 2005| personalizado| consolid:sim*","DivPag| < Jun 2005| personalizado| no exercício| consolid:sim*","Qtd Ações|Outstanding|da empresa|30Jun05","Dividendos| < Jun 2005| personalizado| no exercício| consolid:sim*","Div Yld (fim)|30Jun05|1 tri","Divid por Ação|30Jun05|1 tri","Patrim Liq| < Jun 2005| personalizado| consolid:sim*","Valor Mercado|da empresa|30Jun05|personalizado","DesFin| < Jun 2005| personalizado| no exercício| consolid:sim*","LucOpe| < Jun 2005| personalizado| no exercício| consolid:sim*","LucOp(Ant)| < Jun 2005| personalizado| no exercício| consolid:sim*","EBIT| < Jun 2005| personalizado| no exercício| consolid:sim*","EBIT/FinL| < Jun 2005| de 12 meses| consolid:sim*","EBIT/FinB| < Jun 2005| de 12 meses| consolid:sim*","Fechamento|30Jun05|ajus p/prov ed"
"CAML3<XBSP>","Camil","CAML3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"QVQP3B<XBSP>","524 Particip","QVQP3B",1073882.8611,0,269008.73274,159253.16978,0,0,"-","-","-","-",2152.0698619,"-",53532000,"-","-","-",914629.69132,"-",0,322810.47929,-122667.98213,-122667.98213,-0.45238095238,"-","-"
"EALT4<XBSP>","Aco Altona","EALT4",168673659.77,88911757.025,8290459.6184,122681258.24,218038501.1,172974100.08,"-","-","-","-",6159004.4337,"-",2250000,"-","-",0,-172046099.58,"-",16711864.08,13246837.915,29678558.453,27213110.634,-1.3748620996,1.3345084998,"-"
"AESL3<XBSP>","AES Sul","AESL3",4908613106.7,2910368894.3,401481545.16,2343412545.4,4132802681.8,1473750353.9,"-","-","-","-",83749950.747,"-",134000,"-","-",0,-1567602120.5,"-",625064387.26,404748387.21,138031608.87,135231765.98,0.35163864149,0.23146783073,"-"
"TIET11<XBSP>","AES Tiete E","TIET11",246239833.6,0,3045178.8546,378344642.08,0,0,"-","-","-","-",748920.31195,"-",43253283,"-","-","-",-132104808.47,"-",31019934.99,2896686.0342,-260400.45329,33871427.557,"-","-","-"
"AFLT3<XBSP>","Afluente T","AFLT3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"ALEF3B<XBSP>","Alef S/A","ALEF3B",0,0,-64562.095858,88234.864339,572450.58327,0,"-","-","-",0,0,"-",1000,"-","-","-",-660685.44761,"-",0,-64562.095858,-64562.095858,-64562.095858,"-","-","-"
"BRGE3<XBSP>","Alfa Consorc","BRGE3",865902525.51,51649.676686,24329149.789,12770382.56,0,462695.02032,"-","-","-","-",10919602.479,"-",73646000,"-",0,0,853132142.95,561297216.48,118363.8424,19979816.598,-6243154.6695,26502740.35,22.12911084,-478.10526316,"-"
"RPAD3<XBSP>","Alfa Holding","RPAD3",776946717.76,30128.978067,25127567.708,12413138.963,0,129124.19171,"-","-","-","-",8025068.5151,"-",84682000,"-",0,0,764533578.8,426972575.79,86082.794477,20857861.102,-3619781.5078,27029997.466,16.417789757,-351.40384615,"-"
"ALSO3<XBSP>","Alianscsonae","ALSO3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
