"Ativo","Nome","Código","Ativo Tot| < Mar 2016| personalizado| consolid:sim*","Imobil| < Mar 2016| personalizado| consolid:sim*","Lucro Liquido| < Mar 2016| personalizado| no exercício| consolid:sim*","PasCir| < Mar 2016| personalizado| consolid:sim*","PasNoCir| < Mar 2016| personalizado| consolid:sim*","Receita| < Mar 2016| personalizado| no exercício| consolid:sim*","DeprecAmorExaus| < Mar 2016| personalizado| no exercício| consolid:sim*","DeprAmor| < Mar 2016| personalizado| no exercício| consolid:sim*","Depr e Amor| < Mar 2016| personalizado| de 12 meses| consolid:sim*","CaixaEEqCx| < Mar 2016| personalizado| consolid:sim*","DpInCP| < Mar 2016| personalizado| consolid:sim*","DivPag| < Mar 2016| personalizado| no exercício| consolid:sim*","Qtd Ações|Outstanding|da empresa|31Mar16","Dividendos| < Mar 2016| personalizado| no exercício| consolid:sim*","Div Yld (fim)|31Mar16|1 tri","Divid por Ação|31Mar16|1 tri","Patrim Liq| < Mar 2016| personalizado| consolid:sim*","Valor Mercado|da empresa|31Mar16|personalizado","DesFin| < Mar 2016| personalizado| no exercício| consolid:sim*","LucOpe| < Mar 2016| personalizado| no exercício| consolid:sim*","LucOp(Ant)| < Mar 2016| personalizado| no exercício| consolid:sim*","EBIT| < Mar 2016| personalizado| no exercício| consolid:sim*","EBIT/FinL| < Mar 2016| de 12 meses| consolid:sim*","EBIT/FinB| < Mar 2016| de 12 meses| consolid:sim*","Fechamento|31Mar16|ajus p/prov ed"
"CAML3<XBSP>","Camil","CAML3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"QVQP3B<XBSP>","524 Particip","QVQP3B",254091.83003,0,-33493.923049,0,0,0,"-",0,0,197498.6497,"-",0,176262000,"-","-","-",254091.83003,"-",0,-33493.923049,-40423.700232,-40423.700232,-4,"-","-"
"EALT4<XBSP>","Aco Altona","EALT4",299568492.79,189920938.35,456210.33118,51351958.848,164840919.77,43730358.91,"-",2774220.7987,11335960.507,7935749.8369,"-",-127045.91501,2250000,"-",0,0,83375614.172,32977077.167,3295109.0503,"-","-",3528411.5488,-1.4284580499,1.0733515079,1.4656478741
"AESL3<XBSP>","AES Sul","AESL3",4710700833.9,23796854.845,-24902154.305,1381685538.8,1935080220.2,806182558.31,"-",39860078.354,155146161.49,23588961.529,"-",0,376859,"-","-",0,1393935074.9,"-",84018928.487,-37686438.244,2484325.1199,2484325.1199,-0.84270547106,0.36150225648,"-"
"TIET11<XBSP>","AES Tiete E","TIET11",5140924500.6,3622014359.1,86000844.761,748344328.02,1975276392.7,442526331.17,"-",49389676.943,"-",629454.76075,"-",0,1906268000,"-","-","-",2417303779.9,7047470068.3,54819157.365,130384912.65,157429523.07,157429523.07,"-","-",17.671319444
"AFLT3<XBSP>","Afluente T","AFLT3",106143397.1,0,3937268.4025,7295900.4104,4340350.442,7389452.4023,"-",0,0,53299226.237,"-",0,63085000,"-","-",0,94507146.253,"-",160539.83806,4776926.4045,3336687.7134,3336687.7134,2.1665947346,20.786749482,"-"
"ALEF3B<XBSP>","Alef S/A","ALEF3B",98291.959557,0,-35088.926764,191.72383538,0,0,"-",0,0,95926.595612,"-",0,54674000,"-","-","-",98100.235722,"-",0,-35088.926764,-35709.141822,-35709.141822,-20.2383805,"-","-"
"BRGE3<XBSP>","Alfa Consorc","BRGE3",3604698000.9,2212908.847,17181227.561,1429033241.4,448162549.95,8858565.165,"-",232147.53562,860447.3335,1434463.8768,"-",-3091835.5863,73646388,"-",0.208127439,0.0045868487989,1167511535.3,197820308.31,47712670.865,"-","-",1450633.3569,0.14935671204,0.10460136138,"-"
"RPAD3<XBSP>","Alfa Holding","RPAD3",995398969.32,6929.7771825,14358498.322,2313390.6161,279501.01303,65832.883234,"-",0,10394.665773,175554.35529,"-",0,84682269,"-",0,0,992806077.69,200873165.22,0,"-","-",14176014.189,70.127129751,"-","-"
"ALSO3<XBSP>","Alianscsonae","ALSO3",5580225020.5,3261615.1273,21619749.847,238705414.76,1498926974.1,96489062.527,"-",788839.63595,3120709.6579,287477186.57,"-",0,76423831,"-",0,0,2814944789.3,1400792318.1,"-","-","-",73138023.348,-5.081924016,"-",18.329260648
"APTI4<XBSP>","Aliperti","APTI4",487591827.16,360788454.34,-6725348.7557,20459012.169,152729979.18,5622359.2208,"-",932055.03105,3809067.5247,897406.14514,"-",0,182155,"-","-",0,314324298.33,"-",1610018.2321,"-","-",-5685882.1783,-0.37354085602,0.038748738647,"-"
"FRRN3B<XBSP>","All Norte","FRRN3B",7772099683.8,3990178406.3,72266026.385,1879851051,3465289363.4,780823038.71,"-",108405969.35,432281810.57,367278.19068,"-",0,765326706,"-","-","-",2426959269.5,"-",150657975.8,"-","-",182645827.27,-1.5899788041,"-","-"
"AALR3<XBSP>","Alliar","AALR3",2130421399.2,531892737.72,8699180.2898,344974702.81,721216560.27,226056261.47,"-",11674364.626,"-",29085429.798,"-",0,99785675,"-","-","-",1031903880.5,"-","-","-","-",26172613.456,"-","-","-"
"ALPA4<XBSP>","Alpargatas","ALPA4",4245054456.1,830748618.42,133779348.5,1366810772.1,579256609.8,1168323474.2,"-",31760323.79,120360989.95,394217699.47,"-",-3476438.2199,463054000,"-",0.62577062568,0.044809993701,2198742072.5,4747525600.5,58763355.545,"-","-",185880878.26,-5.5266012992,1.8984384463,7.1607697553
"ALTR3<XBSP>","Altere Sec","ALTR3",1313192.7761,0,255246.79289,145525.32083,0,379982.78218,"-","-","-",18479.40582,"-","-",36147533,"-","-","-",1167667.4553,"-",3464.8885913,376517.89359,319924.71326,319924.71326,9.2340425532,72.333333333,"-"
"ALUP11<XBSP>","Alupar","ALUP11",11643484384,4226378706.6,62611691.807,2129067782.8,4718577680.6,440733828.81,"-",22392420.003,88661879.199,708249792.2,"-",-46946930.486,624901800,"-",0,0,2960362698.6,3572604943.9,150604847.51,"-","-",337047037.72,-2.3743956901,1.9787194667,15.986067285
"ABEV3<XBSP>","Ambev S/A","ABEV3",92683477215,21590202432,3195626324,25298322737,10768752470,13357258705,"-",997697345.41,3773182828.5,6938233820.6,"-",-2425016621.9,15694525000,"-",0.69996828357,0.15214791366,54373182315,3.4114249041E11,1724887373.6,"-","-",5083778093.1,-6.3517372464,4.3855064764,21.736401096
"AMBP3<XBSP>","Ambipar","AMBP3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"CBEE3<XBSP>","Ampla Energ","CBEE3",9184719748,83607761.707,-18905587.117,1967058831.9,4338537150.3,1208788753.1,"-",77891850.495,286823477.59,523116174.92,"-",0,98062000,"-","-",0,2879123765.7,"-",258911490.06,-25563948.026,107643693.86,107643693.86,-0.65477175042,0.25063079922,"-"
"ANIM3<XBSP>","Anima","ANIM3",1545872749.6,243842689.57,60930065.878,299384853.69,453659018.22,271750057.25,"-",9834508.7849,33802298.134,28270026.016,"-",0,81872582,"-",0,0,792828877.68,940869928.11,50426833.595,"-","-",62326415.98,-4.2139276521,0.59990549024,11.491880494
"ARZZ3<XBSP>","Arezzo Co","ARZZ3",1048206181.3,83734807.622,16953699.877,265044342.86,48759067.219,297457220.67,"-",7243927.0815,28522962.883,3707430.7927,"-",0,88735000,"-",0,0,734402771.29,2393039453.9,9056063.8147,"-","-",23181259.638,7.4551986702,4.4699074074,26.968382869
"ARTR3<XBSP>","Arteris","ARTR3",11857322294,71123768.113,15594308.586,3597216151.5,5650453692.4,1013210806.6,"-",163398371.15,625937898.83,576045813.04,"-",0,344444000,"-",0,0,2609652450.2,3831006875.8,208910837.76,"-","-",216080847.22,-1.3433861598,1.0510264995,11.122292378
"ATMP3<XBSP>","Atmasa","ATMP3",3240348796,278118522.48,-85691314.714,1208539281.1,1950034679.3,598365470.38,"-",49612584.776,224843550.47,288041963.41,"-",0,338938020,"-",0,0,81774835.643,52256918.416,89954282.644,"-","-",-81905346.446,0.89327802484,-0.61959409412,485.08440278
"ATOM3<XBSP>","Atompar","ATOM3",677963.20103,0,-3464.8885913,179019.24388,9724787.3128,0,"-","-","-",0,"-","-",313485000,"-",0,0,-9225843.3557,79653977.336,0,"-","-",-125890.95215,-0.97727272728,"-",3.8113774504
"AURA32<XBSP>","Aura 360","AURA32","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AZUL4<XBSP>","Azul S.A.","AZUL4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BTOW3<XBSP>","B2W Digital","BTOW3",10296368039,651359786.42,-153196584.17,2849519757.6,4471994264.2,2001066713.5,"-",84977547.664,307474213.59,223793689.22,"-",0,257318364,"-",0,0,2974725816.8,4249862110.5,447432613.42,"-","-",48559258.644,-0.41297714936,0.27940529694,15.943069159
