"Ativo","Nome","Código","Ativo Tot| < Mar 2017| personalizado| consolid:sim*","Imobil| < Mar 2017| personalizado| consolid:sim*","Lucro Liquido| < Mar 2017| personalizado| no exercício| consolid:sim*","PasCir| < Mar 2017| personalizado| consolid:sim*","PasNoCir| < Mar 2017| personalizado| consolid:sim*","Receita| < Mar 2017| personalizado| no exercício| consolid:sim*","DeprecAmorExaus| < Mar 2017| personalizado| no exercício| consolid:sim*","DeprAmor| < Mar 2017| personalizado| no exercício| consolid:sim*","Depr e Amor| < Mar 2017| personalizado| de 12 meses| consolid:sim*","CaixaEEqCx| < Mar 2017| personalizado| consolid:sim*","DpInCP| < Mar 2017| personalizado| consolid:sim*","DivPag| < Mar 2017| personalizado| no exercício| consolid:sim*","Qtd Ações|Outstanding|da empresa|31Mar17","Dividendos| < Mar 2017| personalizado| no exercício| consolid:sim*","Div Yld (fim)|31Mar17|1 tri","Divid por Ação|31Mar17|1 tri","Patrim Liq| < Mar 2017| personalizado| consolid:sim*","Valor Mercado|da empresa|31Mar17|personalizado","DesFin| < Mar 2017| personalizado| no exercício| consolid:sim*","LucOpe| < Mar 2017| personalizado| no exercício| consolid:sim*","LucOp(Ant)| < Mar 2017| personalizado| no exercício| consolid:sim*","EBIT| < Mar 2017| personalizado| no exercício| consolid:sim*","EBIT/FinL| < Mar 2017| de 12 meses| consolid:sim*","EBIT/FinB| < Mar 2017| de 12 meses| consolid:sim*","Fechamento|31Mar17|ajus p/prov ed"
"PTNT4<XBSP>","Pettenati","PTNT4",464874023.34,231115099.23,16536882.232,169005739.76,93416429.291,375664355.26,"-",16192095.488,22143935.637,52700017.528,"-",0,48046488,"-",0,0,172181651.87,187404144.95,17567280.708,"-","-",40438199.569,-5.618105836,2.1212252076,2.6949234943
"PLAS3<XBSP>","Plascar Part","PLAS3",637703943.47,516408087.74,-50493367.783,841707443.04,51204650.869,89985041.743,"-",11682051.557,46316236.367,530148.88413,"-",0,4970000,"-",0,0,-254936449.13,23054849.599,35196363.522,"-","-",-15083840.23,0.71207462609,-0.70258120437,4.6388027361
"PPAR3<XBSP>","Polpar","PPAR3",20488045.418,0,-37552.212626,439581.78309,3584027.3521,0,"-",0,0,2191282.0544,"-",0,74000,"-","-",0,16464436.283,"-",4417.9073677,-37552.212626,-109343.20735,-109343.20735,4.7130434783,120.44444444,"-"
"FRTA3<XBSP>","Pomifrutas","FRTA3",115679590.99,40181971.986,-452835.50519,38282271.818,123886958.4,15901153.093,"-",1074655.9672,4374832.7709,104925.29998,"-",0,11942000,"-",0,0,-46489639.231,47482784.807,4713907.1614,"-","-",569910.05044,3.0485861182,-0.68170843872,23.186008467
"PTBL3<XBSP>","Portobello","PTBL3",1380049336.4,473507998.24,21939327.988,470532537.63,622148491.63,260252296.17,"-",10871365.555,44129372.22,131059431.01,"-",-48596.981045,158489000,"-",0,0,287347322.06,505887073.28,23443625.447,"-","-",47356653.552,-1.3676986584,0.99146226283,3.1919380732
"POSI3<XBSP>","Positivo Tec","POSI3",1848216084.6,55305573.383,-9220172.6765,1057806068.5,182572230.93,500889083.63,"-",8464710.5166,49064174.749,403340584.48,"-",0,86097000,"-",0,0,607837785.19,332822499.31,54784260.314,"-","-",25240609.269,-1.1117123125,0.60915862386,3.8656689468
"PTCA3<XBSP>","Pratica","PTCA3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"PRNR3<XBSP>","Priner","PRNR3",129267969.58,45802654.635,2509371.3849,62479150.471,2533669.8754,57755303.019,"-",2546923.5975,"-",10876887.939,"-",-4413489.4604,93077010,"-","-","-",64255149.233,"-",1559521.3008,3421669.2563,4158355.3099,4380355.1551,"-","-","-"
"PFRM3<XBSP>","Profarma","PFRM3",3153933025.1,130075342.15,-29963352.245,1374723549.1,860811578.98,1151834600,"-",7428711.2389,24003595.206,323899983.14,"-",0,76310421.957,"-",0,0,918397897.04,877387006.98,51090889.754,"-","-",3020744.1627,-0.44537306791,0.37454536949,11.000049302
"PRMN3B<XBSP>","Proman","PRMN3B",21294313.513,18376285.696,0,2776654.7806,17302734.206,1412625.8808,"-",204328.21576,819521.81672,0,"-",0,100000,"-","-","-",1214924.5261,"-",584268.24938,"-","-",564387.66623,-1,0.96452223273,"-"
