"Ativo","Nome","Código","Ativo Tot| < Jun 2006| personalizado| consolid:sim*","Imobil| < Jun 2006| personalizado| consolid:sim*","Lucro Liquido| < Jun 2006| personalizado| no exercício| consolid:sim*","PasCir| < Jun 2006| personalizado| consolid:sim*","PasNoCir| < Jun 2006| personalizado| consolid:sim*","Receita| < Jun 2006| personalizado| no exercício| consolid:sim*","DeprecAmorExaus| < Jun 2006| personalizado| no exercício| consolid:sim*","DeprAmor| < Jun 2006| personalizado| no exercício| consolid:sim*","Depr e Amor| < Jun 2006| personalizado| de 12 meses| consolid:sim*","CaixaEEqCx| < Jun 2006| personalizado| consolid:sim*","DpInCP| < Jun 2006| personalizado| consolid:sim*","DivPag| < Jun 2006| personalizado| no exercício| consolid:sim*","Qtd Ações|Outstanding|da empresa|30Jun06","Dividendos| < Jun 2006| personalizado| no exercício| consolid:sim*","Div Yld (fim)|30Jun06|1 tri","Divid por Ação|30Jun06|1 tri","Patrim Liq| < Jun 2006| personalizado| consolid:sim*","Valor Mercado|da empresa|30Jun06|personalizado","DesFin| < Jun 2006| personalizado| no exercício| consolid:sim*","LucOpe| < Jun 2006| personalizado| no exercício| consolid:sim*","LucOp(Ant)| < Jun 2006| personalizado| no exercício| consolid:sim*","EBIT| < Jun 2006| personalizado| no exercício| consolid:sim*","EBIT/FinL| < Jun 2006| de 12 meses| consolid:sim*","EBIT/FinB| < Jun 2006| de 12 meses| consolid:sim*","Fechamento|30Jun06|ajus p/prov ed"
"CAML3<XBSP>","Camil","CAML3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"QVQP3B<XBSP>","524 Particip","QVQP3B",1065390.8844,0,-105504.72835,33099.522622,0,0,"-","-","-","-",28962.082294,"-",70140000,"-","-","-",1032291.3617,"-",0,-105504.72835,-128260.65016,-128260.65016,-2.8709677419,"-","-"
"EALT4<XBSP>","Aco Altona","EALT4",176582064,92510081.267,13145609.876,113703767.66,211791232.27,155131682.53,"-","-","-","-",9816381.2795,"-",2250000,"-",0,0,-148912935.94,88437787.006,12829325.319,18089238.727,29577030.05,29138732.378,-1.7929210313,1.6932214134,3.9305683114
"AESL3<XBSP>","AES Sul","AESL3",4165721801.1,2764598321.3,201665047.74,988813070.1,1861657825.2,1423900088.8,"-","-","-","-",115906253.34,"-",278483,"-","-",0,1315250905.8,"-",866237262.95,212105878.4,204176474.02,193735643.35,-0.3959728414,0.054751505257,"-"
"TIET11<XBSP>","AES Tiete E","TIET11",305945093.76,0,15720204.525,31541776.339,361415756.23,0,"-","-","-","-",53224032.377,"-",93253283,"-","-","-",-87012438.813,"-",36384650.242,15720204.525,-653715.57179,48838345.629,-1.5782512418,1.4562372301,"-"
"AFLT3<XBSP>","Afluente T","AFLT3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"ALEF3B<XBSP>","Alef S/A","ALEF3B",6392.3453064,0,-49123.829012,127449.71185,587193.8062,0,"-","-","-","-",6392.3453064,"-",1000,"-","-","-",-708251.17275,"-",0,-49123.829012,-49123.829012,-49123.829012,"-","-","-"
"BRGE3<XBSP>","Alfa Consorc","BRGE3",896721923.28,39305.683114,35174448.947,13330832.736,0,525454.92163,"-","-","-","-",55429288.071,"-",73646000,"-",0,0,883391090.54,494106669.46,302033.14393,39344988.797,-5916539.6687,37090083.818,25.581270903,415.69565217,"-"
"RPAD3<XBSP>","Alfa Holding","RPAD3",802386215.09,20687.201639,31190093.911,12730903.888,0,155154.01229,"-","-","-","-",52808219.624,"-",84682000,"-",0,0,789655311.2,407012969.69,335132.66655,35120662.222,-5664155.8087,33120209.824,28.436666667,277.43089431,"-"
"ALSO3<XBSP>","Alianscsonae","ALSO3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"APTI4<XBSP>","Aliperti","APTI4",297490234.45,50145776.773,-7228108.2526,20596177.952,80522863.659,22718684.84,"-","-","-","-",63859322.739,"-",182155000,"-","-",234.29562364,196371192.84,"-",1834954.7854,-9923650.6262,165497.61311,-8336942.2605,-2.0516717325,0.50962627407,"-"
"FRRN3B<XBSP>","All Norte","FRRN3B",4611030366.2,2931539901.1,-518334386.82,832010287.83,3329278246,442052399.5,"-","-","-","-",19011538.306,"-",707543040,"-","-","-",449741832.35,"-",234377719.69,-517829619.1,-306038186.17,-318508431.31,0.73786022442,-0.62324165945,"-"
"AALR3<XBSP>","Alliar","AALR3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"ALPA4<XBSP>","Alpargatas","ALPA4",2208362912.4,577762510.97,161271217.82,435204935.76,310425941.63,1448875747.3,"-","-","-","-",468548567.36,"-",17878000,"-",1.5714878814,0.097602335051,1452775284.9,3540744593.9,28178037.352,205819037.83,183613395.59,183553402.7,8.2448592949,5.6780486252,6.2108232719
"ALTR3<XBSP>","Altere Sec","ALTR3",1483272.3575,0,-70336.485572,440637.39491,0,138604.25098,"-","-","-","-",76542.646064,"-",10367412,"-","-","-",1042634.9626,"-",-1261919.3,-68267.765408,-78611.366228,-78611.366228,1.3744680851,0.52627291242,"-"
"ALUP11<XBSP>","Alupar","ALUP11","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
