"Ativo","Nome","Código","Ativo Tot| < Set 2003| personalizado| consolid:sim*","Imobil| < Set 2003| personalizado| consolid:sim*","Lucro Liquido| < Set 2003| personalizado| no exercício| consolid:sim*","PasCir| < Set 2003| personalizado| consolid:sim*","PasNoCir| < Set 2003| personalizado| consolid:sim*","Receita| < Set 2003| personalizado| no exercício| consolid:sim*","DeprecAmorExaus| < Set 2003| personalizado| no exercício| consolid:sim*","DeprAmor| < Set 2003| personalizado| no exercício| consolid:sim*","Depr e Amor| < Set 2003| personalizado| de 12 meses| consolid:sim*","CaixaEEqCx| < Set 2003| personalizado| consolid:sim*","DpInCP| < Set 2003| personalizado| consolid:sim*","DivPag| < Set 2003| personalizado| no exercício| consolid:sim*","Qtd Ações|Outstanding|da empresa|30Set03","Dividendos| < Set 2003| personalizado| no exercício| consolid:sim*","Div Yld (fim)|30Set03|1 tri","Divid por Ação|30Set03|1 tri","Patrim Liq| < Set 2003| personalizado| consolid:sim*","Valor Mercado|da empresa|30Set03|personalizado","DesFin| < Set 2003| personalizado| no exercício| consolid:sim*","LucOpe| < Set 2003| personalizado| no exercício| consolid:sim*","LucOp(Ant)| < Set 2003| personalizado| no exercício| consolid:sim*","EBIT| < Set 2003| personalizado| no exercício| consolid:sim*","EBIT/FinL| < Set 2003| de 12 meses| consolid:sim*","EBIT/FinB| < Set 2003| de 12 meses| consolid:sim*","Fechamento|30Set03|ajus p/prov ed"
"CAML3<XBSP>","Camil","CAML3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"QVQP3B<XBSP>","524 Particip","QVQP3B",978623.97884,0,-633085.14187,19330.844027,0,0,"-","-","-","-",275464.52738,"-",53532000,"-","-","-",959293.13482,"-",0,-633085.14187,-712824.87348,-712824.87348,-8.5094339623,"-","-"
"EALT4<XBSP>","Aco Altona","EALT4",130077935.7,78188569.109,-11981259.544,90624620.587,234941494.1,109549884.17,"-","-","-","-",2011340.492,"-",2250000,"-","-",0,-195488178.99,"-",24584902.191,-10255041.752,13646010.084,11919792.292,0.47804818453,-0.46414188473,"-"
"AESL3<XBSP>","AES Sul","AESL3",6321430048.6,3433080575.7,817825185.52,2939477138.9,5136405815.4,2019908888.6,"-","-","-","-",168511800.09,"-",537215000,"-",0,0,-1754452905.7,667195286.72,1362790674.9,820311615.33,321230300.61,318594056.76,0.3602185908,0.14481562456,"-"
"TIET11<XBSP>","AES Tiete E","TIET11","-","-","-","-","-","-","-","-","-","-","-","-",41224100,"-","-","-","-","-","-","-","-","-","-","-","-"
"AFLT3<XBSP>","Afluente T","AFLT3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"ALEF3B<XBSP>","Alef S/A","ALEF3B",1077.6945545,0,-331830.8522,25693.108067,504150.82857,0,"-","-","-","-",1077.6945545,"-",1000,"-","-","-",-528766.24208,"-",0,-331830.8522,-324344.98285,-331830.8522,"-","-","-"
"BRGE3<XBSP>","Alfa Consorc","BRGE3",882912137.36,91821.509126,31581766.428,6664308.4781,0,749070.20603,"-","-","-","-",3916912.2709,"-",73646000,"-",1.271230609,0.080488226951,876247828.88,473700991.25,103903.28664,27650356.025,-9735496.3229,33698493.849,36.356796117,-1664.3333333,"-"
"RPAD3<XBSP>","Alfa Holding","RPAD3",788720183.48,53159.821073,28353515.476,5770256.9419,0,130483.19717,"-","-","-","-",5202413.3986,"-",84682000,"-",1.5373021318,0.080488226951,782949926.54,475652767.67,111152.35315,23830097.974,-9735496.3229,30083626.016,36.371034483,2929.8888889,"-"
"ALSO3<XBSP>","Alianscsonae","ALSO3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
