"Ativo","Nome","Código","Ativo Tot| < Set 2010| personalizado| consolid:sim*","Imobil| < Set 2010| personalizado| consolid:sim*","Lucro Liquido| < Set 2010| personalizado| no exercício| consolid:sim*","PasCir| < Set 2010| personalizado| consolid:sim*","PasNoCir| < Set 2010| personalizado| consolid:sim*","Receita| < Set 2010| personalizado| no exercício| consolid:sim*","DeprecAmorExaus| < Set 2010| personalizado| no exercício| consolid:sim*","DeprAmor| < Set 2010| personalizado| no exercício| consolid:sim*","Depr e Amor| < Set 2010| personalizado| de 12 meses| consolid:sim*","CaixaEEqCx| < Set 2010| personalizado| consolid:sim*","DpInCP| < Set 2010| personalizado| consolid:sim*","DivPag| < Set 2010| personalizado| no exercício| consolid:sim*","Qtd Ações|Outstanding|da empresa|30Set10","Dividendos| < Set 2010| personalizado| no exercício| consolid:sim*","Div Yld (fim)|30Set10|1 tri","Divid por Ação|30Set10|1 tri","Patrim Liq| < Set 2010| personalizado| consolid:sim*","Valor Mercado|da empresa|30Set10|personalizado","DesFin| < Set 2010| personalizado| no exercício| consolid:sim*","LucOpe| < Set 2010| personalizado| no exercício| consolid:sim*","LucOp(Ant)| < Set 2010| personalizado| no exercício| consolid:sim*","EBIT| < Set 2010| personalizado| no exercício| consolid:sim*","EBIT/FinL| < Set 2010| de 12 meses| consolid:sim*","EBIT/FinB| < Set 2010| de 12 meses| consolid:sim*","Fechamento|30Set10|ajus p/prov ed"
"CAML3<XBSP>","Camil","CAML3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"QVQP3B<XBSP>","524 Particip","QVQP3B",1613164.5247,0,5134189.9445,1476888.7465,0,0,"-",0,0,"-",1597833.4996,0,176261901,"-","-","-",136275.77822,"-",0,5134189.9445,5006431.4024,5006431.4024,36.225,"-","-"
"EALT4<XBSP>","Aco Altona","EALT4",413315918.11,267563862.96,6110265.206,75040257.278,263705554.99,180606288.88,"-","-","-","-",17198003.212,"-",2250000,"-",0,0,74570105.843,109233553.48,9973683.5186,9103221.9852,15751776.515,16557507.054,-2.7475173036,2.0059321103,4.8548245991
"AESL3<XBSP>","AES Sul","AESL3",3828439727.2,12254599.356,144643111,1035774273,1590743752.3,2331380462.1,"-",149930611.2,194758528.45,"-",238181101.73,0,278483,"-","-",0,1201921701.9,"-",148150508.85,225931612.71,288645725.85,288645725.85,-4.4143247777,1.5718902908,"-"
"TIET11<XBSP>","AES Tiete E","TIET11",32648693726,5893954663.2,909044613.1,6623464455.8,13823859232,12387539785,"-","-","-","-",4165064747.7,"-",650000000,"-","-","-",6858000180.4,"-",604582379.74,3626439844.6,3857248426.7,3664341545.4,12.31364999,5.0606806747,"-"
"AFLT3<XBSP>","Afluente T","AFLT3",133449759.27,0,25628363.542,2476812.2692,8517.2361389,39327486.148,"-",0,"-","-",54954911.015,-15106170.015,63085000,"-","-","-",130964429.76,"-",522958.29893,27595845.09,26551631.939,26551631.939,"-","-","-"
"ALEF3B<XBSP>","Alef S/A","ALEF3B",245051.1044,0,-115442.61862,2182.1158988,0,0,"-",0,"-","-",244718.93219,0,21394000,"-","-","-",242868.9885,"-",0,-115442.61862,-122731.66931,-122731.66931,-20.384201916,"-","-"
"BRGE3<XBSP>","Alfa Consorc","BRGE3",7982648405.7,7343560.9989,69953763.856,3522033860.6,2786091851.3,18719181.586,"-",2473405.3747,"-","-",13458936.546,-3585756.4145,73646000,"-",0.16766469677,0.015851241941,1180436122,645464449.04,30871574.109,144844117.78,74708085.068,106993520.37,"-","-",9.4541321141
"RPAD3<XBSP>","Alfa Holding","RPAD3",1031471365.3,0,63458519.576,3037246.4071,0,168641.27555,"-",0,-1703.4472278,"-",11527227.39,-3626639.1479,84682000,"-",0.062856407429,0.0053750431637,1028434118.9,732337302.99,0,61228707.155,-2292839.9686,63989995.111,45.906107566,-123.73218673,8.5513050834
"ALSO3<XBSP>","Alianscsonae","ALSO3",3751019754.2,7445767.8326,136676088.32,270659026.57,767660196.64,226326812.47,"-",1507550.7966,"-","-",83947582.832,0,529404000,"-","-","-",2075250136.9,"-",26808852.471,273106880.24,277665305.02,281126709.79,"-","-","-"
"APTI4<XBSP>","Aliperti","APTI4",301895138.39,102685502.33,1648936.9165,142140747.03,4830976.338,88342476.679,"-",5106934.7888,6776313.0721,"-",57751971.363,0,182155,"-","-",0,154722408.25,"-",6760982.047,3311501.4108,6331713.3456,6331713.3456,-5.5144291092,1.8794098781,"-"
"FRRN3B<XBSP>","All Norte","FRRN3B",5749384800.5,3620413048.3,436976800.1,1215298872.9,3363950550.9,1468277820.7,"-",120864691.15,165193498.36,"-",1013527252.2,0,707543040,"-","-","-",1170135376.6,"-",323484628.55,471136027.36,694829310.42,696854709.17,-2.936427646,1.8597188492,"-"
"AALR3<XBSP>","Alliar","AALR3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"ALPA4<XBSP>","Alpargatas","ALPA4",3486390930.8,518001267.49,408253272.95,810484859.95,464932072.56,2760589542.9,"-",69071378.192,92459708.629,"-",770298836.4,-79799688.832,348363000,"-",0.47811873685,0.046505035912,2147837430.2,5965240420.6,52868188.161,436068862.73,443998409.58,432539320.08,-180.67701863,7.4892685781,9.7266708723
"ALTR3<XBSP>","Altere Sec","ALTR3",3285949.7024,0,112427.51703,2255364.1296,132868.88377,190786.08951,"-","-","-","-",137979.22545,"-",14836000,"-","-","-",897716.68903,"-",5110.3416833,148199.90882,-11924.130594,-11924.130594,-0.21604938272,-8.75,"-"
"ALUP11<XBSP>","Alupar","ALUP11",9215887984.8,689877389.33,241383582.52,842497743.7,3859333446.1,1388304380.3,"-",1470074.9576,32818614.29,"-",767578431.17,-229844431,163910000,"-","-","-",2264537192.9,"-",216654639.11,684152103.19,828142793.91,828142793.91,-4.5746769561,3.2460368563,"-"
"ABEV3<XBSP>","Ambev S/A","ABEV3",73136288760,11736885971,8475670323,17964750361,13700737473,30283826898,"-",1823761705.5,2437266741.8,"-",13435255223,-1771959875.3,620596000,"-",1.7941647354,0.21149353417,41071981343,1.9773359315E11,1162667463.9,11370718065,11786335341,11786381334,-23.750341812,10.355343953,11.774641908
"AMBP3<XBSP>","Ambipar","AMBP3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"CBEE3<XBSP>","Ampla Energ","CBEE3",7475527055.7,59067032.623,353823023.68,1733651050.6,2845659697.4,3832579104,"-",206064307.7,"-","-",188356973.76,-194772156.02,3.922515918E12,"-",0,0,2896216307.7,10690878186,357291242.24,536522849.2,753097426.29,753097426.29,-3.5062019799,2.2561877496,82.850587591
"ANIM3<XBSP>","Anima","ANIM3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
