"Código","year","Quarter","kz_dum","SETOR_NUM","NOME","CLASSE","SETOR_ECONOMATICA","SETOR_NAICS","SEGMENTO_LIST_BOVESPA","SETOR_ECON_BOVESPA","SEGMENTO_BOVESPA","SUBSETOR_BOVESPA","ID_CVM","kz","PU","AT","K","LL","D_CP","D_LP","V","DEP","CAIXA","PL","DESP_FIN","EBIT","V_MERC","QTD_ACOES","DIV_PAGOS","INV_AT","FC_AT","D_AT","CV","TAM","INV_K","FC_K","D_K","ALAVANC","CAIXA_AT","CAIXA_K","DIVIDENDOS_AT","DIVIDENDOS_K","QTB","COB_JUROS","ROA","LN_PU","DIV_PL","ROE","ROK"
"GGBR4",2009,40,1,14,"Gerdau","PN","Siderur & Metalur","Transformação de aço em produtos de aço","Nível 1","Materiais básicos","Siderurgia","Siderurgia e metalurgia",398,1.75024066381045,131.44704469045,78681368263,29527321817,1980064022.7,8503804994.7,31343143200,46838316104,3080167634.3,8417570769.8,32662292296,444138995.43,1494600085.9,66950370366,1420401000,580079274.85,-0.276207136035218,0.0465492612063231,0.36655357412818,-0.392883522778962,25.0886722205423,-0.20021556940662,0.137062701437903,1.07930441407097,0.549543036515611,0.0774335498937277,0.228000429122155,0.00533617105217187,0.0157121724554044,1.3573393665921,3.36516293610513,0.0251656023072889,4.87860406853784,1.21996790162765,0.0606223226696948,0.0536325098073001
"GGBR4",2010,44,0,14,"Gerdau","PN","Siderur & Metalur","Transformação de aço em produtos de aço","Nível 1","Materiais básicos","Siderurgia","Siderurgia e metalurgia",398,1.06960837333748,92.7765544255574,71471878030,26947489159,3570136224,8368246218,29530640907,52312093527,3154525048.5,1768054672.1,32444583251,1829041438.7,6073101513.4,48747293858,1419222000,1697158118.3,-0.0916289382373422,0.0854670098011282,0.481675496520591,0.116865376006388,24.9925698950123,-0.0873710346637226,0.227743691560552,1.28351928968987,0.538769084357408,0.0224710717560237,0.0598785993209199,0.0215700127713474,0.0574775500744155,1.21231151847767,3.32037393188669,0.0499516218463079,4.53019396159539,1.16811138647718,0.110037974486541,0.120909584896539
"GGBR4",2011,48,0,14,"Gerdau","PN","Siderur & Metalur","Transformação de aço em produtos de aço","Nível 1","Materiais básicos","Siderurgia","Siderurgia e metalurgia",398,1.18509462945037,133.884857654572,78201654067,27059916245,3138166049.1,10603314635,26105381813,55397546578,2772289946.4,2310290907,39111109603,1518379724.4,4504503933.4,36664412614,1704864125,861636141.04,0.0941597761594456,0.0826962458299908,0.513610352208622,0.0589816396739598,25.0825566360259,0.00417208020148516,0.219332345237293,1.36223067876214,0.4841570871773,0.032324474614061,0.085733067499107,0.0120555967576273,0.0319746354087401,0.938255206202376,2.96665179402339,0.0401291518260131,4.89698015933123,0.938574661282028,0.0802372032129533,0.116454858951188
"GGBR4",2012,52,0,14,"Gerdau","PN","Siderur & Metalur","Transformação de aço em produtos de aço","Nível 1","Materiais básicos","Siderurgia","Siderurgia e metalurgia",398,1.27709477828951,117.530190149943,78487175235,29107831306,2107501442.9,11564945082,24350508237,56147984869,2701576618.5,2124652583.3,40276950479,1634035652.9,3471331980.7,42935835466,1700250275,773258913.57,0.00365108860428166,0.0614958611652866,0.459267182356899,0.0135464174382412,25.0862010755854,0.0756807612580251,0.177719621075642,1.32725663279303,0.471378399009676,0.0271688957049385,0.0785165986495831,0.00988801225236877,0.0285758058734893,1.00463914708243,2.12439182372751,0.0268515389500245,4.76669523802776,0.891712329058427,0.0523252485065579,0.0778827777521083
"GGBR4",2013,56,0,14,"Gerdau","PN","Siderur & Metalur","Transformação de aço em produtos de aço","Nível 1","Materiais básicos","Siderurgia","Siderurgia e metalurgia",398,1.31172268791345,137.888738632202,81255919840,29896510592,2210554509.3,10100809467,26460885924,55640393600,2832763803.1,2930074033.6,42346956581,2229830357.2,3844593673.6,40945696875,1700868701,595985207.61,0.0352763951143616,0.0642565909309349,0.465830185396912,-0.00904024018287159,25.1208695150714,0.0270950892118654,0.173263279540871,1.25607761727902,0.463342035091077,0.0373318828818467,0.100662739274431,0.00759340880628649,0.02047508113348,0.953867637196389,1.7241641998397,0.0272048425967336,4.92644711817385,0.863384251027955,0.0522010242949034,0.0759436347579883
"GGBR4",2014,60,0,14,"Gerdau","PN","Siderur & Metalur","Transformação de aço em produtos de aço","Nível 1","Materiais básicos","Siderurgia","Siderurgia e metalurgia",398,1.29860052271918,148.63472366333,82695019107,29031108372,1840201806.3,10195871785,28877911804,55809649113,2921759947.3,4000762822.7,42239037524,2457858560.9,3802710062.6,20263782219,1704469010,597023116.08,0.0177107005844462,0.0586044901464006,0.48087306950607,0.00304195391241805,25.13842520871,-0.0289465962034905,0.159281523472316,1.30696803122756,0.480536563043353,0.0492365704625319,0.133820393867991,0.00734744148187099,0.0199696588082677,0.717547035465612,1.54716391052525,0.0222528735850335,5.0014917770144,0.925063303509188,0.0435663763705413,0.0615523942380225
"GGBR4",2015,64,1,14,"Gerdau","PN","Siderur & Metalur","Transformação de aço em produtos de aço","Nível 1","Materiais básicos","Siderurgia","Siderurgia e metalurgia",398,1.61635942468908,249.816769917806,83078509506,27563441142,-2795529346.784,9319517906.5,35866662694,51653892231,3090977846.1,6694286554,37555033142,3963870580.5,-926173287.136,8501521616.5,1686458510,424581007.19,0.00463740625664283,-0.0278557677375881,0.546419616180669,-0.0744630533975527,25.1430518953264,-0.0505549843703363,-0.0793470650787042,1.55647452455109,0.546114548683374,0.0809515086433221,0.230590112792818,0.00513429964434291,0.0146250360733557,0.646228519700665,-0.961466434915558,-0.0649326898553759,5.52072772881606,1.20319906068637,-0.143642826009572,-0.185818296093817
"GGBR4",2016,68,1,14,"Gerdau","PN","Siderur & Metalur","Transformação de aço em produtos de aço","Nível 1","Materiais básicos","Siderurgia","Siderurgia e metalurgia",398,1.86621548827974,308.932376861572,60924372857,21579551204,-2795529346.784,9613959427.8,24241424802,41985874970,2827877171,5646245770.8,26794094239,2284794687.4,-926173287.136,18714289282,1707500678,95857370.25,-0.266665071156579,-0.00476302055312418,0.407510732090769,-0.187169191776757,24.8328991427157,-0.217095169909029,-0.0143561410297585,1.22827131980312,0.558213938265211,0.0679627716526646,0.204845459669275,0.00115381668279782,0.00347769967313467,0.862867700504527,-0.798639293089596,-0.0529112023338558,5.73312240783948,1.26353904438098,-0.120309415595319,-0.116951356062289
"GGBR4",2017,72,1,14,"Gerdau","PN","Siderur & Metalur","Transformação de aço em produtos de aço","Nível 1","Materiais básicos","Siderurgia","Siderurgia e metalurgia",398,1.76597835197863,346.490038553874,54486262336,17811663500,-389254428.55,8355841975.6,20248790937,39988720746,2266626067.8,2767911378.4,25612197248,1884510931.1,1191584755.5,21675347168,1709230779,93572275.892,-0.105673808676067,0.0308147880923865,0.469510502467379,-0.047567288413711,24.721214439612,-0.174604544291986,0.086997714711602,1.32554345742361,0.527596925675439,0.0454319223752498,0.128265474672473,0.00153587589833104,0.00433615486288035,0.92280104974973,0.632304507145769,-0.00714408388209101,5.84785406945444,1.11683635088488,-0.0151980099474049,-0.0180381151058344
"GGBR4",2018,76,0,14,"Gerdau","PN","Siderur & Metalur","Transformação de aço em produtos de aço","Nível 1","Materiais básicos","Siderurgia","Siderurgia e metalurgia",398,1.22293188075455,165.088276545207,53541602521,16231801946,2405427253,8879138011.6,17580467804,48194282990,1975209062.8,3017547508.2,26864862092,2219600483.4,4225636069.2,24797053688,1702137621,625508519.51,-0.0173375778498913,0.0803989139278074,0.485619763242921,0.205196917803898,24.7037248058757,-0.0886981473684364,0.245942009616339,1.48552131672598,0.496200090762254,0.0553818041250786,0.169414131824352,0.0114801143020727,0.0351179169486331,0.957323970336827,1.90378228010076,0.044926321584352,5.10648034019899,0.984915006263119,0.0895380458221784,0.135047872030594
